seconds,travel,recoveries,x,y,z,safeStation,speed
0.02,-0.05,0,607.63,78.81,-126.18,99.95,0.00
0.03,-0.05,0,607.63,78.81,-126.18,99.95,0.00
0.05,-0.05,0,607.63,78.81,-126.19,99.95,0.00
0.07,-0.05,0,607.63,78.81,-126.19,99.95,0.01
0.08,-0.04,0,607.63,78.81,-126.19,99.95,0.01
0.10,-0.04,0,607.63,78.81,-126.19,99.95,0.01
0.12,-0.04,0,607.63,78.81,-126.19,99.95,0.02
0.13,-0.04,0,607.63,78.81,-126.20,99.95,0.02
0.15,-0.03,0,607.63,78.81,-126.20,99.95,0.03
0.17,-0.03,0,607.63,78.80,-126.20,99.95,0.04
0.18,-0.03,0,607.63,78.80,-126.21,99.95,0.05
0.20,-0.03,0,607.63,78.80,-126.21,99.95,0.05
0.22,-0.03,0,607.63,78.80,-126.21,99.95,0.05
0.23,-0.02,0,607.63,78.80,-126.21,99.95,0.06
0.25,-0.02,0,607.63,78.80,-126.21,99.95,0.07
0.27,-0.02,0,607.64,78.80,-126.21,99.95,0.08
0.28,-0.02,0,607.64,78.80,-126.22,99.95,0.08
0.30,-0.02,0,607.64,78.80,-126.22,99.95,0.08
0.32,-0.01,0,607.64,78.80,-126.22,99.95,0.09
0.33,-0.01,0,607.64,78.80,-126.22,99.95,0.09
0.35,-0.01,0,607.64,78.80,-126.22,99.99,0.10
0.37,-0.01,0,607.64,78.79,-126.23,99.99,0.11
0.38,0.00,0,607.64,78.79,-126.23,99.99,0.11
0.40,0.00,0,607.64,78.79,-126.23,99.99,0.11
0.42,0.00,0,607.64,78.79,-126.23,99.99,0.11
0.43,0.00,0,607.64,78.79,-126.23,99.99,0.12
0.45,0.00,0,607.64,78.79,-126.24,99.99,0.12
0.47,0.01,0,607.64,78.79,-126.24,99.99,0.12
0.48,0.01,0,607.64,78.79,-126.24,99.99,0.12
0.50,0.01,0,607.64,78.79,-126.24,99.99,0.12
0.52,0.01,0,607.64,78.79,-126.24,99.99,0.13
0.53,0.02,0,607.64,78.79,-126.25,99.99,0.13
0.55,0.02,0,607.64,78.79,-126.25,99.99,0.13
0.57,0.02,0,607.65,78.79,-126.25,99.99,0.13
0.59,0.02,0,607.65,78.79,-126.25,99.99,0.13
0.60,0.03,0,607.65,78.79,-126.26,100.02,0.13
0.62,0.03,0,607.65,78.79,-126.26,100.02,0.13
0.64,0.03,0,607.65,78.79,-126.26,100.02,0.13
0.65,0.03,0,607.65,78.79,-126.26,100.02,0.13
0.67,0.03,0,607.65,78.79,-126.26,100.02,0.13
0.69,0.04,0,607.65,78.79,-126.27,100.02,0.13
0.70,0.04,0,607.65,78.79,-126.27,100.02,0.13
0.72,0.04,0,607.65,78.79,-126.27,100.02,0.13
0.74,0.04,0,607.65,78.79,-126.27,100.02,0.13
0.75,0.04,0,607.65,78.79,-126.27,100.02,0.14
0.77,0.05,0,607.65,78.79,-126.28,100.02,0.14
0.79,0.05,0,607.65,78.79,-126.28,100.02,0.14
0.80,0.05,0,607.65,78.79,-126.28,100.02,0.14
0.82,0.05,0,607.65,78.79,-126.28,100.02,0.14
0.84,0.05,0,607.65,78.78,-126.28,100.02,0.13
0.86,0.06,0,607.65,78.78,-126.29,100.02,0.13
0.88,0.06,0,607.66,78.78,-126.29,100.06,0.13
0.89,0.06,0,607.66,78.78,-126.29,100.06,0.13
0.91,0.07,0,607.66,78.78,-126.29,100.06,0.13
0.93,0.07,0,607.66,78.78,-126.30,100.06,0.13
0.94,0.07,0,607.66,78.78,-126.30,100.06,0.13
0.96,0.07,0,607.66,78.78,-126.30,100.06,0.13
0.98,0.07,0,607.66,78.78,-126.30,100.06,0.13
0.99,0.08,0,607.66,78.78,-126.30,100.06,0.13
1.01,0.08,0,607.66,78.78,-126.31,100.06,0.13
1.03,0.08,0,607.66,78.78,-126.31,100.06,0.13
1.04,0.08,0,607.66,78.78,-126.31,100.06,0.13
1.06,0.08,0,607.66,78.78,-126.31,100.06,0.13
1.08,0.09,0,607.66,78.78,-126.32,100.06,0.13
1.09,0.09,0,607.66,78.78,-126.32,100.06,0.13
1.11,0.09,0,607.66,78.78,-126.32,100.06,0.13
1.13,0.09,0,607.66,78.78,-126.32,100.09,0.13
1.15,0.10,0,607.66,78.78,-126.33,100.09,0.13
1.17,0.10,0,607.67,78.78,-126.33,100.09,0.13
