time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,825.634,153.184,190.000,31.699,31.699,-0.045,0.000,0.000,0.000,0.000,4,7.799,0.285,1.000,"Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.1631235;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.1985634;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.1631235;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.1983203;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.1631235;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.1631235;"
0.040,826.268,153.183,190.000,31.713,31.713,-0.062,0.000,0.150,0.000,0.000,4,8.927,0.164,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.153142;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1860402;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.153142;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1860402;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.153142;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1595203;"
0.060,826.902,153.182,190.000,31.724,31.725,-0.059,0.000,0.144,0.000,0.000,4,9.931,0.068,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1431236;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1745408;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1431236;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1745408;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1431236;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1580689;"
0.080,827.537,153.181,190.000,31.735,31.735,-0.038,0.000,0.138,0.000,0.000,4,10.821,0.008,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1334348;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1629076;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1334348;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1629076;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1334348;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1334348;"
0.100,828.171,153.181,190.000,31.745,31.745,-0.003,0.000,0.132,0.000,0.000,4,11.576,0.066,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1242308;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1514882;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1242309;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1514882;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1242308;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1283438;"
0.120,828.806,153.182,190.000,31.753,31.753,0.045,0.000,0.128,0.000,0.000,4,12.184,0.109,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1158809;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1407417;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1158809;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1407417;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1158809;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1266448;"
0.140,829.441,153.184,190.000,31.761,31.760,0.102,0.000,0.124,0.000,0.000,4,12.642,0.140,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1084719;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1308712;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1084719;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1308712;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1084719;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1084719;"
0.160,830.076,153.187,190.000,31.767,31.767,0.165,0.000,0.120,0.000,0.000,4,12.951,0.159,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1022186;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1221637;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1022186;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1221637;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1022186;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1043856;"
0.180,830.711,153.192,190.000,31.773,31.772,0.231,0.000,0.116,0.000,0.000,4,13.122,0.171,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09717022;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1147122;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09717023;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1147122;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09717023;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1040301;"
0.200,831.346,153.198,190.000,31.778,31.777,0.299,0.000,0.113,0.000,0.000,4,13.168,0.175,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09342534;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1086874;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09342534;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1086874;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09342536;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09342536;"
0.220,831.982,153.205,190.000,31.783,31.781,0.365,0.000,0.111,0.000,0.000,4,13.101,0.174,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09093811;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1040688;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09093811;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1040688;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09093812;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.091818;"
0.240,832.617,153.214,190.000,31.787,31.784,0.428,0.000,0.108,0.000,0.000,4,12.942,0.168,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.08968955;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1008547;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.08968954;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1008547;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.08968955;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09359565;"
0.260,833.253,153.223,190.000,31.791,31.787,0.486,0.000,0.106,0.000,0.000,4,12.708,0.160,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.08959465;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09896643;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.08959465;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09896643;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.08959466;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.08959466;"
0.280,833.888,153.234,190.000,31.794,31.790,0.538,0.000,0.105,0.000,0.000,4,12.415,0.150,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09054322;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09830463;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09054322;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09830463;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09054321;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09074426;"
0.300,834.524,153.246,190.000,31.797,31.792,0.583,0.000,0.103,0.000,0.000,4,12.081,0.138,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09249348;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09882709;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09249348;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09882709;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09249347;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09444669;"
0.320,835.160,153.258,190.000,31.799,31.794,0.621,0.000,0.102,0.000,0.000,4,11.723,0.125,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09522561;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1003017;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09522561;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1003017;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.09522563;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.0982286;"
