profile,route,attempt,road,finished,seconds,entry_mps,exit_mps,max_lateral,min_up,air_seconds,misses,penalty,branch_exits,recoveries
original,Creek Leap,0,False,True,21.594,33.449,33.124,7.354,0.950,2.241,0,0.000,1,0
original,Creek Leap,1,False,True,21.278,33.485,33.359,8.139,0.950,2.158,0,0.000,1,0
original,Creek Leap,2,False,True,24.339,33.385,33.097,5.758,0.950,2.042,0,0.000,1,1
original,Creek Leap,3,False,True,25.561,33.386,33.125,6.088,0.950,2.142,0,0.000,1,1
original,Creek Leap,0,True,True,29.659,29.144,28.588,0.000,0.950,0.000,0,0.000,0,0
original,Creek Leap,1,True,True,29.662,29.144,28.536,0.000,0.950,0.000,0,0.000,0,0
tourer,Creek Leap,0,False,True,21.878,32.943,33.123,7.771,0.950,2.143,0,0.000,1,0
tourer,Creek Leap,1,False,True,21.635,32.989,33.671,8.715,0.950,2.158,0,0.000,1,0
tourer,Creek Leap,2,False,True,24.538,32.701,33.097,5.766,0.950,1.869,0,0.000,1,1
tourer,Creek Leap,3,False,True,25.799,32.943,33.091,5.766,0.950,1.897,0,0.000,1,1
tourer,Creek Leap,0,True,True,29.721,29.110,28.553,0.000,0.950,0.000,0,0.000,0,0
tourer,Creek Leap,1,True,True,29.719,29.114,28.539,0.000,0.950,0.000,0,0.000,0,0
moto,Creek Leap,0,False,True,20.740,33.819,33.626,9.705,0.950,2.817,0,0.000,1,0
moto,Creek Leap,1,False,True,20.120,35.224,34.475,11.080,0.945,2.794,0,0.000,1,0
moto,Creek Leap,2,False,True,22.696,33.826,33.624,10.593,0.872,2.536,0,0.000,1,1
moto,Creek Leap,3,False,True,23.801,33.831,33.625,10.504,0.941,2.570,0,0.000,1,1
moto,Creek Leap,0,True,True,28.168,29.272,28.672,0.000,0.950,0.101,0,0.000,0,0
moto,Creek Leap,1,True,True,28.162,29.336,28.712,0.000,0.950,0.151,0,0.000,0,0
atv,Creek Leap,0,False,True,20.855,33.843,33.586,9.206,0.950,2.798,0,0.000,1,0
atv,Creek Leap,1,False,True,20.419,35.206,34.518,10.109,0.950,2.815,0,0.000,1,0
atv,Creek Leap,2,False,True,23.080,33.842,33.582,9.122,0.950,2.470,0,0.000,1,1
atv,Creek Leap,3,False,True,24.243,33.843,33.584,9.455,0.950,2.539,0,0.000,1,1
atv,Creek Leap,0,True,True,28.514,29.573,28.641,0.000,0.950,0.102,0,0.000,0,0
atv,Creek Leap,1,True,True,28.518,29.577,28.647,0.000,0.950,0.098,0,0.000,0,0
