course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards,contactCorrections
Street Loop,tourer,24,-1.5,8.557,150.288,1.880,0.963,True,completed,41.895,1.880,0,0
Street Loop,tourer,24,-3,8.554,150.279,1.880,0.963,True,completed,41.895,1.880,0,0
Street Loop,tourer,24,0,8.559,150.329,1.880,0.963,True,completed,41.895,1.880,0,0
Street Loop,tourer,24,-4.7,7.151,150.039,1.240,0.534,True,completed,0.000,0.000,0,18
Street Loop,tourer,24,1.7,9.055,150.425,1.420,0.577,True,completed,0.000,0.000,0,17
Street Loop,tourer,36,-1.5,5.437,163.066,2.440,0.964,True,completed,80.279,2.440,0,0
Street Loop,tourer,36,-3,5.434,162.663,2.460,0.964,True,completed,80.723,2.460,0,0
Street Loop,tourer,36,0,5.423,162.725,2.460,0.964,True,cleared / unstable landing,80.659,2.460,0,0
Street Loop,tourer,36,-4.7,7.484,150.315,1.020,0.381,True,completed,0.000,0.000,0,15
Street Loop,tourer,36,1.7,5.111,150.399,2.080,0.387,True,completed,0.000,0.000,0,14
Street Loop,moto,12,-1.5,13.757,150.111,1.480,0.909,True,completed,14.695,1.300,0,44
Street Loop,moto,12,-3,13.522,150.107,1.280,0.932,True,completed,14.527,1.280,0,21
Street Loop,moto,12,0,13.477,150.052,1.360,0.888,True,completed,15.290,1.360,0,34
Street Loop,moto,12,-4.7,13.620,150.168,1.880,0.105,True,completed,0.000,0.000,0,349
Street Loop,moto,12,1.7,13.382,150.212,1.300,-0.136,True,completed,0.000,0.000,0,281
Street Loop,moto,24,-1.5,7.782,150.044,2.020,0.943,True,completed,44.889,2.020,0,124
Street Loop,moto,24,-3,7.441,150.205,2.060,0.933,True,completed,45.568,2.060,0,129
Street Loop,moto,24,0,8.444,150.174,2.020,0.944,True,completed,44.856,2.020,0,133
Street Loop,moto,24,-4.7,9.438,150.109,2.000,-0.952,True,completed,0.000,0.000,0,152
Street Loop,moto,24,1.7,7.344,150.291,2.460,0.792,True,completed,0.000,0.000,0,238
Street Loop,moto,36,-1.5,5.498,165.714,2.540,0.958,True,completed,84.004,2.540,0,204
Street Loop,moto,36,-3,5.481,165.710,2.540,0.958,True,completed,84.001,2.540,0,198
Street Loop,moto,36,0,5.486,165.720,2.540,0.958,True,completed,84.005,2.540,0,194
Street Loop,moto,36,-4.7,22.637,99.025,20.180,-1.000,True,stalled/crashed,0.000,0.000,0,118
Street Loop,moto,36,1.7,8.299,150.468,2.640,-0.956,True,completed,0.000,0.000,0,115
Street Loop,atv,12,-1.5,13.681,150.114,1.380,0.935,True,completed,14.241,1.260,0,47
Street Loop,atv,12,-3,13.549,150.091,1.460,0.907,True,completed,14.863,1.320,0,37
Street Loop,atv,12,0,13.588,150.213,1.280,0.924,True,completed,14.417,1.280,0,12
Street Loop,atv,12,-4.7,13.404,150.106,1.400,0.311,True,completed,0.000,0.000,0,201
Street Loop,atv,12,1.7,13.556,150.037,1.520,0.245,True,completed,0.000,0.000,0,255
Street Loop,atv,24,-1.5,8.518,150.285,2.040,0.938,True,completed,45.058,2.040,0,33
Street Loop,atv,24,-3,8.481,150.315,2.040,0.937,True,completed,45.037,2.040,0,38
Street Loop,atv,24,0,7.261,150.254,2.040,0.937,True,completed,45.039,2.040,0,32
Street Loop,atv,24,-4.7,7.243,150.464,1.580,0.274,True,completed,0.000,0.000,0,111
Street Loop,atv,24,1.7,7.315,150.291,2.160,-0.855,True,completed,0.000,0.000,0,105
Street Loop,atv,36,-1.5,5.487,165.216,2.540,0.961,True,completed,83.658,2.540,0,193
Street Loop,atv,36,-3,5.483,165.221,2.540,0.962,True,completed,83.660,2.540,0,190
Street Loop,atv,36,0,5.480,165.215,2.540,0.961,True,completed,83.658,2.540,0,182
Street Loop,atv,36,-4.7,5.305,150.124,2.520,-0.345,True,completed,75.785,2.520,0,106
Street Loop,atv,36,1.7,5.145,152.705,2.360,-0.761,True,completed,76.672,2.360,0,122
