time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.016,1064.367,145.989,184.000,31.701,-31.701,-0.063,0.000,0.000,0.000,0.000,4,7.803,1.515,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0897107;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08971069;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003169;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003169;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.328945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.328945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;"
0.036,1063.736,145.993,184.000,31.695,-31.695,0.223,0.000,0.150,0.000,0.000,4,12.198,0.873,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0401293;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2150369;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04012929;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2150369;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0401293;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04216042;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.274858;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09995286;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2748579;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09995288;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09995288;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1345399;"
0.056,1063.112,146.008,184.000,31.597,-31.593,0.741,-0.001,0.153,0.000,0.000,4,16.114,2.531,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008138418;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1547255;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008040039;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1548239;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03389844;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03399709;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05792919;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05792919;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.21453;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06794915;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2146265;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06785265;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06789967;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1382569;"
0.076,1062.487,146.029,184.000,31.572,-31.571,1.062,-0.001,0.202,0.000,0.000,4,20.894,7.092,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001900384;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08959307;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001655116;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08983833;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002707779;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002954721;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1493809;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06170973;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1496279;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06146273;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06157377;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06158581;"
0.096,1061.862,146.066,184.000,31.480,-31.431,1.852,0.000,0.214,0.000,0.000,4,26.483,7.158,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004764283;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03258928;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003688261;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03269688;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009826958;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009935021;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05037144;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05037144;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09238946;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06027554;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09249579;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06016921;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06022346;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06502494;"
0.116,1061.235,146.113,184.000,31.447,-31.357,2.377,0.000,0.260,0.000,0.000,4,23.854,3.383,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001067686;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006498729;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=6.445078E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006541047;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008872449;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009296834;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06631463;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05992264;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06635667;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0598806;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05990288;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06265345;"
0.136,1060.609,146.165,184.000,31.467,-31.361,2.590,0.001,0.276,0.000,0.000,4,20.362,0.676,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=2.132123E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001362197;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=7.579615E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001307722;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001076162;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001776218;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06116536;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05981279;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06111078;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05986736;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05983323;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05984005;"
0.156,1059.982,146.220,184.000,31.486,-31.364,2.775,0.001,0.266,0.000,0.000,4,19.010,0.555,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003592419;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001010239;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003708865;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008937927;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001453191;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001537144;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06082867;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06341173;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0607122;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0635282;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0607692;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06082472;"
0.176,1059.354,146.279,184.000,31.502,-31.367,2.931,0.001,0.257,0.000,0.000,4,17.525,0.448,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01035406;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004833358;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01052365;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004663765;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004850149;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005019844;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06463945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07015766;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06446851;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0703286;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0645552;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06635761;"
0.196,1058.727,146.340,184.000,31.517,-31.371,3.055,0.001,0.249,0.000,0.000,4,15.983,0.354,0.996,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01980372;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01217427;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02001824;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01195975;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01269072;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01281071;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07197092;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07959504;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0717579;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07980806;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0718644;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07216218;"
