course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards,contactCorrections
Street Loop Reverse,original,12,-1.5,13.317,150.097,0.180,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,12,-3,13.307,150.091,0.180,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,12,0,13.314,150.095,0.180,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,12,-4.7,13.311,150.194,0.200,0.935,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,12,1.7,13.309,150.192,0.180,0.936,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,24,-1.5,7.020,150.417,1.100,0.987,True,completed,26.049,1.100,0,0
Street Loop Reverse,original,24,-3,7.019,150.435,1.100,0.987,True,completed,26.049,1.100,0,0
Street Loop Reverse,original,24,0,6.965,150.046,1.100,0.987,True,completed,26.049,1.100,0,0
Street Loop Reverse,original,24,-4.7,6.983,150.405,1.060,0.945,True,completed,25.132,1.060,0,0
Street Loop Reverse,original,24,1.7,6.988,150.281,1.060,0.951,True,completed,25.173,1.060,0,0
Street Loop Reverse,original,36,-1.5,4.995,150.188,1.400,0.992,True,completed,49.026,1.400,0,0
Street Loop Reverse,original,36,-3,4.980,150.177,1.400,0.992,True,completed,49.026,1.400,0,0
Street Loop Reverse,original,36,0,4.911,150.274,1.400,0.991,True,completed,49.047,1.400,0,0
Street Loop Reverse,original,36,-4.7,4.985,150.181,1.420,0.942,True,completed,49.604,1.420,0,2
Street Loop Reverse,original,36,1.7,5.017,150.341,1.360,0.945,True,completed,47.742,1.360,0,1
Street Loop Reverse,tourer,12,-1.5,13.302,150.057,0.000,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,12,-3,13.313,150.057,0.000,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,12,0,13.302,150.055,0.000,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,12,-4.7,13.319,150.183,0.180,0.944,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,12,1.7,13.319,150.183,0.200,0.947,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,24,-1.5,6.982,150.179,1.080,0.991,True,completed,25.581,1.080,0,0
Street Loop Reverse,tourer,24,-3,7.015,150.417,1.080,0.991,True,completed,25.583,1.080,0,0
Street Loop Reverse,tourer,24,0,6.997,150.183,1.080,0.991,True,completed,25.581,1.080,0,0
Street Loop Reverse,tourer,24,-4.7,6.998,150.201,1.040,0.956,True,completed,24.650,1.040,0,2
Street Loop Reverse,tourer,24,1.7,7.001,150.077,1.040,0.958,True,completed,24.671,1.040,0,2
Street Loop Reverse,tourer,36,-1.5,4.966,150.446,1.400,0.992,True,completed,49.084,1.400,0,0
Street Loop Reverse,tourer,36,-3,4.973,150.443,1.400,0.992,True,completed,49.084,1.400,0,0
Street Loop Reverse,tourer,36,0,4.924,150.377,1.400,0.992,True,completed,49.083,1.400,0,0
Street Loop Reverse,tourer,36,-4.7,4.946,150.061,1.280,0.948,True,completed,44.989,1.280,0,5
Street Loop Reverse,tourer,36,1.7,5.024,150.348,1.280,0.958,True,completed,45.026,1.280,0,7
Street Loop Reverse,moto,12,-1.5,13.301,150.217,0.380,0.980,True,completed,4.762,0.380,0,0
Street Loop Reverse,moto,12,-3,13.315,150.224,0.380,0.980,True,completed,4.761,0.380,0,10
Street Loop Reverse,moto,12,0,13.303,150.210,0.380,0.980,True,completed,4.762,0.380,0,9
Street Loop Reverse,moto,12,-4.7,13.285,150.059,0.340,0.892,True,completed,4.286,0.340,0,55
Street Loop Reverse,moto,12,1.7,13.281,150.037,0.320,0.893,True,completed,4.050,0.320,0,41
Street Loop Reverse,moto,24,-1.5,6.977,150.034,1.160,0.991,True,completed,27.512,1.160,0,0
Street Loop Reverse,moto,24,-3,6.979,150.037,1.160,0.991,True,completed,27.512,1.160,0,0
Street Loop Reverse,moto,24,0,7.098,150.257,1.160,0.991,True,completed,27.512,1.160,0,0
Street Loop Reverse,moto,24,-4.7,6.996,150.212,1.100,0.764,True,completed,0.000,0.000,0,41
Street Loop Reverse,moto,24,1.7,6.963,150.197,1.160,0.719,True,completed,0.000,0.000,0,58
Street Loop Reverse,moto,36,-1.5,4.905,150.497,1.540,0.980,True,completed,53.958,1.540,0,157
Street Loop Reverse,moto,36,-3,4.982,150.024,1.540,0.980,True,completed,53.967,1.540,0,139
Street Loop Reverse,moto,36,0,4.901,150.194,1.540,0.975,True,completed,53.930,1.540,0,148
Street Loop Reverse,moto,36,-4.7,4.982,150.223,1.400,0.812,True,completed,49.313,1.400,0,58
Street Loop Reverse,moto,36,1.7,4.978,150.161,1.420,0.853,True,completed,49.970,1.420,0,64
Street Loop Reverse,atv,12,-1.5,13.315,150.166,0.380,0.980,True,completed,4.754,0.380,0,0
Street Loop Reverse,atv,12,-3,13.303,150.168,0.380,0.980,True,completed,4.753,0.380,0,0
Street Loop Reverse,atv,12,0,13.316,150.163,0.380,0.980,True,completed,4.753,0.380,0,0
