time,speed,travel,x,y,z,grounded,lift,torque,contact
0.002,35.662,0.713,-628.516,8.192,-149.319,4,7.800,0.066,""
0.022,35.673,1.427,-628.528,8.191,-148.606,4,8.369,0.038,"Ground_80_240:(0.00, 1.00, 0.00)"
0.042,35.683,2.140,-628.539,8.189,-147.892,4,8.894,0.016,"Ground_80_240:(0.00, 1.00, 0.00)"
0.062,35.692,2.854,-628.551,8.187,-147.179,4,9.371,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.082,35.701,3.568,-628.563,8.185,-146.465,4,9.792,0.015,"Ground_80_240:(0.00, 1.00, 0.00)"
0.102,35.709,4.282,-628.575,8.183,-145.751,4,10.151,0.025,"Ground_80_240:(0.00, 1.00, 0.00)"
0.122,35.716,4.996,-628.587,8.182,-145.037,4,10.446,0.032,"Ground_80_240:(0.00, 1.00, 0.00)"
0.142,35.722,5.711,-628.598,8.181,-144.322,4,10.677,0.037,"Ground_80_240:(0.00, 1.00, 0.00)"
0.162,35.728,6.425,-628.610,8.180,-143.608,4,10.846,0.039,"Ground_80_240:(0.00, 1.00, 0.00)"
0.182,35.734,7.140,-628.622,8.180,-142.893,4,10.958,0.040,"Ground_80_240:(0.00, 1.00, 0.00)"
0.202,35.739,7.855,-628.634,8.180,-142.179,4,11.018,0.040,"Ground_80_240:(0.00, 1.00, 0.00)"
0.222,35.744,8.569,-628.645,8.180,-141.464,4,11.033,0.039,"Ground_80_240:(0.00, 1.00, 0.00)"
0.242,35.748,9.284,-628.657,8.181,-140.749,4,11.008,0.037,"Ground_80_240:(0.00, 1.00, 0.00)"
0.262,35.752,9.999,-628.669,8.183,-140.034,4,10.951,0.035,"Ground_80_240:(0.00, 1.00, 0.00)"
0.282,35.756,10.714,-628.681,8.185,-139.319,4,10.868,0.032,"Ground_80_240:(0.00, 1.00, 0.00)"
0.302,35.759,11.429,-628.693,8.187,-138.604,4,10.766,0.029,"Ground_80_240:(0.00, 1.00, 0.00)"
0.322,35.762,12.145,-628.704,8.190,-137.889,4,10.651,0.026,"Ground_80_240:(0.00, 1.00, 0.00)"
0.342,35.765,12.860,-628.716,8.193,-137.174,4,10.527,0.023,"Ground_80_240:(0.00, 1.00, 0.00)"
0.362,35.767,13.575,-628.728,8.197,-136.459,4,10.401,0.020,"Ground_80_240:(0.00, 1.00, 0.00)"
0.382,35.770,14.291,-628.740,8.200,-135.743,4,10.276,0.018,"Ground_80_240:(0.00, 1.00, 0.00)"
0.402,35.772,15.006,-628.752,8.204,-135.028,4,10.156,0.015,"Ground_80_240:(0.00, 1.00, 0.00)"
0.422,35.774,15.722,-628.763,8.207,-134.313,4,10.042,0.013,"Ground_80_240:(0.00, 1.00, 0.00)"
0.442,35.776,16.437,-628.775,8.211,-133.597,4,9.939,0.011,"Ground_80_240:(0.00, 1.00, 0.00)"
0.462,35.777,17.153,-628.787,8.215,-132.882,4,9.846,0.009,"Ground_80_240:(0.00, 1.00, 0.00)"
0.482,35.779,17.868,-628.799,8.218,-132.166,4,9.765,0.007,"Ground_80_240:(0.00, 1.00, 0.00)"
0.502,35.780,18.584,-628.811,8.222,-131.451,4,9.697,0.006,"Ground_80_240:(0.00, 1.00, 0.00)"
0.522,35.782,19.299,-628.822,8.226,-130.735,4,9.642,0.005,"Ground_80_240:(0.00, 1.00, 0.00)"
0.542,35.783,20.015,-628.834,8.229,-130.020,4,9.598,0.003,"Ground_80_240:(0.00, 1.00, 0.00)"
0.562,35.784,20.731,-628.846,8.233,-129.304,4,9.566,0.003,"Ground_80_240:(0.00, 1.00, 0.00)"
0.582,35.785,21.446,-628.858,8.236,-128.589,4,9.545,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.602,35.786,22.162,-628.869,8.239,-127.873,4,9.534,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.622,35.787,22.878,-628.881,8.242,-127.157,4,9.531,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.642,35.788,23.594,-628.893,8.245,-126.442,4,9.535,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
0.662,35.789,24.309,-628.905,8.248,-125.726,4,9.546,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
0.682,35.789,25.025,-628.917,8.251,-125.010,4,9.562,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
0.702,35.790,25.741,-628.928,8.254,-124.295,4,9.581,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.722,35.791,26.457,-628.940,8.256,-123.579,4,9.604,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
