time,speed,travel,x,y,z,grounded,lift,torque,contact
0.020,11.887,0.238,-623.809,8.192,-149.717,4,7.800,0.066,"Ground_80_320:(0.00, 1.00, 0.00)"
0.040,11.899,0.476,-623.813,8.191,-149.479,4,8.239,0.038,"Ground_80_240:(0.00, 1.00, 0.00)"
0.060,11.909,0.714,-623.817,8.189,-149.241,4,8.651,0.016,"Ground_80_240:(0.00, 1.00, 0.00)"
0.080,11.810,0.950,-623.820,8.187,-149.005,4,9.032,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.100,11.833,1.186,-623.824,8.184,-148.768,4,9.377,0.015,"Ground_80_240:(0.00, 1.00, 0.00)"
0.120,11.852,1.423,-623.828,8.182,-148.531,4,9.677,0.025,"Ground_80_240:(0.00, 1.00, 0.00)"
0.140,11.868,1.661,-623.832,8.180,-148.294,4,9.933,0.032,"Ground_80_240:(0.00, 1.00, 0.00)"
0.160,11.882,1.898,-623.836,8.177,-148.056,4,10.145,0.037,"Ground_80_240:(0.00, 1.00, 0.00)"
0.180,11.894,2.136,-623.840,8.175,-147.819,4,10.314,0.039,"Ground_80_240:(0.00, 1.00, 0.00)"
0.200,11.904,2.374,-623.844,8.173,-147.581,4,10.441,0.040,"Ground_80_240:(0.00, 1.00, 0.00)"
0.220,11.806,2.610,-623.848,8.172,-147.345,4,10.531,0.040,"Ground_80_240:(0.00, 1.00, 0.00)"
0.240,11.829,2.847,-623.852,8.171,-147.108,4,10.586,0.039,"Ground_80_240:(0.00, 1.00, 0.00)"
0.260,11.849,3.084,-623.856,8.170,-146.871,4,10.610,0.037,"Ground_80_240:(0.00, 1.00, 0.00)"
0.280,11.865,3.321,-623.859,8.169,-146.634,4,10.607,0.035,"Ground_80_240:(0.00, 1.00, 0.00)"
0.300,11.879,3.559,-623.863,8.169,-146.396,4,10.583,0.032,"Ground_80_240:(0.00, 1.00, 0.00)"
0.320,11.892,3.796,-623.867,8.169,-146.159,4,10.541,0.029,"Ground_80_240:(0.00, 1.00, 0.00)"
0.340,11.902,4.034,-623.871,8.169,-145.921,4,10.484,0.026,"Ground_80_240:(0.00, 1.00, 0.00)"
0.360,11.804,4.270,-623.875,8.170,-145.685,4,10.418,0.023,"Ground_80_240:(0.00, 1.00, 0.00)"
0.380,11.827,4.507,-623.879,8.171,-145.448,4,10.346,0.020,"Ground_80_240:(0.00, 1.00, 0.00)"
0.400,11.847,4.744,-623.883,8.172,-145.211,4,10.270,0.018,"Ground_80_240:(0.00, 1.00, 0.00)"
0.420,11.863,4.981,-623.887,8.173,-144.974,4,10.192,0.015,"Ground_80_240:(0.00, 1.00, 0.00)"
0.440,11.878,5.219,-623.891,8.174,-144.737,4,10.117,0.013,"Ground_80_240:(0.00, 1.00, 0.00)"
0.460,11.890,5.456,-623.895,8.175,-144.499,4,10.044,0.011,"Ground_80_240:(0.00, 1.00, 0.00)"
0.480,11.901,5.694,-623.899,8.177,-144.261,4,9.977,0.009,"Ground_80_240:(0.00, 1.00, 0.00)"
0.500,11.802,5.930,-623.902,8.178,-144.025,4,9.915,0.007,"Ground_80_240:(0.00, 1.00, 0.00)"
0.520,11.826,6.167,-623.906,8.180,-143.788,4,9.860,0.006,"Ground_80_240:(0.00, 1.00, 0.00)"
0.540,11.846,6.404,-623.910,8.181,-143.552,4,9.812,0.004,"Ground_80_240:(0.00, 1.00, 0.00)"
0.560,11.863,6.641,-623.914,8.183,-143.314,4,9.771,0.003,"Ground_80_240:(0.00, 1.00, 0.00)"
0.580,11.877,6.879,-623.918,8.184,-143.077,4,9.737,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.600,11.889,7.116,-623.922,8.185,-142.839,4,9.711,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.620,11.900,7.354,-623.926,8.187,-142.601,4,9.691,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.640,11.909,7.593,-623.930,8.188,-142.363,4,9.677,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.660,11.810,7.829,-623.934,8.189,-142.127,4,9.669,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
0.680,11.832,8.065,-623.938,8.190,-141.890,4,9.666,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
0.700,11.851,8.302,-623.942,8.191,-141.653,4,9.667,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
0.720,11.867,8.540,-623.945,8.192,-141.416,4,9.671,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.740,11.881,8.777,-623.949,8.193,-141.178,4,9.679,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.760,11.893,9.015,-623.953,8.194,-140.941,4,9.688,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.780,11.903,9.253,-623.957,8.195,-140.703,4,9.699,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.800,11.804,9.489,-623.961,8.196,-140.466,4,9.712,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.820,11.827,9.726,-623.965,8.197,-140.230,4,9.725,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.840,11.847,9.963,-623.969,8.198,-139.993,4,9.738,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.860,11.864,10.200,-623.973,8.199,-139.756,4,9.751,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.880,11.878,10.438,-623.977,8.199,-139.518,4,9.763,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.900,11.890,10.676,-623.981,8.200,-139.280,4,9.775,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.920,11.901,10.914,-623.985,8.201,-139.043,4,9.786,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.940,11.803,11.150,-623.988,8.201,-138.806,4,9.795,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.960,11.826,11.386,-623.992,8.202,-138.570,4,9.804,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
0.980,11.846,11.623,-623.996,8.203,-138.333,4,9.811,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.000,11.863,11.860,-624.000,8.204,-138.096,4,9.818,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.020,11.877,12.098,-624.004,8.204,-137.858,4,9.823,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.040,11.890,12.336,-624.008,8.205,-137.621,4,9.826,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.060,11.900,12.574,-624.012,8.206,-137.383,4,9.829,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.080,11.802,12.810,-624.016,8.207,-137.147,4,9.831,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.100,11.825,13.046,-624.020,8.207,-136.910,4,9.832,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.120,11.845,13.283,-624.024,8.208,-136.673,4,9.833,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.140,11.862,13.520,-624.028,8.209,-136.436,4,9.832,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.160,11.877,13.758,-624.032,8.210,-136.199,4,9.832,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.180,11.889,13.996,-624.035,8.211,-135.961,4,9.830,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.200,11.900,14.234,-624.039,8.211,-135.723,4,9.829,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.220,11.909,14.472,-624.043,8.212,-135.485,4,9.827,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.240,11.810,14.708,-624.047,8.213,-135.249,4,9.825,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.260,11.832,14.945,-624.051,8.214,-135.012,4,9.823,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
