time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ
0.020,35.662,0.713,-632.914,8.959,14.204,4,7.800,0.050,"Ground_80_240:(0.00, 1.00, 0.00)",0.000,0.000,0.000,35.662,0.000,1.000,124.287
0.040,35.661,1.427,-632.903,8.958,13.491,4,7.909,0.007,"",0.169,0.000,0.000,35.661,0.000,1.000,123.573
0.060,35.660,2.140,-632.891,8.956,12.778,4,8.026,0.021,"",0.170,0.000,-0.001,35.660,0.000,1.000,122.860
0.080,35.660,2.853,-632.879,8.953,12.065,4,8.153,0.038,"",0.170,0.000,0.002,35.660,0.000,1.000,122.147
0.100,35.659,3.567,-632.867,8.949,11.351,4,8.297,0.048,"",0.170,0.000,0.003,35.659,0.000,1.000,121.433
0.120,35.659,4.280,-632.855,8.945,10.638,4,8.458,0.051,"",0.170,0.000,-0.004,35.659,0.000,1.000,120.720
0.140,35.658,4.993,-632.844,8.940,9.925,4,8.636,0.051,"",0.171,0.000,-0.005,35.659,0.000,1.000,120.007
0.160,35.658,5.706,-632.832,8.936,9.212,4,8.825,0.049,"",0.171,0.000,0.006,35.658,0.000,1.000,119.294
0.180,35.658,6.420,-632.820,8.930,8.499,4,9.021,0.045,"",0.171,0.000,0.007,35.658,0.000,1.000,118.580
0.200,35.658,7.133,-632.808,8.925,7.785,4,9.218,0.040,"",0.171,0.000,-0.008,35.658,0.000,1.000,117.867
0.220,35.658,7.846,-632.796,8.919,7.072,4,9.409,0.035,"",0.171,0.000,-0.008,35.658,0.000,1.000,117.154
0.240,35.658,8.559,-632.785,8.914,6.359,4,9.591,0.030,"",0.171,0.000,0.009,35.658,0.000,1.000,116.441
0.260,35.658,9.272,-632.773,8.908,5.646,4,9.759,0.025,"",0.171,0.000,0.009,35.658,0.000,1.000,115.728
0.280,35.658,9.986,-632.761,8.902,4.933,4,9.909,0.021,"",0.171,0.000,-0.010,35.658,0.000,1.000,115.014
