time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.006,42.596,0.852,-626.513,8.959,14.171,4,7.800,0.092,"",0.000,0.000,0.000,42.596,0.000,1.000,124.148,0.703,-0.039,-42.590,0.000,0.014
0.026,42.589,1.704,-626.499,8.958,13.319,4,7.831,0.016,"",0.202,0.000,0.000,42.589,0.000,1.000,123.296,0.703,-0.078,-42.583,0.000,0.021
0.046,42.582,2.556,-626.485,8.955,12.468,4,7.877,0.026,"",0.206,0.000,0.001,42.582,0.000,1.000,122.444,0.703,-0.117,-42.576,0.028,0.023
0.066,42.576,3.407,-626.471,8.952,11.616,4,7.951,0.047,"",0.209,0.000,-0.003,42.576,0.000,1.000,121.593,0.702,-0.154,-42.570,-0.066,0.022
0.086,42.569,4.259,-626.457,8.948,10.765,4,8.064,0.055,"",0.212,0.000,0.004,42.569,0.000,1.000,120.741,0.702,-0.189,-42.563,0.088,0.021
0.106,42.563,5.110,-626.443,8.944,9.913,4,8.216,0.056,"",0.215,0.000,-0.005,42.563,0.000,1.000,119.890,0.702,-0.221,-42.557,-0.114,0.018
0.126,42.557,5.962,-626.429,8.939,9.062,4,8.401,0.053,"",0.218,0.000,0.006,42.558,0.000,1.000,119.038,0.702,-0.249,-42.551,0.134,0.016
0.146,42.552,6.813,-626.415,8.934,8.211,4,8.611,0.047,"",0.221,0.000,-0.007,42.552,0.000,1.000,118.187,0.702,-0.273,-42.545,-0.153,0.014
0.166,42.546,7.664,-626.401,8.928,7.360,4,8.834,0.041,"",0.224,0.000,0.008,42.547,0.000,1.000,117.336,0.702,-0.292,-42.540,0.169,0.011
0.186,42.541,8.515,-626.387,8.922,6.510,4,9.062,0.035,"",0.227,0.000,-0.008,42.541,0.000,1.000,116.486,0.702,-0.307,-42.535,-0.182,0.010
0.206,42.536,9.365,-626.372,8.915,5.659,4,9.287,0.029,"",0.229,0.000,0.009,42.536,0.000,1.000,115.635,0.702,-0.317,-42.529,0.193,0.008
0.226,42.531,10.216,-626.358,8.909,4.808,4,9.501,0.024,"",0.232,0.000,-0.009,42.531,0.000,1.000,114.784,0.702,-0.324,-42.524,-0.203,0.007
0.246,42.526,11.066,-626.344,8.902,3.958,4,9.698,0.020,"",0.234,0.000,0.009,42.527,0.000,1.000,113.934,0.702,-0.326,-42.520,0.209,0.006
0.266,42.522,11.917,-626.330,8.896,3.108,4,9.875,0.016,"",0.237,0.000,-0.010,42.522,0.000,1.000,113.083,0.701,-0.324,-42.515,-0.216,0.005
0.286,42.517,12.767,-626.316,8.889,2.257,4,10.029,0.013,"",0.239,0.000,0.010,42.518,0.000,1.000,112.233,0.702,-0.320,-42.511,0.219,0.004
0.306,42.513,13.618,-626.302,8.883,1.407,4,10.158,0.011,"",0.241,0.000,-0.010,42.513,0.000,1.000,111.383,0.701,-0.313,-42.506,-0.222,0.004
0.326,42.509,14.468,-626.288,8.877,0.557,4,10.262,0.009,"",0.244,0.000,0.010,42.509,0.000,1.000,110.532,0.702,-0.304,-42.502,0.226,0.004
0.346,42.505,15.318,-626.274,8.871,-0.293,4,10.342,0.007,"",0.246,0.000,-0.010,42.505,0.000,1.000,109.682,0.701,-0.293,-42.498,-0.229,0.003
0.366,42.501,16.168,-626.260,8.866,-1.143,4,10.398,0.005,"",0.248,0.000,0.010,42.501,0.000,1.000,108.832,0.702,-0.281,-42.494,0.230,0.003
0.386,42.497,17.018,-626.246,8.860,-1.992,4,10.433,0.004,"",0.250,0.000,-0.010,42.497,0.000,1.000,107.982,0.701,-0.269,-42.490,-0.232,0.003
0.406,42.493,17.868,-626.232,8.855,-2.842,4,10.448,0.003,"",0.252,0.000,0.010,42.493,0.000,1.000,107.132,0.701,-0.256,-42.486,0.233,0.003
0.426,42.489,18.717,-626.218,8.850,-3.692,4,10.445,0.003,"",0.254,0.000,-0.010,42.489,0.000,1.000,106.283,0.701,-0.243,-42.483,-0.233,0.003
0.446,42.486,19.567,-626.204,8.846,-4.541,4,10.428,0.002,"",0.255,0.000,0.011,42.486,0.000,1.000,105.433,0.701,-0.231,-42.479,0.234,0.003
0.466,42.482,20.417,-626.190,8.841,-5.391,4,10.399,0.002,"",0.257,0.000,-0.011,42.482,0.000,1.000,104.583,0.701,-0.219,-42.476,-0.235,0.003
0.486,42.479,21.266,-626.176,8.837,-6.240,4,10.361,0.001,"",0.259,0.000,0.011,42.479,0.000,1.000,103.734,0.701,-0.208,-42.472,0.234,0.003
0.506,42.475,22.116,-626.162,8.833,-7.090,4,10.315,0.001,"",0.261,0.000,-0.011,42.475,0.000,1.000,102.884,0.701,-0.198,-42.469,-0.235,0.003
