time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.013,1064.525,145.989,178.325,23.776,-23.776,-0.057,0.000,0.000,0.000,0.000,4,7.803,1.515,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08971071;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0897107;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003169;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003169;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.328945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.328945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1605077;"
0.033,1064.050,145.988,178.325,23.790,-23.791,-0.028,0.000,0.112,0.000,0.000,4,11.192,0.873,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05289649;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2278017;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05289648;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2278017;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1002126;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1002127;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2876254;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1127208;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2876255;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1127208;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1127208;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1594372;"
0.053,1063.580,145.995,178.325,23.727,-23.725,0.333,0.000,0.105,0.000,0.000,4,14.136,0.358,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01832923;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1853701;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01832922;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1853701;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02416295;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02416298;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2451632;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07813823;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2451633;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07813822;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1104624;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1581257;"
0.073,1063.112,146.008,178.325,23.695,-23.688,0.640,-0.001,0.137,0.000,0.000,4,16.115,3.326,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003822088;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1373271;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003666997;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1374822;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03663784;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03679389;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1971471;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06364345;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1973006;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06348999;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.117638;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1564427;"
0.093,1062.643,146.025,178.325,23.696,-23.685,0.867,-0.001,0.153,0.000,0.000,4,19.029,5.160,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008886897;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09007718;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007512937;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09021458;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001809001;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001947552;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1498907;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06071161;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1500294;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06057286;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06070492;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0618239;"
0.113,1062.173,146.047,178.325,23.702,-23.684,1.110,0.000,0.152,0.000,0.000,4,21.907,4.891,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0002201051;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04969196;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001710923;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04974097;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0112243;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01127377;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1095063;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06002647;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1095559;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05997689;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05998793;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07112852;"
0.133,1061.702,146.077,178.325,23.682,-23.636,1.520,0.000,0.149,0.000,0.000,4,23.661,4.094,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004289486;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01816535;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004674261;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01812685;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004657209;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008115888;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07796915;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06022879;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07792947;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06026846;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06286529;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06795859;"
0.153,1061.231,146.114,178.325,23.676,-23.604,1.843,0.000,0.159,0.000,0.000,4,22.041,1.862,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001059662;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003733692;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0002323473;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003607333;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.000803262;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.000929594;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06355972;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05993394;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06343569;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06005798;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06131142;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06144536;"
0.173,1060.759,146.155,178.325,23.687,-23.599,2.044,0.000,0.162,0.000,0.000,4,19.844,0.544,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001261176;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007903058;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001317652;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007338226;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008100569;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008601844;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0605985;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06108668;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06054395;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06114123;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06061696;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0606716;"
0.193,1060.288,146.199,178.325,23.696,-23.594,2.215,0.000,0.157,0.000,0.000,4,18.291,0.444,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005951583;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002314789;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005932898;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002333462;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003645301;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003688991;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06212523;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06575554;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06214514;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06573564;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06214046;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06292534;"
