course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards,contactCorrections
Street Loop,original,12,-1.5,13.475,150.043,1.100,0.938,True,completed,12.800,1.100,0,0
Street Loop,original,12,-3,13.509,150.174,1.080,0.940,True,completed,12.566,1.080,0,4
Street Loop,original,12,0,13.440,150.226,1.100,0.934,True,completed,12.803,1.100,0,2
Street Loop,original,12,-4.7,13.399,150.149,1.140,0.327,True,completed,0.000,0.000,0,13
Street Loop,original,12,1.7,13.361,150.216,1.140,0.361,True,completed,0.000,0.000,0,7
Street Loop,original,24,-1.5,8.839,150.247,1.900,0.963,True,completed,42.304,1.900,0,0
Street Loop,original,24,-3,8.861,150.116,1.900,0.963,True,completed,42.304,1.900,0,0
Street Loop,original,24,0,8.705,150.363,1.900,0.963,True,completed,42.304,1.900,0,0
Street Loop,original,24,-4.7,8.985,150.241,1.500,0.451,True,completed,0.000,0.000,0,15
Street Loop,original,24,1.7,9.101,150.414,1.240,0.549,True,completed,0.000,0.000,0,9
Street Loop,original,36,-1.5,5.475,164.255,2.500,0.965,True,completed,82.093,2.500,0,0
Street Loop,original,36,-3,5.474,164.255,2.500,0.965,True,completed,82.094,2.500,0,0
Street Loop,original,36,0,5.460,164.253,2.500,0.965,True,completed,82.092,2.500,0,0
Street Loop,original,36,-4.7,5.086,150.187,1.820,0.523,True,completed,0.000,0.000,0,13
Street Loop,original,36,1.7,5.255,150.213,1.920,0.317,True,completed,0.000,0.000,0,7
Street Loop,tourer,12,-1.5,13.486,150.236,1.060,0.939,True,completed,12.385,1.060,0,0
Street Loop,tourer,12,-3,13.471,150.002,1.060,0.938,True,completed,12.385,1.060,0,0
Street Loop,tourer,12,0,13.499,150.066,1.060,0.940,True,completed,12.385,1.060,0,2
Street Loop,tourer,12,-4.7,13.723,150.071,1.560,0.561,True,completed,0.000,0.000,0,32
Street Loop,tourer,12,1.7,13.955,150.054,0.800,0.375,True,completed,0.000,0.000,0,14
Street Loop,tourer,24,-1.5,8.560,150.288,1.880,0.963,True,completed,41.895,1.880,0,0
Street Loop,tourer,24,-3,8.558,150.279,1.880,0.963,True,completed,41.895,1.880,0,0
Street Loop,tourer,24,0,8.559,150.329,1.880,0.963,True,completed,41.895,1.880,0,0
Street Loop,tourer,24,-4.7,7.150,150.039,1.240,0.534,True,completed,0.000,0.000,0,18
Street Loop,tourer,24,1.7,9.060,150.425,1.420,0.577,True,completed,0.000,0.000,0,17
Street Loop,tourer,36,-1.5,5.426,163.066,2.440,0.964,True,completed,80.279,2.440,0,0
Street Loop,tourer,36,-3,5.426,162.663,2.460,0.964,True,completed,80.723,2.460,0,0
Street Loop,tourer,36,0,5.438,162.725,2.460,0.964,True,cleared / unstable landing,80.659,2.460,0,0
Street Loop,tourer,36,-4.7,7.482,150.315,1.020,0.381,True,completed,0.000,0.000,0,15
Street Loop,tourer,36,1.7,5.120,150.399,2.080,0.387,True,completed,0.000,0.000,0,14
Street Loop,moto,12,-1.5,13.741,150.111,1.480,0.909,True,completed,14.695,1.300,0,44
Street Loop,moto,12,-3,13.520,150.107,1.280,0.932,True,completed,14.527,1.280,0,21
Street Loop,moto,12,0,13.477,150.052,1.360,0.888,True,completed,15.290,1.360,0,34
Street Loop,moto,12,-4.7,13.627,150.168,1.880,0.105,True,completed,0.000,0.000,0,349
Street Loop,moto,12,1.7,13.392,150.212,1.300,-0.136,True,completed,0.000,0.000,0,281
Street Loop,moto,24,-1.5,7.798,150.044,2.020,0.943,True,completed,44.889,2.020,0,124
Street Loop,moto,24,-3,7.443,150.205,2.060,0.933,True,completed,45.568,2.060,0,129
Street Loop,moto,24,0,8.442,150.174,2.020,0.944,True,completed,44.856,2.020,0,133
Street Loop,moto,24,-4.7,9.426,150.109,2.000,-0.952,True,completed,0.000,0.000,0,152
Street Loop,moto,24,1.7,7.346,150.291,2.460,0.792,True,completed,0.000,0.000,0,238
Street Loop,moto,36,-1.5,5.491,165.714,2.540,0.958,True,completed,84.004,2.540,0,204
Street Loop,moto,36,-3,5.489,165.710,2.540,0.958,True,completed,84.001,2.540,0,198
Street Loop,moto,36,0,5.499,165.720,2.540,0.958,True,completed,84.005,2.540,0,194
Street Loop,moto,36,-4.7,22.628,99.025,20.180,-1.000,True,stalled/crashed,0.000,0.000,0,118
Street Loop,moto,36,1.7,8.290,150.468,2.640,-0.956,True,completed,0.000,0.000,0,115
Street Loop,atv,12,-1.5,13.692,150.114,1.380,0.935,True,completed,14.241,1.260,0,47
Street Loop,atv,12,-3,13.541,150.091,1.460,0.907,True,completed,14.863,1.320,0,37
Street Loop,atv,12,0,13.582,150.213,1.280,0.924,True,completed,14.417,1.280,0,12
Street Loop,atv,12,-4.7,13.417,150.106,1.400,0.311,True,completed,0.000,0.000,0,201
Street Loop,atv,12,1.7,13.559,150.037,1.520,0.245,True,completed,0.000,0.000,0,255
Street Loop,atv,24,-1.5,8.514,150.285,2.040,0.938,True,completed,45.058,2.040,0,33
Street Loop,atv,24,-3,8.496,150.315,2.040,0.937,True,completed,45.037,2.040,0,38
Street Loop,atv,24,0,7.273,150.254,2.040,0.937,True,completed,45.039,2.040,0,32
Street Loop,atv,24,-4.7,7.256,150.464,1.580,0.274,True,completed,0.000,0.000,0,111
Street Loop,atv,24,1.7,7.319,150.291,2.160,-0.855,True,completed,0.000,0.000,0,105
Street Loop,atv,36,-1.5,5.485,165.216,2.540,0.961,True,completed,83.658,2.540,0,193
Street Loop,atv,36,-3,5.499,165.221,2.540,0.962,True,completed,83.660,2.540,0,190
Street Loop,atv,36,0,5.496,165.215,2.540,0.961,True,completed,83.658,2.540,0,182
Street Loop,atv,36,-4.7,5.311,150.124,2.520,-0.345,True,completed,75.785,2.520,0,106
Street Loop,atv,36,1.7,5.141,152.705,2.360,-0.761,True,completed,76.672,2.360,0,122
