course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards,contactCorrections
Forest Loop Reverse,moto,12,-1.5,13.420,150.092,0.680,0.935,True,completed,8.350,0.680,0,7
Forest Loop Reverse,moto,12,-3,13.420,150.101,0.680,0.935,True,completed,8.349,0.680,0,22
Forest Loop Reverse,moto,12,0,13.420,150.056,0.680,0.935,True,completed,8.350,0.680,0,23
Forest Loop Reverse,moto,12,-4.7,14.480,150.186,2.100,0.165,True,completed,8.132,0.700,0,128
Forest Loop Reverse,moto,12,1.7,16.560,150.134,2.460,-0.886,True,completed,0.000,0.000,0,198
Forest Loop Reverse,moto,24,-1.5,9.080,150.198,2.100,0.936,True,completed,45.768,2.100,0,46
Forest Loop Reverse,moto,24,-3,7.860,150.047,2.100,0.936,True,completed,45.755,2.100,0,42
Forest Loop Reverse,moto,24,0,7.220,150.245,2.100,0.936,True,completed,45.735,2.100,0,43
Forest Loop Reverse,moto,24,-4.7,7.020,150.006,1.340,0.228,True,completed,0.000,0.000,0,221
Forest Loop Reverse,moto,24,1.7,10.200,150.287,2.120,-0.115,True,completed,0.000,0.000,0,137
Forest Loop Reverse,moto,36,-1.5,5.840,172.259,2.920,0.933,True,completed,92.515,2.920,0,71
Forest Loop Reverse,moto,36,-3,5.840,172.258,2.920,0.934,True,completed,92.571,2.920,0,64
Forest Loop Reverse,moto,36,0,5.840,172.564,2.900,0.934,True,completed,92.191,2.900,0,69
Forest Loop Reverse,moto,36,-4.7,5.120,150.083,2.340,0.217,True,completed,75.437,2.340,0,103
Forest Loop Reverse,moto,36,1.7,5.200,153.595,2.460,0.169,True,completed,0.000,0.000,0,100
Forest Loop Reverse,atv,12,-1.5,13.440,150.197,0.680,0.934,True,completed,8.308,0.680,0,2
Forest Loop Reverse,atv,12,-3,13.440,150.197,0.680,0.934,True,completed,8.308,0.680,0,13
Forest Loop Reverse,atv,12,0,13.440,150.214,0.680,0.934,True,completed,8.306,0.680,0,8
Forest Loop Reverse,atv,12,-4.7,14.460,150.230,2.660,0.420,True,completed,0.000,0.000,0,53
Forest Loop Reverse,atv,12,1.7,13.460,150.022,1.140,0.403,True,completed,0.000,0.000,0,71
Forest Loop Reverse,atv,24,-1.5,7.480,150.416,2.100,0.937,True,completed,45.535,2.100,0,37
Forest Loop Reverse,atv,24,-3,9.080,150.238,2.120,0.937,True,completed,45.957,2.120,0,34
Forest Loop Reverse,atv,24,0,8.920,150.110,2.120,0.937,True,completed,45.952,2.120,0,39
Forest Loop Reverse,atv,24,-4.7,7.200,150.423,1.920,0.913,True,completed,42.459,1.920,0,62
Forest Loop Reverse,atv,24,1.7,7.220,150.022,1.960,0.332,True,completed,0.000,0.000,0,111
Forest Loop Reverse,atv,36,-1.5,5.860,172.156,2.920,0.935,True,completed,91.869,2.920,0,67
Forest Loop Reverse,atv,36,-3,5.860,172.216,2.920,0.935,True,completed,91.926,2.920,0,59
Forest Loop Reverse,atv,36,0,5.860,172.219,2.920,0.935,True,completed,91.987,2.920,0,65
Forest Loop Reverse,atv,36,-4.7,5.200,152.271,2.500,0.738,True,completed,79.720,2.500,0,67
Forest Loop Reverse,atv,36,1.7,5.140,150.837,2.440,0.737,True,completed,78.263,2.440,0,72
