time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,1064.525,145.989,178.725,23.776,-23.776,-0.057,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2357479;"
0.040,1064.050,145.988,178.725,23.787,-23.788,-0.028,0.000,0.112,0.000,0.000,4,11.211,1.075,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1239017;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3063568;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1239017;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3063568;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1754893;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1754893;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3661647;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1837127;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3661647;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1837127;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1837127;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2356615;"
0.060,1063.576,145.990,178.725,23.797,-23.797,0.062,0.000,0.106,0.000,0.000,4,14.184,0.526,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08972725;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2635844;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08972725;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2635844;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09964252;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09964254;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.323386;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495297;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.323386;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495296;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495297;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2342188;"
0.080,1063.101,145.994,178.725,23.804,-23.804,0.202,0.000,0.102,0.000,0.000,4,16.777,0.090,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05860141;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.221266;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05860139;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.221266;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1008263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1008263;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2810756;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1184167;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2810756;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1184167;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1296581;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2294867;"
0.100,1062.627,146.001,178.725,23.810,-23.808,0.386,0.000,0.098,0.000,0.000,4,18.911,0.247,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03109975;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1808723;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03109973;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1808723;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03625667;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03625667;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2407093;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09093079;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2407093;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09093079;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09093079;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09638393;"
0.120,1062.155,146.017,178.725,23.766,-23.753,0.793,0.001,0.095,0.000,0.000,4,20.544,0.500,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007756904;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1436743;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007756896;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1436743;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03999349;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03999349;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05767554;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2034839;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06757823;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2034839;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06757823;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06757823;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1000932;"
0.140,1061.684,146.038,178.725,23.764,-23.740,1.063,0.001,0.117,0.000,0.000,4,21.294,3.085,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001555482;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1057047;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001550733;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1057094;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002828479;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00283137;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.165493;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06134571;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1654969;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06134178;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06134292;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1073396;"
0.160,1061.213,146.064,178.725,23.768,-23.732,1.322,0.001,0.118,0.000,0.000,4,22.709,3.254,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003239904;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07363019;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003231335;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07363105;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01606524;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01606598;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05030319;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1334243;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06012632;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1334243;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06012632;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06192768;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1073158;"
0.180,1060.741,146.096,178.725,23.770,-23.717,1.595,0.000,0.116,0.000,0.000,4,23.460,2.827,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00165252;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04932912;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001655355;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04932629;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001653552;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002411246;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1091353;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06145478;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1091371;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06145298;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07227162;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1017914;"
0.200,1060.269,146.133,178.725,23.771,-23.698,1.866,0.000,0.115,0.000,0.000,4,23.358,2.425,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006091442;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03282063;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006097232;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03281485;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01123294;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0112395;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09263246;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06592433;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09263347;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06592333;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06592399;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07112181;"
