time,speed,travel,x,y,z,grounded,lift,torque,contact
0.020,11.887,0.238,-630.208,8.192,-149.822,4,7.801,0.068,"Ground_80_320:(0.00, 1.00, 0.00)"
0.040,11.899,0.476,-630.212,8.191,-149.585,4,8.240,0.041,"Ground_80_240:(0.00, 1.00, 0.00)"
0.060,11.909,0.714,-630.216,8.189,-149.346,4,8.651,0.021,"Ground_80_240:(0.00, 1.00, 0.00)"
0.080,11.810,0.950,-630.220,8.186,-149.110,4,9.032,0.012,"Ground_80_240:(0.00, 1.00, 0.00)"
0.100,11.833,1.186,-630.223,8.184,-148.874,4,9.377,0.017,"Ground_80_240:(0.00, 1.00, 0.00)"
0.120,11.852,1.423,-630.227,8.182,-148.637,4,9.677,0.026,"Ground_80_240:(0.00, 1.00, 0.00)"
0.140,11.868,1.661,-630.231,8.179,-148.400,4,9.933,0.032,"Ground_80_240:(0.00, 1.00, 0.00)"
0.160,11.882,1.898,-630.235,8.177,-148.162,4,10.146,0.037,"Ground_80_240:(0.00, 1.00, 0.00)"
0.180,11.894,2.136,-630.239,8.175,-147.924,4,10.314,0.040,"Ground_80_240:(0.00, 1.00, 0.00)"
0.200,11.904,2.374,-630.243,8.173,-147.686,4,10.441,0.041,"Ground_80_240:(0.00, 1.00, 0.00)"
0.220,11.806,2.610,-630.247,8.172,-147.450,4,10.530,0.040,"Ground_80_240:(0.00, 1.00, 0.00)"
0.240,11.829,2.847,-630.251,8.170,-147.214,4,10.586,0.039,"Ground_80_240:(0.00, 1.00, 0.00)"
0.260,11.849,3.084,-630.255,8.170,-146.977,4,10.609,0.037,"Ground_80_240:(0.00, 1.00, 0.00)"
0.280,11.865,3.321,-630.259,8.169,-146.740,4,10.607,0.034,"Ground_80_240:(0.00, 1.00, 0.00)"
0.300,11.879,3.559,-630.263,8.169,-146.502,4,10.583,0.031,"Ground_80_240:(0.00, 1.00, 0.00)"
0.320,11.892,3.796,-630.267,8.169,-146.264,4,10.541,0.029,"Ground_80_240:(0.00, 1.00, 0.00)"
0.340,11.902,4.034,-630.270,8.169,-146.026,4,10.485,0.027,"Ground_80_240:(0.00, 1.00, 0.00)"
0.360,11.804,4.270,-630.274,8.170,-145.790,4,10.419,0.024,"Ground_80_240:(0.00, 1.00, 0.00)"
0.380,11.827,4.507,-630.278,8.170,-145.554,4,10.346,0.021,"Ground_80_240:(0.00, 1.00, 0.00)"
0.400,11.847,4.744,-630.282,8.171,-145.317,4,10.269,0.019,"Ground_80_240:(0.00, 1.00, 0.00)"
0.420,11.863,4.981,-630.286,8.173,-145.080,4,10.192,0.016,"Ground_80_240:(0.00, 1.00, 0.00)"
0.440,11.878,5.219,-630.290,8.174,-144.842,4,10.117,0.013,"Ground_80_240:(0.00, 1.00, 0.00)"
0.460,11.890,5.456,-630.294,8.175,-144.604,4,10.045,0.012,"Ground_80_240:(0.00, 1.00, 0.00)"
0.480,11.901,5.694,-630.298,8.177,-144.367,4,9.978,0.010,"Ground_80_240:(0.00, 1.00, 0.00)"
0.500,11.802,5.930,-630.302,8.178,-144.131,4,9.916,0.009,"Ground_80_240:(0.00, 1.00, 0.00)"
0.520,11.826,6.167,-630.306,8.179,-143.894,4,9.860,0.008,"Ground_80_240:(0.00, 1.00, 0.00)"
0.540,11.846,6.404,-630.310,8.181,-143.657,4,9.812,0.007,"Ground_80_240:(0.00, 1.00, 0.00)"
0.560,11.863,6.641,-630.314,8.182,-143.420,4,9.771,0.006,"Ground_80_240:(0.00, 1.00, 0.00)"
0.580,11.877,6.879,-630.317,8.184,-143.182,4,9.737,0.005,"Ground_80_240:(0.00, 1.00, 0.00)"
0.600,11.889,7.116,-630.321,8.185,-142.945,4,9.710,0.004,"Ground_80_240:(0.00, 1.00, 0.00)"
0.620,11.900,7.354,-630.325,8.186,-142.707,4,9.691,0.004,"Ground_80_240:(0.00, 1.00, 0.00)"
0.640,11.909,7.593,-630.329,8.188,-142.469,4,9.678,0.003,"Ground_80_240:(0.00, 1.00, 0.00)"
0.660,11.810,7.829,-630.333,8.189,-142.232,4,9.670,0.004,"Ground_80_240:(0.00, 1.00, 0.00)"
0.680,11.832,8.065,-630.337,8.190,-141.996,4,9.666,0.004,"Ground_80_240:(0.00, 1.00, 0.00)"
0.700,11.851,8.302,-630.341,8.191,-141.759,4,9.667,0.003,"Ground_80_240:(0.00, 1.00, 0.00)"
0.720,11.867,8.540,-630.345,8.192,-141.522,4,9.671,0.003,"Ground_80_240:(0.00, 1.00, 0.00)"
0.740,11.881,8.777,-630.349,8.193,-141.284,4,9.678,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.760,11.893,9.015,-630.353,8.194,-141.046,4,9.688,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.780,11.903,9.253,-630.357,8.195,-140.808,4,9.699,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.800,11.804,9.489,-630.361,8.196,-140.572,4,9.712,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.820,11.827,9.726,-630.365,8.197,-140.336,4,9.726,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.840,11.847,9.963,-630.368,8.198,-140.099,4,9.739,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.860,11.864,10.200,-630.372,8.198,-139.861,4,9.751,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.880,11.878,10.438,-630.376,8.199,-139.624,4,9.763,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.900,11.890,10.676,-630.380,8.200,-139.386,4,9.775,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.920,11.901,10.914,-630.384,8.201,-139.148,4,9.785,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
0.940,11.803,11.150,-630.388,8.201,-138.912,4,9.795,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.960,11.826,11.386,-630.392,8.202,-138.676,4,9.804,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
0.980,11.846,11.623,-630.396,8.203,-138.439,4,9.812,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.000,11.863,11.860,-630.400,8.203,-138.202,4,9.818,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.020,11.877,12.098,-630.404,8.204,-137.964,4,9.823,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.040,11.889,12.336,-630.408,8.205,-137.726,4,9.827,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.060,11.900,12.574,-630.411,8.206,-137.488,4,9.829,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.080,11.802,12.810,-630.415,8.206,-137.252,4,9.831,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.100,11.825,13.046,-630.419,8.207,-137.016,4,9.832,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.120,11.845,13.283,-630.423,8.208,-136.779,4,9.832,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.140,11.862,13.520,-630.427,8.209,-136.542,4,9.832,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.160,11.877,13.758,-630.431,8.210,-136.304,4,9.832,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.180,11.889,13.996,-630.435,8.210,-136.066,4,9.831,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.200,11.900,14.234,-630.439,8.211,-135.828,4,9.829,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.220,11.909,14.472,-630.443,8.212,-135.590,4,9.827,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.240,11.810,14.708,-630.447,8.213,-135.354,4,9.825,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.260,11.832,14.945,-630.451,8.214,-135.118,4,9.822,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.280,11.851,15.182,-630.454,8.214,-134.881,4,9.820,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.300,11.867,15.419,-630.458,8.215,-134.643,4,9.819,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.320,11.881,15.657,-630.462,8.216,-134.406,4,9.817,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.340,11.893,15.894,-630.466,8.217,-134.168,4,9.816,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.360,11.903,16.132,-630.470,8.218,-133.930,4,9.814,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.380,11.804,16.369,-630.474,8.219,-133.694,4,9.812,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.400,11.827,16.605,-630.478,8.219,-133.457,4,9.811,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.420,11.847,16.842,-630.482,8.220,-133.220,4,9.810,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.440,11.864,17.079,-630.486,8.221,-132.983,4,9.808,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.460,11.878,17.317,-630.490,8.222,-132.746,4,9.808,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.480,11.890,17.555,-630.494,8.223,-132.508,4,9.808,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.500,11.901,17.793,-630.497,8.224,-132.270,4,9.808,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.520,11.803,18.029,-630.501,8.225,-132.034,4,9.807,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.540,11.826,18.265,-630.505,8.225,-131.797,4,9.807,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.560,11.846,18.502,-630.509,8.226,-131.560,4,9.807,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.580,11.863,18.739,-630.513,8.227,-131.323,4,9.807,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.600,11.877,18.977,-630.517,8.228,-131.086,4,9.807,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.620,11.889,19.215,-630.521,8.229,-130.848,4,9.807,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.640,11.900,19.453,-630.525,8.230,-130.610,4,9.807,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.660,11.802,19.689,-630.529,8.230,-130.374,4,9.808,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.680,11.825,19.925,-630.533,8.231,-130.138,4,9.808,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.700,11.845,20.162,-630.536,8.232,-129.901,4,9.808,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.720,11.862,20.399,-630.540,8.233,-129.663,4,9.809,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.740,11.877,20.637,-630.544,8.234,-129.426,4,9.809,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.760,11.889,20.875,-630.548,8.234,-129.188,4,9.809,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.780,11.900,21.113,-630.552,8.235,-128.950,4,9.809,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.800,11.909,21.351,-630.556,8.236,-128.712,4,9.809,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.820,11.810,21.587,-630.560,8.237,-128.476,4,9.810,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.840,11.832,21.824,-630.564,8.238,-128.239,4,9.810,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
1.860,11.851,22.061,-630.568,8.239,-128.002,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.880,11.867,22.298,-630.572,8.239,-127.765,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.900,11.881,22.536,-630.575,8.240,-127.527,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.920,11.893,22.774,-630.579,8.241,-127.290,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.940,11.903,23.012,-630.583,8.242,-127.052,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.960,11.804,23.248,-630.587,8.243,-126.816,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.980,11.827,23.484,-630.591,8.244,-126.579,4,9.810,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
2.000,11.847,23.721,-630.595,8.244,-126.342,4,9.811,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.020,11.864,23.959,-630.599,8.245,-126.105,4,9.811,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.040,11.878,24.196,-630.603,8.246,-125.867,4,9.811,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.060,11.890,24.434,-630.607,8.247,-125.630,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.080,11.901,24.672,-630.611,8.248,-125.392,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.100,11.803,24.908,-630.615,8.249,-125.156,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.120,11.826,25.144,-630.618,8.249,-124.919,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.140,11.846,25.381,-630.622,8.250,-124.682,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.160,11.863,25.619,-630.626,8.251,-124.445,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.180,11.877,25.856,-630.630,8.252,-124.208,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.200,11.889,26.094,-630.634,8.253,-123.970,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.220,11.900,26.332,-630.638,8.254,-123.732,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.240,11.802,26.568,-630.642,8.254,-123.496,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.260,11.825,26.804,-630.646,8.255,-123.259,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.280,11.845,27.041,-630.650,8.256,-123.022,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.300,11.862,27.279,-630.654,8.257,-122.785,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.320,11.877,27.516,-630.658,8.258,-122.548,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.340,11.889,27.754,-630.661,8.258,-122.310,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.360,11.900,27.992,-630.665,8.259,-122.072,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.380,11.909,28.230,-630.669,8.260,-121.834,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.400,11.810,28.466,-630.673,8.261,-121.598,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.420,11.832,28.703,-630.677,8.262,-121.361,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.440,11.851,28.940,-630.681,8.263,-121.124,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.460,11.867,29.177,-630.685,8.263,-120.887,4,9.810,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
2.480,11.881,29.415,-630.689,8.264,-120.649,4,10.395,0.000,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.500,11.893,29.653,-630.693,8.266,-120.412,4,10.304,0.061,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.520,11.903,29.891,-630.697,8.267,-120.174,4,10.229,0.111,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.540,11.804,30.126,-630.701,8.269,-119.938,4,10.165,0.149,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.560,11.827,30.363,-630.704,8.270,-119.701,4,10.107,0.179,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.580,11.846,30.600,-630.708,8.272,-119.465,4,10.055,0.201,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.600,11.863,30.837,-630.712,8.274,-119.228,4,10.007,0.216,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.620,11.876,31.074,-630.716,8.276,-118.990,4,10.547,0.226,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.640,11.888,31.312,-630.720,8.279,-118.753,4,10.376,0.170,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.660,11.898,31.550,-630.724,8.281,-118.515,4,10.202,0.123,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.680,11.907,31.788,-630.728,8.284,-118.277,4,10.033,0.084,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.700,11.807,32.024,-630.732,8.286,-118.040,4,9.876,0.052,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.720,11.829,32.261,-630.736,8.289,-117.804,4,9.731,0.026,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.740,11.848,32.498,-630.740,8.292,-117.567,4,9.610,0.005,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.760,11.864,32.735,-630.744,8.294,-117.330,4,9.510,0.011,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.780,11.877,32.973,-630.747,8.296,-117.092,4,9.431,0.023,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.800,11.889,33.210,-630.751,8.298,-116.854,4,9.373,0.032,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.820,11.899,33.449,-630.755,8.300,-116.616,4,9.336,0.037,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.840,11.908,33.687,-630.759,8.302,-116.378,4,9.317,0.041,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.860,11.809,33.923,-630.763,8.304,-116.142,4,9.315,0.043,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.880,11.831,34.160,-630.767,8.305,-115.905,4,9.326,0.043,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.900,11.849,34.397,-630.771,8.306,-115.668,4,9.352,0.042,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.920,11.866,34.634,-630.775,8.307,-115.431,4,9.387,0.040,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.940,11.880,34.872,-630.779,8.308,-115.193,4,9.428,0.038,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.960,11.891,35.110,-630.783,8.308,-114.955,4,9.475,0.035,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
2.980,11.902,35.348,-630.787,8.309,-114.717,4,9.525,0.032,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.000,11.803,35.584,-630.791,8.309,-114.481,4,9.576,0.029,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.020,11.826,35.820,-630.795,8.310,-114.245,4,9.627,0.026,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.040,11.846,36.057,-630.799,8.310,-114.008,4,9.676,0.023,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.060,11.863,36.294,-630.802,8.310,-113.771,4,9.722,0.020,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.080,11.877,36.532,-630.806,8.311,-113.533,4,9.764,0.017,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.100,11.890,36.770,-630.810,8.311,-113.295,4,9.801,0.015,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.120,11.900,37.008,-630.814,8.311,-113.057,4,9.834,0.012,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.140,11.802,37.244,-630.818,8.312,-112.821,4,9.862,0.010,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.160,11.825,37.480,-630.822,8.312,-112.585,4,9.885,0.008,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.180,11.845,37.717,-630.826,8.312,-112.348,4,9.902,0.007,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.200,11.862,37.955,-630.830,8.313,-112.111,4,9.915,0.005,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.220,11.877,38.192,-630.834,8.313,-111.873,4,9.924,0.004,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.240,11.889,38.430,-630.838,8.314,-111.635,4,9.929,0.003,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.260,11.900,38.668,-630.841,8.314,-111.398,4,9.930,0.002,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.280,11.909,38.906,-630.845,8.315,-111.159,4,9.928,0.001,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.300,11.810,39.142,-630.849,8.316,-110.923,4,9.924,0.001,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.320,11.832,39.379,-630.853,8.316,-110.687,4,9.917,0.000,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
3.340,11.851,39.616,-630.857,8.317,-110.450,4,9.919,0.019,"Ground_80_320:(0.00, 1.00, 0.00)"
3.360,11.867,39.853,-630.861,8.318,-110.212,4,9.923,0.015,"Ground_80_320:(0.00, 1.00, 0.00)"
3.380,11.881,40.091,-630.865,8.319,-109.975,4,9.938,0.050,"Ground_80_320:(0.00, 1.00, 0.00)"
3.400,11.893,40.329,-630.869,8.320,-109.737,4,9.968,0.039,"Ground_80_320:(0.00, 1.00, 0.00)"
3.420,11.903,40.567,-630.873,8.321,-109.499,4,9.996,0.069,"Ground_80_320:(0.00, 1.00, 0.00)"
3.440,11.804,40.803,-630.877,8.322,-109.263,4,10.046,0.049,"Ground_80_320:(0.00, 1.00, 0.00)"
3.460,11.827,41.039,-630.881,8.323,-109.027,4,10.086,0.077,"Ground_80_320:(0.00, 1.00, 0.00)"
3.480,11.847,41.276,-630.884,8.324,-108.790,4,10.161,0.067,"Ground_80_320:(0.00, 1.00, 0.00)"
3.500,11.863,41.513,-630.888,8.326,-108.553,4,10.214,0.095,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, -0.02)"
3.520,11.877,41.750,-630.892,8.327,-108.315,4,10.316,0.094,"Takeoff - 40m x 6m, 6.2m rise:(-0.01, 1.00, -0.02)"
3.540,11.889,41.988,-630.896,8.329,-108.078,4,10.394,0.120,"Takeoff - 40m x 6m, 6.2m rise:(-0.01, 1.00, -0.02)"
3.560,11.899,42.226,-630.900,8.332,-107.840,4,10.504,0.132,"Takeoff - 40m x 6m, 6.2m rise:(-0.01, 1.00, -0.02)"
3.580,11.908,42.464,-630.904,8.334,-107.602,4,10.600,0.171,"Takeoff - 40m x 6m, 6.2m rise:(-0.01, 1.00, -0.02)"
3.600,11.808,42.700,-630.908,8.337,-107.366,4,10.697,0.175,"Takeoff - 40m x 6m, 6.2m rise:(-0.01, 1.00, -0.02)"
3.620,11.829,42.936,-630.912,8.340,-107.130,4,10.813,0.229,"Takeoff - 40m x 6m, 6.2m rise:(-0.01, 1.00, -0.03)"
3.640,11.847,43.172,-630.916,8.344,-106.894,4,10.879,0.222,"Takeoff - 40m x 6m, 6.2m rise:(-0.01, 1.00, -0.02)"
3.660,11.862,43.409,-630.921,8.348,-106.657,4,10.985,0.385,"Takeoff - 40m x 6m, 6.2m rise:(-0.01, 1.00, -0.03)"
3.680,11.875,43.646,-630.925,8.353,-106.420,4,11.006,0.272,"Takeoff - 40m x 6m, 6.2m rise:(-0.02, 1.00, -0.03)"
3.700,11.886,43.884,-630.929,8.358,-106.183,4,11.107,0.232,"Takeoff - 40m x 6m, 6.2m rise:(-0.02, 1.00, -0.03)"
3.720,11.895,44.121,-630.933,8.364,-105.945,4,11.109,0.338,"Takeoff - 40m x 6m, 6.2m rise:(-0.02, 1.00, -0.03)"
3.740,11.902,44.359,-630.938,8.370,-105.708,4,11.190,0.279,"Takeoff - 40m x 6m, 6.2m rise:(-0.02, 1.00, -0.04)"
3.760,11.801,44.594,-630.942,8.377,-105.472,4,11.175,0.397,"Takeoff - 40m x 6m, 6.2m rise:(-0.01, 1.00, -0.04)"
3.780,11.822,44.830,-630.947,8.384,-105.236,4,11.235,0.322,"Takeoff - 40m x 6m, 6.2m rise:(-0.03, 1.00, -0.04)"
3.800,11.839,45.066,-630.951,8.392,-105.000,4,11.205,0.451,"Takeoff - 40m x 6m, 6.2m rise:(-0.03, 1.00, -0.04)"
3.820,11.853,45.303,-630.956,8.400,-104.764,4,11.230,0.357,"Takeoff - 40m x 6m, 6.2m rise:(-0.03, 1.00, -0.05)"
3.840,11.865,45.539,-630.961,8.409,-104.527,4,11.192,0.395,"Takeoff - 40m x 6m, 6.2m rise:(-0.03, 1.00, -0.05)"
3.860,11.875,45.776,-630.966,8.419,-104.290,4,11.191,0.397,"Takeoff - 40m x 6m, 6.2m rise:(-0.04, 1.00, -0.05)"
3.880,11.883,46.013,-630.970,8.429,-104.053,4,11.142,0.431,"Takeoff - 40m x 6m, 6.2m rise:(-0.03, 1.00, -0.05)"
3.900,11.890,46.250,-630.975,8.440,-103.816,4,11.122,0.431,"Takeoff - 40m x 6m, 6.2m rise:(-0.03, 1.00, -0.03)"
3.920,11.895,46.487,-630.981,8.451,-103.579,4,11.076,0.557,"Takeoff - 40m x 6m, 6.2m rise:(-0.04, 1.00, -0.03)"
3.940,11.899,46.725,-630.986,8.463,-103.342,4,11.060,0.451,"Takeoff - 40m x 6m, 6.2m rise:(-0.03, 1.00, -0.04)"
3.960,11.903,46.962,-630.992,8.475,-103.105,4,11.018,0.562,"Takeoff - 40m x 6m, 6.2m rise:(-0.02, 1.00, -0.04)"
3.980,11.798,47.197,-630.997,8.487,-102.870,4,10.965,0.470,"Takeoff - 40m x 6m, 6.2m rise:(-0.03, 1.00, -0.05)"
4.000,11.815,47.433,-631.003,8.500,-102.634,4,10.963,0.571,"Takeoff - 40m x 6m, 6.2m rise:(-0.03, 1.00, -0.05)"
4.020,11.830,47.669,-631.009,8.514,-102.398,4,10.852,0.501,"Takeoff - 40m x 6m, 6.2m rise:(-0.04, 1.00, -0.04)"
4.040,11.842,47.905,-631.015,8.528,-102.163,4,10.880,0.602,"Takeoff - 40m x 6m, 6.2m rise:(-0.03, 1.00, -0.04)"
4.060,11.852,48.141,-631.021,8.542,-101.926,4,10.772,0.513,"Takeoff - 40m x 6m, 6.2m rise:(-0.06, 1.00, -0.05)"
4.080,11.860,48.377,-631.027,8.557,-101.690,4,10.856,0.382,"Takeoff - 40m x 6m, 6.2m rise:(-0.04, 1.00, -0.05)"
4.100,11.867,48.613,-631.033,8.572,-101.454,4,10.712,0.594,"Takeoff - 40m x 6m, 6.2m rise:(-0.03, 1.00, -0.06)"
4.120,11.872,48.850,-631.039,8.588,-101.217,4,10.752,0.406,"Takeoff - 40m x 6m, 6.2m rise:(-0.05, 1.00, -0.05)"
4.140,11.877,49.086,-631.046,8.603,-100.981,4,10.611,0.620,"Takeoff - 40m x 6m, 6.2m rise:(-0.05, 1.00, -0.05)"
