time,x,y,z,speed,wheels,up,target,groundGap,throttle,brake,steer
0.020,522.568,82.249,-129.833,0.360,4,1.000,1,0.529,1.000,0.000,0.000
0.040,522.555,82.247,-129.839,0.718,4,1.000,1,0.528,1.000,0.000,0.000
0.060,522.535,82.245,-129.848,1.073,4,1.000,1,0.526,1.000,0.000,0.000
0.080,522.508,82.242,-129.860,1.427,4,1.000,1,0.524,1.000,0.000,0.000
0.100,522.476,82.239,-129.874,1.779,4,1.000,1,0.521,1.000,0.000,-0.001
0.120,522.436,82.235,-129.892,2.129,4,1.000,1,0.519,1.000,0.000,-0.001
0.140,522.391,82.232,-129.912,2.477,4,1.000,1,0.517,1.000,0.000,-0.001
0.160,522.339,82.228,-129.935,2.823,4,0.999,1,0.514,1.000,0.000,-0.002
0.180,522.281,82.225,-129.961,3.167,4,0.999,1,0.512,1.000,0.000,-0.002
0.200,522.216,82.222,-129.989,3.509,4,0.999,1,0.510,1.000,0.000,-0.002
0.220,522.145,82.218,-130.020,3.849,4,0.999,1,0.508,1.000,0.000,-0.003
0.240,522.117,82.281,-130.084,3.846,4,0.988,1,0.572,1.000,0.000,-0.003
0.260,522.045,82.290,-130.126,4.182,4,0.983,1,0.603,1.000,0.000,-0.032
0.280,521.966,82.296,-130.169,4.513,4,0.978,1,0.628,1.000,0.000,-0.038
0.300,521.879,82.299,-130.212,4.842,4,0.974,1,0.632,1.000,0.000,-0.043
0.320,521.786,82.299,-130.258,5.168,4,0.970,1,0.633,1.000,0.000,-0.047
0.340,521.686,82.297,-130.304,5.492,4,0.967,1,0.631,1.000,0.000,-0.049
0.360,521.580,82.292,-130.352,5.814,4,0.964,1,0.626,1.000,0.000,-0.050
0.380,521.468,82.286,-130.401,6.079,4,0.962,1,0.620,0.830,0.000,-0.050
0.400,521.353,82.279,-130.451,6.283,4,0.960,1,0.613,0.645,0.000,-0.049
0.420,521.234,82.271,-130.502,6.440,4,0.958,1,0.604,0.502,0.000,-0.047
0.440,521.113,82.262,-130.553,6.561,4,0.957,1,0.594,0.392,0.000,-0.045
0.460,520.990,82.253,-130.605,6.655,4,0.956,1,0.585,0.307,0.000,-0.043
0.480,520.866,82.244,-130.658,6.728,4,0.955,1,0.575,0.241,0.000,-0.040
0.500,520.741,82.236,-130.711,6.784,4,0.955,1,0.566,0.190,0.000,-0.036
0.520,520.615,82.228,-130.764,6.828,4,0.954,1,0.556,0.151,0.000,-0.033
0.540,520.489,82.220,-130.818,6.862,4,0.954,1,0.547,0.120,0.000,-0.030
0.560,520.362,82.213,-130.873,6.889,4,0.954,1,0.539,0.096,0.000,-0.026
0.580,520.235,82.206,-130.927,6.909,4,0.954,1,0.531,0.078,0.000,-0.023
0.600,520.108,82.201,-130.983,6.925,4,0.954,1,0.524,0.063,0.000,-0.019
0.620,519.980,82.196,-131.038,6.938,4,0.954,1,0.518,0.052,0.000,-0.016
0.640,519.854,82.191,-131.094,6.885,4,0.954,1,0.515,0.043,0.000,-0.012
0.660,519.728,82.188,-131.150,6.907,4,0.954,1,0.513,0.080,0.000,-0.009
0.680,519.601,82.185,-131.206,6.924,4,0.954,2,0.511,0.065,0.000,-0.005
0.700,519.474,82.182,-131.262,6.937,4,0.955,2,0.510,0.053,0.000,-0.002
0.720,519.349,82.181,-131.319,6.885,4,0.955,2,0.510,0.044,0.000,0.001
0.740,519.223,82.180,-131.376,6.907,4,0.955,2,0.509,0.081,0.000,0.004
0.760,519.096,82.179,-131.433,6.924,4,0.956,2,0.509,0.065,0.000,0.007
0.780,518.970,82.179,-131.490,6.937,4,0.956,3,0.509,0.053,0.000,0.015
0.800,518.844,82.179,-131.547,6.885,4,0.957,3,0.509,0.044,0.000,0.017
0.820,518.718,82.179,-131.604,6.907,4,0.957,3,0.509,0.081,0.000,0.019
0.840,518.592,82.180,-131.662,6.924,4,0.958,3,0.510,0.065,0.000,0.021
0.860,518.466,82.180,-131.719,6.937,4,0.958,3,0.511,0.054,0.000,0.022
0.880,518.340,82.181,-131.776,6.884,4,0.959,3,0.512,0.044,0.000,0.024
0.900,518.215,82.181,-131.833,6.906,4,0.959,3,0.513,0.081,0.000,0.026
0.920,518.088,82.182,-131.891,6.923,4,0.960,3,0.513,0.066,0.000,0.027
0.940,517.962,82.183,-131.948,6.936,4,0.960,4,0.514,0.054,0.000,0.030
0.960,517.836,82.183,-132.004,6.884,4,0.961,4,0.515,0.045,0.000,0.031
0.980,517.710,82.184,-132.061,6.906,4,0.961,4,0.517,0.081,0.000,0.032
1.000,517.584,82.185,-132.118,6.922,4,0.961,4,0.519,0.066,0.000,0.032
1.020,517.457,82.185,-132.175,6.935,4,0.962,4,0.521,0.054,0.000,0.033
1.040,517.332,82.185,-132.231,6.883,4,0.962,4,0.522,0.045,0.000,0.034
1.060,517.205,82.186,-132.288,6.904,4,0.962,4,0.524,0.082,0.000,0.034
1.080,517.079,82.186,-132.344,6.921,4,0.962,4,0.525,0.067,0.000,0.035
1.100,516.952,82.186,-132.400,6.934,4,0.963,4,0.526,0.055,0.000,0.036
1.120,516.826,82.186,-132.456,6.882,4,0.963,5,0.528,0.046,0.000,0.029
1.140,516.699,82.186,-132.512,6.904,4,0.963,5,0.529,0.083,0.000,0.029
1.160,516.573,82.186,-132.567,6.920,4,0.963,5,0.530,0.068,0.000,0.029
1.180,516.445,82.186,-132.623,6.933,4,0.963,5,0.529,0.056,0.000,0.029
1.200,516.319,82.186,-132.678,6.881,4,0.964,5,0.528,0.047,0.000,0.029
