time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ
0.020,35.662,0.713,-629.715,8.809,14.257,4,7.800,0.092,"Ground_80_240:(0.00, 1.00, 0.00)",0.000,0.000,0.000,35.662,0.000,1.000,124.287
0.040,35.668,1.427,-629.703,8.808,13.544,4,7.935,0.057,"Ground_80_320:(0.00, 1.00, 0.00)",0.169,0.000,0.000,35.668,0.000,1.000,123.573
0.060,35.675,2.140,-629.691,8.806,12.830,4,8.086,0.028,"Ground_80_320:(0.00, 1.00, 0.00)",0.166,0.000,0.000,35.675,0.000,1.000,122.860
0.080,35.681,2.854,-629.679,8.803,12.117,4,8.240,0.005,"Ground_80_320:(0.00, 1.00, 0.00)",0.163,0.000,-0.001,35.681,0.000,1.000,122.146
0.100,35.686,3.568,-629.668,8.799,11.403,4,8.400,0.013,"Ground_80_320:(0.00, 1.00, 0.00)",0.160,0.000,0.002,35.686,0.000,1.000,121.432
0.120,35.692,4.282,-629.656,8.795,10.689,4,8.565,0.026,"Ground_80_320:(0.00, 1.00, 0.00)",0.157,0.000,0.003,35.692,0.000,1.000,120.718
0.140,35.697,4.996,-629.644,8.791,9.975,4,8.734,0.036,"Ground_80_320:(0.00, 1.00, 0.00)",0.154,0.000,-0.004,35.697,0.000,1.000,120.004
0.160,35.701,5.710,-629.632,8.786,9.261,4,8.904,0.042,"Ground_80_320:(0.00, 1.00, 0.00)",0.152,0.000,-0.005,35.702,0.000,1.000,119.290
0.180,35.706,6.424,-629.620,8.781,8.547,4,9.073,0.046,"Ground_80_320:(0.00, 1.00, 0.00)",0.149,0.000,0.005,35.706,0.000,1.000,118.576
0.200,35.710,7.138,-629.609,8.776,7.833,4,9.239,0.048,"Ground_80_320:(0.00, 1.00, 0.00)",0.147,0.000,0.006,35.711,0.000,1.000,117.862
0.220,35.714,7.853,-629.597,8.771,7.119,4,9.399,0.047,"Ground_80_320:(0.00, 1.00, 0.00)",0.145,0.000,-0.007,35.715,0.000,1.000,117.147
0.240,35.718,8.567,-629.585,8.765,6.404,4,9.550,0.046,"Ground_80_320:(0.00, 1.00, 0.00)",0.143,0.000,-0.007,35.719,0.000,1.000,116.433
0.260,35.722,9.281,-629.573,8.760,5.690,4,9.691,0.044,"Ground_80_320:(0.00, 1.00, 0.00)",0.141,0.000,0.008,35.722,0.000,1.000,115.719
0.280,35.726,9.996,-629.562,8.754,4.976,4,9.819,0.041,"Ground_80_320:(0.00, 1.00, 0.00)",0.139,0.000,0.009,35.726,0.000,1.000,115.004
0.300,35.729,10.711,-629.550,8.749,4.261,4,9.934,0.038,"Ground_80_320:(0.00, 1.00, 0.00)",0.137,0.000,-0.009,35.729,0.000,1.000,114.289
0.320,35.732,11.425,-629.538,8.743,3.546,4,10.034,0.034,"Ground_80_320:(0.00, 1.00, 0.00)",0.136,0.000,-0.009,35.732,0.000,1.000,113.575
0.340,35.735,12.140,-629.526,8.738,2.832,4,10.118,0.031,"Ground_80_320:(0.00, 1.00, 0.00)",0.134,0.000,0.010,35.735,0.000,1.000,112.860
0.360,35.738,12.855,-629.515,8.733,2.117,4,10.186,0.027,"Ground_80_320:(0.00, 1.00, 0.00)",0.133,0.000,0.010,35.738,0.000,1.000,112.145
0.380,35.740,13.570,-629.503,8.728,1.402,4,10.239,0.024,"Ground_80_320:(0.00, 1.00, 0.00)",0.131,0.000,-0.010,35.740,0.000,1.000,111.430
0.400,35.743,14.284,-629.491,8.723,0.688,4,10.278,0.020,"Ground_80_320:(0.00, 1.00, 0.00)",0.130,0.000,-0.010,35.743,0.000,1.000,110.716
0.420,35.745,14.999,-629.479,8.719,-0.027,4,10.302,0.017,"Ground_80_320:(0.00, 1.00, 0.00)",0.129,0.000,0.011,35.745,0.000,1.000,110.001
0.440,35.747,15.714,-629.468,8.714,-0.742,4,10.314,0.014,"Ground_80_320:(0.00, 1.00, 0.00)",0.127,0.000,0.011,35.747,0.000,1.000,109.286
0.460,35.749,16.429,-629.456,8.710,-1.457,4,10.314,0.012,"Ground_80_320:(0.00, 1.00, 0.00)",0.126,0.000,-0.011,35.749,0.000,1.000,108.571
0.480,35.751,17.144,-629.444,8.706,-2.172,4,10.304,0.010,"Ground_80_320:(0.00, 1.00, 0.00)",0.125,0.000,-0.011,35.751,0.000,1.000,107.856
0.500,35.753,17.859,-629.432,8.702,-2.887,4,10.285,0.008,"Ground_80_320:(0.00, 1.00, 0.00)",0.124,0.000,0.011,35.753,0.000,1.000,107.141
0.520,35.755,18.574,-629.420,8.699,-3.602,4,10.259,0.006,"Ground_80_320:(0.00, 1.00, 0.00)",0.123,0.000,0.011,35.755,0.000,1.000,106.426
0.540,35.756,19.290,-629.409,8.695,-4.317,4,10.227,0.004,"Ground_80_320:(0.00, 1.00, 0.00)",0.123,0.000,-0.011,35.756,0.000,1.000,105.710
