vehicle,jump,time,station,speed,throttle,brake,steer,grounded,up,angularSpeed,contact,impulse,suspensionLift,alignmentTorque
moto,340,0.000,294.960,32.000,0.024,0.000,-0.005,0,1.000,0.000,,0.000,0.000,0.000
moto,340,0.020,295.602,31.998,0.030,0.000,-0.006,0,1.000,0.000,Ground_560_400,0.000,0.000,0.000
moto,340,0.040,296.240,31.998,0.036,0.000,-0.006,2,1.000,0.000,Ground_560_400,0.000,8.702,1.116
moto,340,0.060,296.875,31.705,0.180,0.000,-0.007,2,1.000,0.165,Ground_560_400,0.000,7.900,0.019
moto,340,0.080,297.513,31.727,0.165,0.000,-0.007,2,1.000,0.295,Ground_560_400,0.000,7.002,0.899
moto,340,0.100,298.148,31.748,0.149,0.000,-0.007,2,1.000,0.391,Ground_560_400,0.000,6.048,1.632
moto,340,0.120,298.786,31.768,0.133,0.000,-0.007,2,1.000,0.457,Ground_560_400,0.000,5.074,2.170
moto,340,0.140,299.424,31.788,0.119,0.000,-0.007,2,0.999,0.495,Ground_560_400,0.000,4.170,2.530
moto,340,0.160,300.065,31.807,0.105,0.000,-0.008,4,0.999,0.512,Ground_560_400,0.000,9.793,2.929
moto,340,0.180,300.703,31.822,0.094,0.000,-0.008,4,0.999,0.405,Ground_560_400,0.000,8.670,2.406
moto,340,0.200,301.340,31.836,0.085,0.000,-0.008,4,0.998,0.315,Ground_560_400,0.000,8.306,1.962
moto,340,0.220,301.980,31.851,0.077,0.000,-0.008,4,0.998,0.237,Ground_560_400,0.000,8.335,1.500
moto,340,0.240,302.618,31.864,0.069,0.000,-0.008,4,0.998,0.173,Ground_560_400,0.000,8.789,1.256
moto,340,0.260,303.254,31.877,0.063,0.000,-0.008,4,0.997,0.121,Ground_560_400,0.000,9.518,0.983
moto,340,0.280,303.894,31.889,0.056,0.000,-0.008,4,0.997,0.080,Ground_560_400,0.000,10.371,0.751
moto,340,0.300,304.532,31.900,0.051,0.000,-0.008,4,0.997,0.054,Ground_560_400,0.000,11.258,0.566
moto,340,0.320,305.169,31.910,0.046,0.000,-0.008,4,0.997,0.046,Ground_560_400,0.000,12.129,0.344
moto,340,0.340,305.803,31.632,0.185,0.000,-0.007,4,0.997,0.052,Ground_560_400,0.000,13.036,0.239
moto,340,0.360,306.436,31.665,0.168,0.000,-0.007,4,0.997,0.062,Ground_560_400,0.000,13.688,0.187
moto,340,0.380,307.068,31.695,0.153,0.000,-0.007,4,0.998,0.072,Ground_560_400,0.000,14.319,0.006
moto,340,0.400,307.703,31.722,0.139,0.000,-0.007,4,0.998,0.080,Ground_560_400,0.000,14.722,0.139
moto,340,0.420,308.337,31.746,0.127,0.000,-0.007,4,0.998,0.084,Ground_560_400,0.000,15.031,0.166
moto,340,0.440,308.973,31.769,0.116,0.000,-0.007,4,0.998,0.086,Ground_560_400,0.000,15.183,0.142
moto,340,0.460,309.608,31.789,0.106,0.000,-0.007,4,0.998,0.088,Ground_560_400,0.000,15.263,0.158
moto,340,0.480,310.244,31.807,0.097,0.000,-0.007,4,0.998,0.089,Ground_560_400,0.000,15.178,0.227
moto,340,0.500,310.882,31.824,0.088,0.000,-0.007,4,0.998,0.090,Ground_560_400,0.000,15.081,0.233
moto,340,0.520,311.519,31.839,0.081,0.000,-0.007,4,0.998,0.091,Ground_560_400,0.000,14.881,0.192
moto,340,0.540,312.154,31.853,0.074,0.000,-0.007,4,0.998,0.090,Ground_560_400,0.000,14.642,0.233
moto,340,0.560,312.791,31.865,0.068,0.000,-0.006,4,0.998,0.088,Ground_560_400,0.000,14.275,0.265
moto,340,0.580,313.428,31.876,0.063,0.000,-0.006,4,0.998,0.084,Ground_560_400,0.000,13.866,0.213
moto,340,0.600,314.066,31.886,0.058,0.000,-0.006,4,0.999,0.081,Ground_560_400,0.000,13.431,0.279
moto,340,0.620,314.705,31.895,0.054,0.000,-0.006,4,0.999,0.077,Ground_560_400,0.000,12.998,0.217
moto,340,0.640,315.342,31.903,0.050,0.000,-0.006,4,0.999,0.075,Ground_560_400,0.000,12.557,0.239
moto,340,0.660,315.980,31.909,0.047,0.000,-0.006,4,0.999,0.071,Ground_560_400,0.000,12.078,0.230
moto,340,0.680,316.613,31.628,0.188,0.000,-0.006,4,0.999,0.069,Ground_560_400,0.000,11.666,0.215
moto,340,0.700,317.245,31.658,0.173,0.000,-0.006,4,0.999,0.064,Ground_560_400,0.000,11.348,0.181
moto,340,0.720,317.879,31.685,0.159,0.000,-0.006,4,0.999,0.061,Ground_560_400,0.000,10.932,0.268
moto,340,0.740,318.513,31.710,0.147,0.000,-0.005,4,0.999,0.057,Ground_560_400,0.000,10.497,0.234
moto,340,0.760,319.147,31.732,0.136,0.000,-0.005,4,0.999,0.055,Ground_560_400,0.000,10.197,0.118
moto,340,0.780,319.782,31.751,0.126,0.000,-0.005,4,0.999,0.052,Ground_560_400,0.000,9.988,0.173
moto,340,0.800,320.418,31.769,0.117,0.000,-0.005,4,0.999,0.049,Ground_560_400,0.000,9.697,0.125
moto,340,0.820,321.054,31.785,0.109,0.000,-0.005,4,0.999,0.049,Ground_560_400,0.000,9.557,0.170
moto,340,0.840,321.690,31.799,0.102,0.000,-0.005,4,0.999,0.048,Ground_560_400,0.000,9.462,0.133
moto,340,0.860,322.326,31.812,0.095,0.000,-0.005,4,0.999,0.046,Ground_560_400,0.000,9.385,0.143
moto,340,0.880,322.960,31.824,0.089,0.000,-0.005,4,0.999,0.043,Ground_560_400,0.000,9.269,0.119
moto,340,0.900,323.599,31.834,0.084,0.000,-0.005,4,0.999,0.041,Ground_560_400,0.000,9.207,0.076
moto,340,0.920,324.235,31.844,0.079,0.000,-0.005,4,0.999,0.040,Ground_560_400,0.000,9.251,0.106
moto,340,0.940,324.875,31.852,0.074,0.000,-0.005,4,0.999,0.039,Ground_560_400,0.000,9.281,0.106
moto,340,0.960,325.510,31.860,0.070,0.000,-0.004,4,0.999,0.039,Ground_560_400,0.000,9.349,0.091
