time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.020,11.887,0.238,-632.922,8.809,14.680,4,7.800,0.092,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2239 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2240 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2241 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2501 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2599 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2501 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2599 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2504 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2505 impulse=0.000;",0.000,0.000,0.000,11.887,0.000,1.000,124.762,0.196,-0.040,-11.886,0.000,0.006
0.040,11.898,0.476,-632.918,8.808,14.442,4,8.094,0.057,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2573 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2511 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2504 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2504 impulse=0.000;",0.056,0.000,0.000,11.898,0.000,1.000,124.524,0.196,-0.074,-11.896,0.000,0.010
0.060,11.907,0.714,-632.914,8.806,14.204,4,8.382,0.028,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2501 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2565 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2502 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2578 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2501 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2558 impulse=0.000;",0.051,0.000,0.000,11.907,0.000,1.000,124.286,0.196,-0.103,-11.905,0.000,0.013
0.080,11.807,0.950,-632.910,8.803,13.967,4,8.655,0.005,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2494 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2579 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2494 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2579 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2494 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2538 impulse=0.000;",0.047,0.000,0.001,11.808,0.000,1.000,124.050,0.195,-0.125,-11.806,0.028,0.014
0.100,11.829,1.187,-632.907,8.800,13.731,4,8.908,0.013,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2482 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2561 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2482 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2561 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2482 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2515 impulse=0.000;",0.096,0.000,-0.002,11.829,0.000,1.000,123.813,0.195,-0.143,-11.827,-0.044,0.016
0.120,11.847,1.424,-632.903,8.797,13.494,4,9.146,0.026,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2467 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2538 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2467 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2538 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2467 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2489 impulse=0.000;",0.086,0.000,-0.003,11.848,0.000,1.000,123.576,0.195,-0.157,-11.845,-0.066,0.016
0.140,11.863,1.661,-632.899,8.794,13.256,4,9.361,0.036,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2449 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2513 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2449 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2513 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2449 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2463 impulse=0.000;",0.076,0.000,0.004,11.864,0.000,1.000,123.339,0.196,-0.166,-11.861,0.082,0.016
0.160,11.877,1.899,-632.895,8.790,13.019,4,9.554,0.042,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2430 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2486 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2430 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2486 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2430 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2436 impulse=0.000;",0.068,0.000,0.005,11.878,0.000,1.000,123.101,0.196,-0.171,-11.875,0.101,0.016
0.180,11.889,2.137,-632.891,8.787,12.781,4,9.723,0.046,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2409 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2459 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2409 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2458 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2409 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2410 impulse=0.000;",0.061,0.000,-0.005,11.890,0.000,1.000,122.863,0.196,-0.173,-11.887,-0.117,0.015
0.200,11.900,2.375,-632.887,8.784,12.543,4,9.869,0.048,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2388 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2431 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2388 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2430 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2394 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2421 impulse=0.000;",0.055,0.000,-0.006,11.901,0.000,1.000,122.625,0.196,-0.171,-11.898,-0.136,0.014
0.220,11.909,2.613,-632.883,8.780,12.305,4,9.991,0.048,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2367 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2403 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2367 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2403 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2368 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2391 impulse=0.000;",0.050,0.000,0.007,11.910,0.000,1.000,122.387,0.197,-0.168,-11.907,0.149,0.012
0.240,11.810,2.849,-632.879,8.777,12.069,4,10.092,0.046,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2346 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2377 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2346 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2376 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2346 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2364 impulse=0.000;",0.045,0.000,0.007,11.811,0.000,1.000,122.151,0.195,-0.162,-11.808,0.166,0.013
0.260,11.831,3.086,-632.875,8.774,11.832,4,10.170,0.044,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2326 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2351 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2327 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2351 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2326 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2338 impulse=0.000;",0.095,0.000,-0.008,11.832,0.000,1.000,121.914,0.195,-0.155,-11.829,-0.179,0.010
0.280,11.850,3.323,-632.871,8.771,11.595,4,10.230,0.041,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2308 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2328 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2308 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2328 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2308 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2315 impulse=0.000;",0.084,0.000,-0.009,11.850,0.000,1.000,121.677,0.196,-0.146,-11.848,-0.190,0.011
0.300,11.866,3.560,-632.867,8.768,11.358,4,10.271,0.038,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2291 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2307 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2291 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2307 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2291 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2295 impulse=0.000;",0.075,0.000,0.009,11.866,0.000,1.000,121.440,0.196,-0.137,-11.864,0.201,0.008
0.320,11.880,3.798,-632.864,8.766,11.120,4,10.296,0.034,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2275 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2287 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2275 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2287 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2275 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2277 impulse=0.000;",0.067,0.000,0.009,11.880,0.000,1.000,121.202,0.196,-0.127,-11.878,0.208,0.010
