t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.080,1040.504,153.274,39.159,15.573,-5.421,0.730,14.581,0.000,0.000,-0.051,2,8.522,3.187,0.999,"Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.056);Ground_Mountain_1_4:(-0.126, 0.990, 0.055);Ground_Mountain_1_4:(-0.126, 0.990, 0.055);Ground_Mountain_1_4:(-0.126, 0.990, 0.055);Ground_Mountain_1_4:(-0.126, 0.990, 0.055);Ground_Mountain_1_4:(-0.126, 0.990, 0.055);Ground_Mountain_1_4:(-0.126, 0.990, 0.055);Ground_Mountain_1_4:(-0.128, 0.990, 0.055);Ground_Mountain_1_4:(-0.128, 0.990, 0.055);Ground_Mountain_1_4:(-0.128, 0.990, 0.055);Ground_Mountain_1_4:(-0.128, 0.990, 0.055);Ground_Mountain_1_4:(-0.128, 0.990, 0.055);Ground_Mountain_1_4:(-0.128, 0.990, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.989, 0.055);Ground_Mountain_1_4:(-0.134, 0.990, 0.055);Ground_Mountain_1_4:(-0.134, 0.990, 0.055);Ground_Mountain_1_4:(-0.134, 0.990, 0.055);Ground_Mountain_1_4:(-0.134, 0.990, 0.055);Ground_Mountain_1_4:(-0.134, 0.990, 0.055);Ground_Mountain_1_4:(-0.134, 0.990, 0.055);Ground_Mountain_1_4:(-0.135, 0.989, 0.054);Ground_Mountain_1_4:(-0.135, 0.989, 0.054);Ground_Mountain_1_4:(-0.135, 0.989, 0.054);Ground_Mountain_1_4:(-0.135, 0.989, 0.054);Ground_Mountain_1_4:(-0.135, 0.989, 0.054);Ground_Mountain_1_4:(-0.135, 0.989, 0.054);Ground_Mountain_1_4:(-0.137, 0.989, 0.055);Ground_Mountain_1_4:(-0.137, 0.989, 0.055);Ground_Mountain_1_4:(-0.137, 0.989, 0.055);Ground_Mountain_1_4:(-0.137, 0.989, 0.055);Ground_Mountain_1_4:(-0.137, 0.989, 0.055);Ground_Mountain_1_4:(-0.137, 0.989, 0.055);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.142, 0.988, 0.056);Ground_Mountain_1_4:(-0.141, 0.988, 0.056);Ground_Mountain_1_4:(-0.141, 0.988, 0.056);Ground_Mountain_1_4:(-0.141, 0.988, 0.056);Ground_Mountain_1_4:(-0.141, 0.988, 0.056);Ground_Mountain_1_4:(-0.141, 0.988, 0.056);Ground_Mountain_1_4:(-0.141, 0.988, 0.056);Ground_Mountain_2_3:(0.059, 0.986, -0.155);Ground_Mountain_2_3:(0.059, 0.986, -0.155);Ground_Mountain_2_3:(0.059, 0.986, -0.155);Ground_Mountain_2_3:(0.059, 0.986, -0.155);Ground_Mountain_2_3:(0.059, 0.986, -0.155);Ground_Mountain_2_3:(0.059, 0.986, -0.155);Ground_Mountain_2_3:(0.000, 1.000, 0.000);Ground_Mountain_2_3:(0.000, 1.000, 0.000);Ground_Mountain_2_3:(0.000, 1.000, 0.000);"
0.040,472.377,1040.399,153.290,39.442,15.577,-5.425,0.839,14.581,0.213,0.000,-0.054,4,9.292,8.078,0.997,"Ground_Mountain_2_3:(0.037, 0.986, -0.164);Ground_Mountain_2_3:(0.037, 0.986, -0.164);Ground_Mountain_2_3:(0.037, 0.986, -0.164);Ground_Mountain_2_3:(0.037, 0.986, -0.164);Ground_Mountain_2_3:(0.037, 0.986, -0.164);Ground_Mountain_2_3:(0.037, 0.986, -0.164);"
0.060,472.833,1040.294,153.309,39.726,15.595,-5.431,0.968,14.601,0.212,0.000,-0.056,4,14.975,8.338,0.995,"Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);"
0.080,473.136,1040.188,153.332,40.012,15.601,-5.429,1.198,14.598,0.202,0.000,-0.058,4,19.646,7.451,0.992,"Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);"
0.100,473.440,1040.082,153.360,40.299,15.610,-5.434,1.460,14.585,0.199,0.000,-0.059,4,22.706,6.675,0.989,"Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);Ground_Mountain_2_3:(0.052, 0.987, -0.155);"
0.120,473.747,1039.974,153.396,40.586,15.611,-5.433,1.787,14.544,0.195,0.000,-0.060,4,24.500,5.710,0.987,"Ground_Mountain_2_3:(0.034, 0.986, -0.163);Ground_Mountain_2_3:(0.034, 0.986, -0.163);Ground_Mountain_2_3:(0.034, 0.986, -0.163);Ground_Mountain_2_3:(0.034, 0.986, -0.163);Ground_Mountain_2_3:(0.034, 0.986, -0.163);Ground_Mountain_2_3:(0.034, 0.986, -0.163);"
0.140,474.055,1039.864,153.441,40.873,15.585,-5.416,2.272,14.439,0.195,0.000,-0.061,4,24.607,4.300,0.986,"Ground_Mountain_2_3:(0.054, 0.987, -0.153);Ground_Mountain_2_3:(0.054, 0.987, -0.153);Ground_Mountain_2_3:(0.054, 0.987, -0.153);Ground_Mountain_2_3:(0.054, 0.987, -0.153);Ground_Mountain_2_3:(0.054, 0.987, -0.153);Ground_Mountain_2_3:(0.054, 0.987, -0.153);"
0.160,474.366,1039.755,153.493,41.160,15.582,-5.421,2.595,14.377,0.208,0.000,-0.063,4,21.341,2.156,0.987,"Ground_Mountain_2_3:(0.024, 0.985, -0.168);Ground_Mountain_2_3:(0.024, 0.985, -0.168);Ground_Mountain_2_3:(0.024, 0.985, -0.168);Ground_Mountain_2_3:(0.024, 0.985, -0.168);Ground_Mountain_2_3:(0.024, 0.985, -0.168);Ground_Mountain_2_3:(0.024, 0.985, -0.168);"
0.180,474.823,1039.645,153.548,41.447,15.600,-5.439,2.770,14.358,0.209,0.000,-0.065,4,18.432,1.130,0.987,"Ground_Mountain_2_3:(0.045, 0.985, -0.164);Ground_Mountain_2_3:(0.045, 0.985, -0.164);Ground_Mountain_2_3:(0.045, 0.985, -0.164);Ground_Mountain_2_3:(0.045, 0.985, -0.164);Ground_Mountain_2_3:(0.045, 0.985, -0.164);Ground_Mountain_2_3:(0.045, 0.985, -0.164);"
0.200,475.135,1039.534,153.606,41.734,15.615,-5.461,2.911,14.342,0.200,0.000,-0.067,4,16.695,1.055,0.987,"Ground_Mountain_2_3:(0.055, 0.987, -0.154);Ground_Mountain_2_3:(0.055, 0.987, -0.154);Ground_Mountain_2_3:(0.055, 0.987, -0.154);Ground_Mountain_2_3:(0.055, 0.987, -0.154);Ground_Mountain_2_3:(0.055, 0.987, -0.154);Ground_Mountain_2_3:(0.055, 0.987, -0.154);"
0.220,475.447,1039.424,153.667,42.020,15.628,-5.490,3.019,14.327,0.193,0.000,-0.068,4,15.080,0.860,0.987,"Ground_Mountain_2_3:(0.050, 0.987, -0.154);Ground_Mountain_2_3:(0.050, 0.987, -0.154);Ground_Mountain_2_3:(0.050, 0.987, -0.154);Ground_Mountain_2_3:(0.050, 0.987, -0.154);Ground_Mountain_2_3:(0.050, 0.987, -0.154);Ground_Mountain_2_3:(0.050, 0.987, -0.154);"
0.240,475.760,1039.312,153.729,42.306,15.639,-5.523,3.095,14.313,0.186,0.000,-0.069,4,13.509,0.958,0.987,"Ground_Mountain_2_3:(0.050, 0.987, -0.154);Ground_Mountain_2_3:(0.050, 0.987, -0.154);Ground_Mountain_2_3:(0.050, 0.987, -0.154);Ground_Mountain_2_3:(0.050, 0.987, -0.154);Ground_Mountain_2_3:(0.050, 0.987, -0.154);Ground_Mountain_2_3:(0.050, 0.987, -0.154);"
0.260,476.072,1039.200,153.792,42.592,15.649,-5.562,3.144,14.300,0.180,0.000,-0.069,4,12.101,0.891,0.987,"Ground_Mountain_2_3:(0.050, 0.986, -0.157);Ground_Mountain_2_3:(0.050, 0.986, -0.157);Ground_Mountain_2_3:(0.050, 0.986, -0.157);Ground_Mountain_2_3:(0.050, 0.986, -0.157);Ground_Mountain_2_3:(0.050, 0.986, -0.157);Ground_Mountain_2_3:(0.050, 0.986, -0.157);"
0.280,476.523,1039.088,153.855,42.877,15.657,-5.607,3.167,14.289,0.176,0.000,-0.069,4,10.843,0.985,0.987,"Ground_Mountain_2_3:(0.050, 0.987, -0.153);Ground_Mountain_2_3:(0.050, 0.987, -0.153);Ground_Mountain_2_3:(0.050, 0.987, -0.153);Ground_Mountain_2_3:(0.050, 0.987, -0.153);Ground_Mountain_2_3:(0.050, 0.987, -0.153);Ground_Mountain_2_3:(0.050, 0.987, -0.153);"
0.300,476.835,1038.974,153.918,43.163,15.665,-5.657,3.172,14.276,0.171,0.000,-0.069,4,9.879,0.819,0.987,"Ground_Mountain_2_3:(0.050, 0.986, -0.157);Ground_Mountain_2_3:(0.050, 0.986, -0.157);Ground_Mountain_2_3:(0.050, 0.986, -0.157);Ground_Mountain_2_3:(0.050, 0.986, -0.157);Ground_Mountain_2_3:(0.050, 0.986, -0.157);Ground_Mountain_2_3:(0.050, 0.986, -0.157);"
0.320,477.148,1038.859,153.982,43.448,15.671,-5.712,3.162,14.263,0.168,0.000,-0.069,4,9.157,0.744,0.987,"Ground_Mountain_2_3:(0.058, 0.987, -0.152);Ground_Mountain_2_3:(0.058, 0.987, -0.152);Ground_Mountain_2_3:(0.058, 0.987, -0.152);Ground_Mountain_2_3:(0.058, 0.987, -0.152);Ground_Mountain_2_3:(0.058, 0.987, -0.152);Ground_Mountain_2_3:(0.058, 0.987, -0.152);"
0.340,477.461,1038.744,154.044,43.733,15.676,-5.769,3.139,14.250,0.165,0.000,-0.068,4,8.520,0.837,0.987,"Ground_Mountain_2_3:(0.058, 0.987, -0.152);Ground_Mountain_2_3:(0.058, 0.987, -0.152);Ground_Mountain_2_3:(0.058, 0.987, -0.152);Ground_Mountain_2_3:(0.058, 0.987, -0.152);Ground_Mountain_2_3:(0.058, 0.987, -0.152);Ground_Mountain_2_3:(0.058, 0.987, -0.152);"
