time,vehicle,lap,gate,speed,recoveries,misses,x,y,z
3.000,original,0,0,0.00,0,0,322.06,9.78,544.06
3.000,tourer,0,0,0.00,0,0,318.01,11.28,535.88
3.000,moto,0,0,0.00,0,0,322.38,12.47,528.99
3.000,atv,0,0,0.00,0,0,317.80,13.85,522.23
5.000,original,0,0,18.98,0,0,322.66,13.79,523.12
5.000,tourer,0,0,17.89,0,0,318.18,15.22,516.41
5.000,moto,0,1,23.97,0,0,321.63,18.04,502.63
5.000,atv,0,1,22.23,0,0,317.52,19.20,497.70
7.000,original,0,1,28.37,0,0,321.62,24.74,475.82
7.000,tourer,0,1,27.49,0,0,317.14,25.97,471.18
7.000,moto,0,1,31.54,0,0,320.98,32.88,445.30
7.000,atv,0,1,31.44,0,0,317.04,33.47,443.21
9.000,original,0,1,31.22,0,0,321.24,40.93,417.09
9.000,tourer,0,1,31.23,0,0,316.90,41.99,413.32
9.000,moto,0,1,31.54,0,0,320.99,49.75,384.54
9.000,atv,0,1,31.46,0,0,317.10,50.26,382.59
11.000,original,0,1,31.25,0,0,321.57,57.24,356.78
11.000,tourer,0,1,31.27,0,0,317.62,58.25,352.96
11.000,moto,0,1,31.55,0,0,322.20,65.99,323.59
11.000,atv,0,1,31.47,0,0,318.40,66.44,321.77
13.000,original,0,1,31.28,0,0,323.58,73.07,296.35
13.000,tourer,0,1,31.31,0,0,319.75,73.91,292.44
13.000,moto,0,2,31.79,0,0,327.82,79.85,262.29
13.000,atv,0,2,31.81,0,0,324.29,79.98,260.57
15.000,original,0,2,34.13,0,0,335.05,82.66,234.34
15.000,tourer,0,2,34.66,0,0,332.51,82.77,230.15
15.000,moto,0,2,28.84,0,0,354.10,82.42,200.89
15.000,atv,0,2,24.97,0,0,348.89,82.49,200.53
17.000,original,0,2,28.09,0,0,369.29,80.10,189.97
17.000,tourer,0,2,28.64,0,0,366.88,80.36,187.10
17.000,moto,0,2,34.71,0,0,404.24,76.56,170.54
17.000,atv,0,2,28.68,0,0,388.87,76.93,183.87
19.000,original,0,2,31.40,0,0,418.64,78.80,158.19
19.000,tourer,0,2,30.20,0,0,414.87,77.80,164.88
19.000,moto,0,2,32.78,0,0,443.58,85.38,119.61
