time,name,streetDistance,routeIsStreet,recoveries,x,y,z
3.00,Traffic 1,2.675,True,0,316.87,59.03,349.97
3.00,Traffic 2,2.676,True,0,393.59,36.70,-418.42
3.00,Traffic 3,2.680,True,0,-499.65,7.61,-547.20
3.00,Traffic 4,2.680,True,0,-610.91,8.62,505.01
3.00,Traffic 5,6.184,True,0,-546.47,8.59,534.74
3.00,Traffic 6,6.184,True,0,-523.79,8.58,545.66
3.00,Traffic 7,2.150,True,0,-502.37,8.59,536.07
3.00,Traffic 8,2.150,True,0,-480.20,8.63,539.09
3.00,Traffic 9,6.184,True,0,-371.57,9.26,527.03
3.00,Traffic 10,6.184,True,0,-349.14,9.39,538.52
3.00,Traffic 11,2.150,True,0,-327.44,9.51,529.57
3.00,Traffic 12,2.150,True,0,-305.32,9.60,533.00
3.00,Traffic 13,6.184,True,0,-196.44,9.35,523.11
3.00,Traffic 14,6.184,True,0,-174.38,9.20,535.31
3.00,Traffic 15,2.150,True,0,-152.41,9.04,527.06
3.00,Traffic 16,2.150,True,0,-130.40,8.88,531.14
3.00,Traffic 17,6.184,True,0,-21.40,8.52,522.68
3.00,Traffic 18,6.184,True,0,0.47,8.55,535.16
3.00,Traffic 19,2.150,True,0,22.70,8.62,527.81
3.00,Traffic 20,2.150,True,0,43.93,8.86,534.64
5.00,Traffic 1,2.683,True,0,317.21,63.99,331.57
5.00,Traffic 2,2.695,True,0,406.05,38.71,-434.18
5.00,Traffic 3,2.766,True,0,-521.59,7.41,-547.05
5.00,Traffic 4,2.405,True,0,-617.15,8.84,483.88
5.00,Traffic 5,6.162,True,0,-522.93,8.74,533.32
5.00,Traffic 6,6.236,True,0,-547.34,8.69,547.14
5.00,Traffic 7,2.182,True,0,-478.55,8.63,534.89
5.00,Traffic 8,2.138,True,0,-503.78,8.67,540.21
5.00,Traffic 9,6.188,True,0,-348.09,9.40,526.17
5.00,Traffic 10,6.181,True,0,-372.80,9.25,539.38
5.00,Traffic 11,2.156,True,0,-303.93,9.60,528.85
5.00,Traffic 12,2.144,True,0,-328.95,9.50,533.72
5.00,Traffic 13,6.189,True,0,-172.76,9.19,523.00
5.00,Traffic 14,6.183,True,0,-197.87,9.36,535.42
5.00,Traffic 15,2.153,True,0,-128.72,8.87,527.04
5.00,Traffic 16,2.148,True,0,-153.89,9.05,531.16
5.00,Traffic 17,6.208,True,0,2.18,8.55,522.86
5.00,Traffic 18,6.141,True,0,-23.14,8.52,534.93
5.00,Traffic 19,2.320,True,0,45.97,8.87,530.73
5.00,Traffic 20,1.812,True,0,20.37,8.61,531.41
7.00,Traffic 1,2.699,True,0,318.31,71.50,302.37
7.00,Traffic 2,2.606,True,0,424.60,36.14,-459.95
7.00,Traffic 3,2.716,True,0,-554.22,7.07,-548.45
7.00,Traffic 4,2.783,True,0,-626.75,9.28,451.73
7.00,Traffic 5,6.264,True,0,-471.98,8.65,530.54
7.00,Traffic 6,5.937,True,0,-586.42,8.74,545.93
7.00,Traffic 7,2.128,True,0,-425.85,8.89,533.19
7.00,Traffic 8,2.203,True,0,-555.83,8.74,543.36
7.00,Traffic 9,6.195,True,0,-297.18,9.62,524.56
7.00,Traffic 10,6.184,True,0,-424.74,8.90,541.33
7.00,Traffic 11,2.171,True,0,-251.35,9.62,527.72
7.00,Traffic 12,2.145,True,0,-382.34,9.19,535.63
7.00,Traffic 13,6.188,True,0,-121.64,8.82,522.94
7.00,Traffic 14,6.175,True,0,-249.63,9.61,535.91
7.00,Traffic 15,2.149,True,0,-75.95,8.61,527.03
7.00,Traffic 16,2.144,True,0,-207.08,9.42,531.37
7.00,Traffic 17,6.403,True,0,51.39,8.96,527.92
7.00,Traffic 18,6.188,True,0,-75.02,8.61,535.23
7.00,Traffic 19,1.511,True,0,94.87,9.73,542.58
7.00,Traffic 20,2.121,True,0,-33.11,8.53,530.87
9.00,Traffic 1,2.731,True,0,321.24,77.98,272.92
9.00,Traffic 2,2.669,True,0,442.05,32.12,-486.29
9.00,Traffic 3,2.662,True,0,-586.51,6.75,-548.80
9.00,Traffic 4,2.775,True,0,-632.54,9.58,418.70
9.00,Traffic 5,6.161,True,0,-419.00,8.94,528.83
9.00,Traffic 6,3.790,True,0,-604.42,8.74,536.65
9.00,Traffic 7,2.153,True,0,-370.04,9.27,531.07
9.00,Traffic 8,2.193,True,0,-583.76,8.74,542.46
9.00,Traffic 9,6.201,True,0,-244.16,9.59,523.53
9.00,Traffic 10,6.218,True,0,-479.21,8.63,543.19
9.00,Traffic 11,2.159,True,0,-195.43,9.34,527.20
9.00,Traffic 12,2.153,True,0,-439.66,8.81,537.77
9.00,Traffic 13,6.177,True,0,-68.57,8.59,522.91
9.00,Traffic 14,6.164,True,0,-304.09,9.60,537.04
9.00,Traffic 15,2.150,True,0,-20.04,8.52,526.78
9.00,Traffic 16,2.139,True,0,-264.36,9.64,532.04
9.00,Traffic 17,5.517,True,0,101.38,9.75,538.95
9.00,Traffic 18,6.187,True,0,-129.46,8.87,535.24
9.00,Traffic 19,2.233,True,0,150.63,9.72,545.45
9.00,Traffic 20,2.165,True,0,-90.42,8.66,531.17
11.00,Traffic 1,2.756,True,0,327.62,81.92,243.26
11.00,Traffic 2,2.549,True,0,458.80,28.41,-513.11
11.00,Traffic 3,2.443,True,0,-604.81,6.74,-546.45
11.00,Traffic 4,2.754,True,0,-635.09,9.70,385.28
11.00,Traffic 5,6.188,True,0,-366.04,9.29,526.82
11.00,Traffic 6,4.236,True,0,-611.43,8.59,511.12
11.00,Traffic 7,2.158,True,0,-314.21,9.57,529.15
11.00,Traffic 8,2.233,True,0,-600.00,8.74,537.73
11.00,Traffic 9,6.193,True,0,-191.09,9.31,523.07
11.00,Traffic 10,6.152,True,0,-533.58,8.74,546.25
11.00,Traffic 11,2.155,True,0,-139.49,8.95,527.04
11.00,Traffic 12,2.117,True,0,-496.98,8.59,539.83
11.00,Traffic 13,6.192,True,0,-15.52,8.52,522.68
11.00,Traffic 14,6.177,True,0,-358.55,9.34,538.85
11.00,Traffic 15,2.180,True,0,34.44,8.69,528.81
11.00,Traffic 16,2.133,True,0,-321.67,9.54,533.47
11.00,Traffic 17,6.271,True,0,154.33,9.71,541.63
11.00,Traffic 18,6.181,True,0,-183.89,9.26,535.35
11.00,Traffic 19,2.238,True,0,206.13,9.24,552.31
11.00,Traffic 20,2.146,True,0,-147.71,9.00,531.15
13.00,Traffic 1,2.808,True,0,338.69,82.88,214.42
13.00,Traffic 2,2.526,True,0,472.74,25.08,-537.57
13.00,Traffic 3,1.235,True,0,-615.83,6.60,-532.33
13.00,Traffic 4,2.710,True,0,-635.80,9.76,351.76
13.00,Traffic 5,6.192,True,0,-313.06,9.57,525.01
13.00,Traffic 6,2.226,True,0,-618.16,8.89,480.15
13.00,Traffic 7,2.171,True,0,-258.33,9.63,527.83
13.00,Traffic 8,4.183,True,0,-610.89,8.58,516.27
13.00,Traffic 9,6.189,True,0,-138.01,8.93,522.94
13.00,Traffic 10,6.185,True,0,-580.02,8.70,547.01
13.00,Traffic 11,2.153,True,0,-83.55,8.63,527.04
13.00,Traffic 12,2.197,True,0,-553.47,8.74,543.27
13.00,Traffic 13,6.204,True,0,36.86,8.71,525.00
13.00,Traffic 14,6.183,True,0,-413.02,8.98,540.89
13.00,Traffic 15,1.893,True,0,83.60,9.69,541.07
13.00,Traffic 16,2.145,True,0,-379.00,9.21,535.50
13.00,Traffic 17,6.265,True,0,206.98,9.23,548.30
13.00,Traffic 18,6.176,True,0,-238.32,9.57,535.77
13.00,Traffic 19,2.277,True,0,255.38,8.73,558.85
13.00,Traffic 20,2.144,True,0,-204.99,9.40,531.36
15.00,Traffic 1,3.025,True,0,358.61,81.65,191.36
15.00,Traffic 2,2.287,True,0,488.05,23.35,-547.19
15.00,Traffic 3,2.996,True,0,-614.97,6.76,-499.73
15.00,Traffic 4,2.695,True,0,-635.69,9.77,318.23
15.00,Traffic 5,6.204,True,0,-260.04,9.64,523.76
15.00,Traffic 6,2.809,True,0,-627.26,9.30,449.64
15.00,Traffic 7,2.160,True,0,-202.41,9.39,527.24
15.00,Traffic 8,2.169,True,0,-617.05,8.85,483.41
15.00,Traffic 9,6.187,True,0,-84.94,8.64,522.95
15.00,Traffic 10,4.390,True,0,-601.28,8.74,539.56
15.00,Traffic 11,2.144,True,0,-27.64,8.52,526.79
15.00,Traffic 12,2.192,True,0,-584.13,8.74,542.41
15.00,Traffic 13,5.775,True,0,85.79,9.70,537.32
15.00,Traffic 14,6.196,True,0,-467.50,8.67,542.81
15.00,Traffic 15,2.170,True,0,139.12,9.75,544.70
15.00,Traffic 16,2.152,True,0,-436.33,8.83,537.65
15.00,Traffic 17,5.331,True,0,253.95,8.75,555.60
15.00,Traffic 18,6.166,True,0,-292.77,9.63,536.74
15.00,Traffic 19,2.588,True,0,289.58,8.70,559.00
15.00,Traffic 20,2.139,True,0,-262.28,9.64,532.00
17.00,Traffic 1,2.945,True,0,387.08,77.18,180.09
17.00,Traffic 2,3.913,True,0,511.27,23.52,-532.46
17.00,Traffic 3,2.625,True,0,-616.93,6.94,-467.11
17.00,Traffic 4,2.686,True,0,-635.19,9.76,284.71
17.00,Traffic 5,6.194,True,0,-206.99,9.41,523.17
17.00,Traffic 6,5.538,True,0,209.41,9.27,560.52
17.00,Traffic 7,2.156,True,0,-146.47,9.00,527.05
17.00,Traffic 8,2.805,True,0,-626.87,9.28,451.33
17.00,Traffic 9,6.177,True,0,-31.88,8.53,522.70
17.00,Traffic 10,4.437,True,0,-611.03,8.57,518.36
17.00,Traffic 11,2.194,True,0,27.81,8.65,528.12
17.00,Traffic 12,2.262,True,0,-598.91,8.74,538.34
17.00,Traffic 13,6.213,True,0,138.61,9.75,540.55
17.00,Traffic 14,6.131,True,0,-521.89,8.73,545.46
17.00,Traffic 15,2.277,True,0,194.71,9.38,550.57
17.00,Traffic 16,2.133,True,0,-493.65,8.60,539.67
17.00,Traffic 17,2.740,True,0,286.79,8.70,559.03
17.00,Traffic 18,6.175,True,0,-347.24,9.40,538.44
17.00,Traffic 19,2.799,True,0,309.28,8.70,556.76
17.00,Traffic 20,2.132,True,0,-319.60,9.54,533.41
19.00,Traffic 1,2.121,True,0,411.02,77.91,161.23
19.00,Traffic 2,2.776,True,0,526.11,26.73,-504.80
19.00,Traffic 3,2.670,True,0,-617.84,7.12,-434.44
19.00,Traffic 4,2.680,True,0,-634.59,9.73,251.19
19.00,Traffic 5,6.190,True,0,-153.91,9.05,522.96
19.00,Traffic 6,6.140,True,0,155.52,9.70,554.12
19.00,Traffic 7,2.152,True,0,-90.53,8.66,527.05
19.00,Traffic 8,2.469,True,0,214.35,9.22,558.09
19.00,Traffic 9,6.237,True,0,21.14,8.61,523.55
19.00,Traffic 10,2.124,True,0,-615.83,8.80,486.99
19.00,Traffic 11,2.360,True,0,76.72,9.65,539.64
19.00,Traffic 12,4.072,True,0,-610.66,8.56,518.40
19.00,Traffic 13,6.309,True,0,191.38,9.42,545.96
19.00,Traffic 14,6.292,True,0,-572.33,8.68,547.60
19.00,Traffic 15,2.227,True,0,246.80,8.81,558.06
19.00,Traffic 16,2.191,True,0,-550.48,8.74,543.14
19.00,Traffic 17,2.488,True,0,307.74,8.70,557.08
19.00,Traffic 18,6.182,True,0,-401.71,9.05,540.47
19.00,Traffic 19,1.780,True,0,-571.23,8.74,539.78
19.00,Traffic 20,2.145,True,0,-376.92,9.22,535.42
21.00,Traffic 1,2.672,True,0,429.94,82.36,137.59
21.00,Traffic 2,2.799,True,0,536.17,31.81,-475.56
21.00,Traffic 3,2.676,True,0,-618.54,7.30,-401.77
21.00,Traffic 4,2.675,True,0,-634.09,9.67,217.67
21.00,Traffic 5,6.186,True,0,-100.83,8.70,522.95
21.00,Traffic 6,6.165,True,0,101.18,9.76,550.58
21.00,Traffic 7,2.139,True,0,-34.62,8.53,526.82
21.00,Traffic 8,2.046,True,0,157.96,9.69,550.16
21.00,Traffic 9,6.808,True,0,70.33,9.53,533.73
21.00,Traffic 10,2.776,True,0,-625.55,9.22,456.67
21.00,Traffic 11,2.086,True,0,131.83,9.77,544.33
21.00,Traffic 12,2.154,True,0,-616.37,8.82,485.43
21.00,Traffic 13,5.973,True,0,241.83,8.84,553.61
21.00,Traffic 14,4.934,True,0,-597.74,8.74,541.85
21.00,Traffic 15,2.558,True,0,283.07,8.70,559.39
21.00,Traffic 16,2.195,True,0,-583.66,8.74,542.48
21.00,Traffic 17,4.337,True,0,-574.48,8.75,536.98
21.00,Traffic 18,6.190,True,0,-456.18,8.72,542.45
21.00,Traffic 19,2.170,True,0,-519.15,8.74,537.17
21.00,Traffic 20,2.152,True,0,-434.25,8.84,537.58
23.00,Traffic 1,2.614,True,0,446.12,86.06,113.99
23.00,Traffic 2,2.753,True,0,542.72,33.58,-444.64
23.00,Traffic 3,2.679,True,0,-619.17,7.47,-369.09
23.00,Traffic 4,2.681,True,0,-633.72,9.59,184.15
23.00,Traffic 5,6.169,True,0,-47.77,8.55,522.80
23.00,Traffic 6,6.860,True,0,50.87,9.09,541.62
23.00,Traffic 7,2.205,True,0,21.09,8.61,527.65
23.00,Traffic 8,2.134,True,0,100.78,9.75,546.44
23.00,Traffic 9,5.971,True,0,122.34,9.78,539.81
23.00,Traffic 10,4.879,True,0,221.39,9.13,561.63
23.00,Traffic 11,2.290,True,0,187.48,9.46,549.52
23.00,Traffic 12,2.794,True,0,-626.37,9.26,453.40
23.00,Traffic 13,3.296,True,0,277.57,8.70,558.74
23.00,Traffic 14,3.861,True,0,-609.98,8.57,525.20
23.00,Traffic 15,2.430,True,0,305.91,8.70,557.20
23.00,Traffic 16,2.281,True,0,-597.30,8.74,539.08
23.00,Traffic 17,6.310,True,0,-522.93,8.74,533.17
23.00,Traffic 18,6.139,True,0,-510.61,8.80,544.72
23.00,Traffic 19,2.233,True,0,-463.33,8.68,534.38
23.00,Traffic 20,2.142,True,0,-491.58,8.60,539.58
25.00,Traffic 1,2.495,True,0,459.50,85.31,86.16
25.00,Traffic 2,2.796,True,0,545.22,30.74,-413.02
25.00,Traffic 3,2.682,True,0,-619.85,7.62,-336.41
25.00,Traffic 4,2.683,True,0,-633.25,9.48,150.63
25.00,Traffic 5,6.216,True,0,5.27,8.55,522.93
25.00,Traffic 6,5.683,True,0,0.80,8.54,534.66
25.00,Traffic 7,2.762,True,0,70.29,9.56,537.94
25.00,Traffic 8,2.866,True,0,50.24,9.03,537.16
25.00,Traffic 9,6.302,True,0,175.22,9.59,543.78
25.00,Traffic 10,6.290,True,0,167.96,9.63,555.52
25.00,Traffic 11,2.205,True,0,240.89,8.88,557.38
25.00,Traffic 12,2.615,True,0,226.52,9.07,560.04
25.00,Traffic 13,2.276,True,0,303.28,8.73,557.63
25.00,Traffic 14,2.297,True,0,-613.89,8.72,493.51
25.00,Traffic 15,2.198,True,0,-580.48,8.72,538.70
25.00,Traffic 16,3.503,True,0,-609.84,8.54,522.82
25.00,Traffic 17,6.243,True,0,-469.96,8.66,530.50
25.00,Traffic 18,6.283,True,0,-563.41,8.68,547.70
25.00,Traffic 19,2.134,True,0,-407.50,9.02,532.50
25.00,Traffic 20,2.186,True,0,-548.60,8.74,543.05
27.00,Traffic 1,2.509,True,0,466.94,79.78,56.59
27.00,Traffic 2,2.668,True,0,546.48,26.97,-381.43
27.00,Traffic 3,2.677,True,0,-620.57,7.76,-303.74
27.00,Traffic 4,2.681,True,0,-632.70,9.35,117.11
27.00,Traffic 5,6.578,True,0,55.97,9.09,529.23
27.00,Traffic 6,6.202,True,0,-53.66,8.56,535.14
27.00,Traffic 7,1.964,True,0,124.59,9.78,544.03
27.00,Traffic 8,1.735,True,0,-2.68,8.54,530.56
27.00,Traffic 9,6.195,True,0,227.44,8.98,551.42
27.00,Traffic 10,6.103,True,0,113.69,9.77,551.32
27.00,Traffic 11,2.519,True,0,278.80,8.70,559.53
27.00,Traffic 12,2.080,True,0,171.06,9.61,551.57
27.00,Traffic 13,1.127,True,0,318.11,8.76,551.37
27.00,Traffic 14,2.690,True,0,-623.73,9.13,463.23
27.00,Traffic 15,2.046,True,0,-531.59,8.74,538.13
27.00,Traffic 16,2.178,True,0,-614.47,8.74,491.33
27.00,Traffic 17,6.166,True,0,-416.98,8.95,528.75
27.00,Traffic 18,5.384,True,0,-594.10,8.74,543.56
27.00,Traffic 19,2.155,True,0,-351.68,9.38,530.40
27.00,Traffic 20,2.199,True,0,-584.02,8.74,542.43
29.00,Traffic 1,2.688,True,0,471.05,77.89,26.09
29.00,Traffic 2,2.527,True,0,550.35,25.29,-349.95
29.00,Traffic 3,2.677,True,0,-621.18,7.88,-271.07
29.00,Traffic 4,2.681,True,0,-632.10,9.22,83.60
29.00,Traffic 5,5.598,True,0,106.49,9.77,539.22
29.00,Traffic 6,6.198,True,0,-108.12,8.74,535.26
29.00,Traffic 7,2.291,True,0,180.30,9.54,548.54
29.00,Traffic 8,2.164,True,0,-59.99,8.57,531.07
29.00,Traffic 9,4.110,True,0,267.84,8.70,557.72
29.00,Traffic 10,6.383,True,0,62.00,9.43,545.01
29.00,Traffic 11,2.400,True,0,304.01,8.72,557.41
29.00,Traffic 12,2.082,True,0,113.94,9.78,547.24
29.00,Traffic 13,5.806,True,0,-538.23,8.74,534.67
29.00,Traffic 14,4.424,True,0,231.65,9.00,562.64
29.00,Traffic 15,2.220,True,0,-475.82,8.65,534.76
29.00,Traffic 16,2.751,True,0,-624.82,9.18,459.41
29.00,Traffic 17,6.187,True,0,-364.02,9.31,526.74
29.00,Traffic 18,3.401,True,0,-608.17,8.73,530.70
29.00,Traffic 19,2.162,True,0,-295.83,9.63,528.62
29.00,Traffic 20,2.243,True,0,-596.89,8.74,539.22
31.00,Traffic 1,2.487,True,0,470.48,82.68,-4.08
31.00,Traffic 2,2.605,True,0,558.04,25.60,-319.06
31.00,Traffic 3,2.678,True,0,-621.72,8.00,-238.40
31.00,Traffic 4,2.468,True,0,-626.52,9.08,51.03
31.00,Traffic 5,6.272,True,0,159.44,9.68,542.08
31.00,Traffic 6,6.182,True,0,-162.55,9.11,535.28
31.00,Traffic 7,2.196,True,0,234.67,8.96,556.57
31.00,Traffic 8,2.158,True,0,-117.30,8.79,531.15
31.00,Traffic 9,2.428,True,0,297.42,8.73,558.34
31.00,Traffic 10,5.460,True,0,13.28,8.58,534.80
31.00,Traffic 11,0.888,True,0,318.72,8.81,550.34
31.00,Traffic 12,2.460,True,0,61.20,9.38,540.56
31.00,Traffic 13,6.230,True,0,-485.34,8.60,531.04
31.00,Traffic 14,6.353,True,0,179.28,9.53,557.00
31.00,Traffic 15,2.126,True,0,-419.97,8.93,532.97
31.00,Traffic 16,2.627,True,0,236.82,8.93,561.48
31.00,Traffic 17,6.192,True,0,-311.04,9.58,524.95
31.00,Traffic 18,2.891,True,0,-612.48,8.66,500.04
31.00,Traffic 19,2.168,True,0,-239.95,9.58,527.58
31.00,Traffic 20,3.412,True,0,-609.66,8.55,523.85
33.00,Traffic 1,2.770,True,0,470.32,87.76,-34.09
33.00,Traffic 2,2.793,True,0,563.64,27.49,-287.89
33.00,Traffic 3,2.679,True,0,-622.21,8.12,-205.72
33.00,Traffic 4,6.859,True,0,-621.46,8.92,18.19
33.00,Traffic 5,6.247,True,0,212.05,9.17,549.08
33.00,Traffic 6,6.179,True,0,-216.98,9.47,535.55
33.00,Traffic 7,2.470,True,0,274.53,8.70,559.58
33.00,Traffic 8,2.145,True,0,-174.58,9.20,531.21
33.00,Traffic 9,3.538,True,0,313.73,8.70,555.47
33.00,Traffic 10,6.216,True,0,-41.14,8.54,535.07
33.00,Traffic 11,1.954,True,0,-534.10,8.74,538.39
33.00,Traffic 12,1.498,True,0,10.15,8.57,530.61
33.00,Traffic 13,6.168,True,0,-432.34,8.85,529.32
33.00,Traffic 14,6.046,True,0,125.11,9.77,551.94
33.00,Traffic 15,2.154,True,0,-364.15,9.30,530.85
33.00,Traffic 16,2.109,True,0,182.97,9.50,553.14
33.00,Traffic 17,6.204,True,0,-258.02,9.63,523.73
33.00,Traffic 18,2.544,True,0,-621.76,9.04,469.61
33.00,Traffic 19,2.159,True,0,-184.02,9.27,527.14
33.00,Traffic 20,2.208,True,0,-613.70,8.71,493.82
35.00,Traffic 1,2.961,True,0,478.08,89.15,-63.88
35.00,Traffic 2,2.855,True,0,561.96,30.12,-256.44
35.00,Traffic 3,3.285,True,0,-622.06,8.23,-173.05
35.00,Traffic 4,6.176,True,0,-621.54,8.79,-15.32
35.00,Traffic 5,5.036,True,0,257.55,8.72,556.18
35.00,Traffic 6,6.172,True,0,-271.42,9.65,536.27
35.00,Traffic 7,2.427,True,0,301.95,8.73,557.65
35.00,Traffic 8,2.142,True,0,-231.87,9.55,531.59
35.00,Traffic 9,4.745,True,0,-554.46,8.74,536.57
35.00,Traffic 10,6.198,True,0,-95.60,8.68,535.26
35.00,Traffic 11,2.218,True,0,-478.33,8.64,534.85
35.00,Traffic 12,2.179,True,0,-47.12,8.54,531.01
35.00,Traffic 13,6.186,True,0,-379.38,9.21,527.31
35.00,Traffic 14,6.184,True,0,72.27,9.60,547.39
35.00,Traffic 15,2.159,True,0,-308.32,9.59,528.97
35.00,Traffic 16,2.034,True,0,125.96,9.77,547.90
35.00,Traffic 17,6.194,True,0,-204.97,9.40,523.16
35.00,Traffic 18,4.177,True,0,241.15,8.88,563.64
35.00,Traffic 19,2.155,True,0,-128.07,8.87,527.04
35.00,Traffic 20,2.725,True,0,-624.13,9.15,461.92
37.00,Traffic 1,2.774,True,0,491.59,89.02,-91.79
37.00,Traffic 2,2.791,True,0,554.81,36.18,-226.66
37.00,Traffic 3,3.270,True,0,-622.53,8.35,-140.37
37.00,Traffic 4,6.259,True,0,-620.87,8.66,-48.83
37.00,Traffic 5,2.618,True,0,289.77,8.70,558.95
37.00,Traffic 6,6.169,True,0,-325.88,9.51,537.71
37.00,Traffic 7,1.693,True,0,317.08,8.71,552.85
37.00,Traffic 8,2.134,True,0,-289.17,9.64,532.55
37.00,Traffic 9,6.329,True,0,-501.77,8.74,531.80
37.00,Traffic 10,6.183,True,0,-150.03,9.02,535.26
37.00,Traffic 11,2.125,True,0,-422.48,8.92,533.07
37.00,Traffic 12,2.162,True,0,-104.43,8.72,531.16
37.00,Traffic 13,6.191,True,0,-326.41,9.51,525.43
37.00,Traffic 14,5.617,True,0,24.53,8.62,535.58
37.00,Traffic 15,2.171,True,0,-252.44,9.62,527.74
37.00,Traffic 16,2.175,True,0,71.45,9.58,543.07
37.00,Traffic 17,6.190,True,0,-151.89,9.03,522.95
37.00,Traffic 18,6.257,True,0,190.60,9.42,558.47
37.00,Traffic 19,2.146,True,0,-72.14,8.60,527.02
37.00,Traffic 20,2.514,True,0,246.44,8.77,562.57
39.00,Traffic 1,2.681,True,0,505.93,86.00,-119.12
39.00,Traffic 2,2.730,True,0,545.94,47.64,-199.78
39.00,Traffic 3,3.263,True,0,-623.00,8.46,-107.70
39.00,Traffic 4,6.254,True,0,-620.35,8.54,-82.35
39.00,Traffic 5,2.749,True,0,309.39,8.70,556.82
39.00,Traffic 6,6.180,True,0,-380.35,9.20,539.66
39.00,Traffic 7,1.815,True,0,-541.32,8.74,538.99
39.00,Traffic 8,2.140,True,0,-346.49,9.41,534.31
39.00,Traffic 9,6.203,True,0,-448.77,8.76,529.87
39.00,Traffic 10,6.180,True,0,-204.46,9.40,535.46
39.00,Traffic 11,2.154,True,0,-366.66,9.29,530.94
39.00,Traffic 12,2.145,True,0,-161.72,9.11,531.17
39.00,Traffic 13,6.202,True,0,-273.40,9.65,524.00
39.00,Traffic 14,6.193,True,0,-29.70,8.52,535.00
39.00,Traffic 15,2.160,True,0,-196.52,9.35,527.20
39.00,Traffic 16,1.550,True,0,22.32,8.61,531.25
39.00,Traffic 17,6.186,True,0,-98.81,8.69,522.95
39.00,Traffic 18,6.019,True,0,136.52,9.76,552.60
39.00,Traffic 19,2.154,True,0,-16.23,8.52,526.78
39.00,Traffic 20,2.182,True,0,194.84,9.36,554.91
41.00,Traffic 1,2.615,True,0,518.29,77.85,-146.41
41.00,Traffic 2,2.712,True,0,536.10,61.79,-175.00
41.00,Traffic 3,3.266,True,0,-623.48,8.58,-75.02
41.00,Traffic 4,6.257,True,0,-619.85,8.42,-115.87
41.00,Traffic 5,4.216,True,0,-569.67,8.74,537.28
41.00,Traffic 6,6.187,True,0,-434.82,8.84,541.70
41.00,Traffic 7,2.203,True,0,-485.59,8.59,535.14
41.00,Traffic 8,2.148,True,0,-403.82,9.04,536.44
41.00,Traffic 9,6.180,True,0,-395.80,9.10,527.94
41.00,Traffic 10,6.174,True,0,-258.90,9.64,536.05
41.00,Traffic 11,2.159,True,0,-310.83,9.58,529.05
41.00,Traffic 12,2.143,True,0,-219.01,9.48,531.47
41.00,Traffic 13,6.195,True,0,-220.36,9.49,523.27
41.00,Traffic 14,6.187,True,0,-84.16,8.64,535.25
41.00,Traffic 15,2.156,True,0,-140.58,8.95,527.04
41.00,Traffic 16,2.165,True,0,-33.76,8.53,530.92
41.00,Traffic 17,6.170,True,0,-45.75,8.54,522.78
41.00,Traffic 18,6.209,True,0,82.66,9.68,548.96
41.00,Traffic 19,2.187,True,0,37.84,8.73,529.27
41.00,Traffic 20,2.007,True,0,137.97,9.76,548.60
43.00,Traffic 1,2.691,True,0,529.30,64.51,-172.30
43.00,Traffic 2,2.699,True,0,525.47,75.24,-150.07
43.00,Traffic 3,3.267,True,0,-624.01,8.70,-42.35
43.00,Traffic 4,6.255,True,0,-619.39,8.30,-149.39
43.00,Traffic 5,6.362,True,0,-517.65,8.74,532.76
43.00,Traffic 6,6.185,True,0,-489.29,8.60,543.58
43.00,Traffic 7,2.129,True,0,-429.74,8.87,533.33
43.00,Traffic 8,2.157,True,0,-461.15,8.69,538.50
43.00,Traffic 9,6.189,True,0,-342.83,9.43,525.99
43.00,Traffic 10,6.165,True,0,-313.36,9.57,537.32
43.00,Traffic 11,2.171,True,0,-254.95,9.63,527.78
43.00,Traffic 12,2.139,True,0,-276.30,9.65,532.26
43.00,Traffic 13,6.191,True,0,-167.28,9.15,522.98
43.00,Traffic 14,6.185,True,0,-138.60,8.94,535.25
43.00,Traffic 15,2.153,True,0,-84.64,8.64,527.04
43.00,Traffic 16,2.159,True,0,-91.08,8.66,531.16
43.00,Traffic 17,6.219,True,0,7.29,8.56,522.98
43.00,Traffic 18,6.235,True,0,35.17,8.70,537.26
43.00,Traffic 19,1.979,True,0,83.54,9.69,540.96
43.00,Traffic 20,2.171,True,0,81.85,9.67,544.73
45.00,Traffic 1,2.655,True,0,539.59,49.78,-197.73
45.00,Traffic 2,2.666,True,0,513.71,84.66,-123.33
45.00,Traffic 3,3.266,True,0,-624.58,8.83,-9.68
45.00,Traffic 4,6.249,True,0,-618.92,8.19,-182.91
45.00,Traffic 5,6.245,True,0,-464.66,8.68,530.34
45.00,Traffic 6,6.186,True,0,-543.65,8.70,546.90
45.00,Traffic 7,2.153,True,0,-373.92,9.24,531.21
45.00,Traffic 8,2.133,True,0,-518.42,8.75,541.11
45.00,Traffic 9,6.197,True,0,-289.84,9.64,524.37
45.00,Traffic 10,6.178,True,0,-367.82,9.28,539.19
45.00,Traffic 11,2.160,True,0,-199.03,9.37,527.22
45.00,Traffic 12,2.136,True,0,-333.62,9.48,533.87
45.00,Traffic 13,6.187,True,0,-114.20,8.78,522.94
45.00,Traffic 14,6.181,True,0,-193.03,9.33,535.39
45.00,Traffic 15,2.143,True,0,-28.72,8.52,526.79
45.00,Traffic 16,2.147,True,0,-148.37,9.01,531.15
45.00,Traffic 17,6.669,True,0,57.85,9.14,529.80
45.00,Traffic 18,6.085,True,0,-18.26,8.52,534.88
45.00,Traffic 19,2.142,True,0,137.22,9.76,544.60
