course,vehicle,lip,direction,target,line,completed,minUp,recovered,awards
LakeWoods,moto,213,1,16,0,True,0.887,True,1
LakeWoods,moto,213,1,16,-2,True,0.915,True,1
LakeWoods,moto,213,1,16,2,True,0.908,True,1
LakeWoods,moto,213,1,16,-15.675,False,0.060,True,0
LakeWoods,moto,213,1,16,15.675,True,0.267,True,0
LakeWoods,moto,213,1,24,0,True,0.932,True,1
LakeWoods,moto,213,1,24,-2,True,0.910,True,1
LakeWoods,moto,213,1,24,2,True,0.909,True,1
LakeWoods,moto,213,1,24,-15.675,False,0.959,True,0
LakeWoods,moto,213,1,24,15.675,False,0.975,True,0
LakeWoods,moto,213,1,32,0,True,0.934,True,1
LakeWoods,moto,213,1,32,-2,True,0.878,True,1
LakeWoods,moto,213,1,32,2,True,0.929,True,1
LakeWoods,moto,213,1,32,-15.675,False,0.960,True,0
LakeWoods,moto,213,1,32,15.675,True,0.342,True,0
LakeWoods,moto,537,1,16,0,True,0.836,True,1
LakeWoods,moto,537,1,16,-2,True,0.929,True,1
LakeWoods,moto,537,1,16,2,True,0.887,True,1
LakeWoods,moto,537,1,16,-6.675,True,0.840,True,1
LakeWoods,moto,537,1,16,6.675,True,0.875,True,1
LakeWoods,moto,537,1,24,0,True,0.914,True,1
LakeWoods,moto,537,1,24,-2,True,0.941,True,1
LakeWoods,moto,537,1,24,2,True,0.921,True,1
LakeWoods,moto,537,1,24,-6.675,True,0.906,True,1
LakeWoods,moto,537,1,24,6.675,True,0.884,True,1
LakeWoods,moto,537,1,32,0,False,0.479,True,0
LakeWoods,moto,537,1,32,-2,True,0.939,True,0
LakeWoods,moto,537,1,32,2,True,-0.195,True,0
LakeWoods,moto,537,1,32,-6.675,True,0.932,True,1
LakeWoods,moto,537,1,32,6.675,False,-0.979,True,0
LakeWoods,atv,213,1,16,0,True,0.918,True,1
LakeWoods,atv,213,1,16,-2,True,0.935,True,1
LakeWoods,atv,213,1,16,2,True,0.879,True,1
LakeWoods,atv,213,1,16,-15.275,False,0.902,True,0
LakeWoods,atv,213,1,16,15.275,False,0.332,True,0
LakeWoods,atv,213,1,24,0,True,0.921,True,1
LakeWoods,atv,213,1,24,-2,True,0.913,True,1
LakeWoods,atv,213,1,24,2,True,0.914,True,1
LakeWoods,atv,213,1,24,-15.275,False,-0.301,True,0
LakeWoods,atv,213,1,24,15.275,False,0.280,True,0
LakeWoods,atv,213,1,32,0,True,0.937,True,1
LakeWoods,atv,213,1,32,-2,False,-0.366,True,0
LakeWoods,atv,213,1,32,2,True,0.934,True,1
LakeWoods,atv,213,1,32,-15.275,True,0.667,True,0
LakeWoods,atv,213,1,32,15.275,False,0.120,True,0
LakeWoods,atv,537,1,16,0,True,0.953,True,1
LakeWoods,atv,537,1,16,-2,True,0.933,True,1
LakeWoods,atv,537,1,16,2,True,0.910,True,1
LakeWoods,atv,537,1,16,-6.275,True,0.881,True,1
LakeWoods,atv,537,1,16,6.275,True,0.954,True,1
LakeWoods,atv,537,1,24,0,True,0.942,True,1
LakeWoods,atv,537,1,24,-2,True,0.942,True,1
LakeWoods,atv,537,1,24,2,True,0.921,True,1
LakeWoods,atv,537,1,24,-6.275,True,0.910,True,1
LakeWoods,atv,537,1,24,6.275,True,0.956,True,1
LakeWoods,atv,537,1,32,0,False,0.890,True,1
LakeWoods,atv,537,1,32,-2,True,0.951,True,1
LakeWoods,atv,537,1,32,2,False,-0.128,True,0
LakeWoods,atv,537,1,32,-6.275,True,0.939,True,1
LakeWoods,atv,537,1,32,6.275,True,0.498,True,0
