time,x,y,z,speed,wheels,up,target
0.020,809.996,150.959,190.005,0.340,4,1.000,1
0.040,809.987,150.956,190.016,0.678,4,1.000,1
0.060,809.974,150.953,190.032,1.013,4,1.000,1
0.080,809.956,150.949,190.053,1.347,4,1.000,1
0.100,809.934,150.945,190.079,1.680,4,1.000,1
0.120,809.908,150.940,190.110,2.010,4,1.000,1
0.140,809.878,150.935,190.146,2.338,4,1.000,1
0.160,809.844,150.930,190.187,2.665,4,1.000,1
0.180,809.805,150.925,190.234,2.990,4,1.000,1
0.200,809.763,150.921,190.285,3.313,4,1.000,1
0.220,809.716,150.916,190.341,3.634,4,1.000,1
0.240,809.665,150.911,190.402,3.953,4,1.000,1
0.260,809.610,150.907,190.468,4.271,4,1.000,1
0.280,809.551,150.902,190.538,4.586,4,1.000,1
0.300,809.488,150.898,190.614,4.900,4,1.000,1
0.320,809.421,150.894,190.694,5.213,4,1.000,1
0.340,809.350,150.890,190.779,5.523,4,1.000,1
0.360,809.276,150.886,190.869,5.831,4,1.000,1
0.380,809.197,150.882,190.964,6.138,4,1.000,1
0.400,809.114,150.878,191.063,6.443,4,1.000,1
0.420,809.028,150.874,191.166,6.727,4,1.000,1
0.440,808.939,150.870,191.273,6.958,4,1.000,1
0.460,808.847,150.865,191.383,7.146,4,1.000,1
0.480,808.754,150.861,191.496,7.301,4,1.000,1
0.500,808.658,150.857,191.610,7.428,4,1.000,1
0.520,808.562,150.852,191.726,7.532,4,1.000,1
0.540,808.464,150.847,191.843,7.618,4,0.999,1
0.560,808.366,150.842,191.961,7.688,4,0.999,1
0.580,808.266,150.837,192.080,7.747,4,0.999,1
0.600,808.167,150.831,192.200,7.795,4,0.999,1
0.620,808.066,150.825,192.321,7.834,4,0.999,1
0.640,807.966,150.820,192.442,7.867,4,0.999,1
0.660,807.864,150.814,192.563,7.894,4,0.999,1
0.680,807.763,150.808,192.684,7.916,4,0.999,1
0.700,807.662,150.801,192.806,7.935,4,0.999,1
0.720,807.561,150.795,192.927,7.879,4,0.999,1
0.740,807.460,150.789,193.049,7.904,4,0.999,1
0.760,807.358,150.783,193.170,7.925,4,0.999,1
