course,vehicle,lip,direction,target,line,completed,minUp,recovered,awards
StreetLoopGreybox,original,213,1,16,0,True,0.932,True,1
StreetLoopGreybox,original,213,1,16,-2,True,0.935,True,1
StreetLoopGreybox,original,213,1,16,2,True,0.929,True,1
StreetLoopGreybox,original,213,1,16,-5.8,True,0.941,True,1
StreetLoopGreybox,original,213,1,16,5.8,True,0.923,True,1
StreetLoopGreybox,original,213,1,24,0,True,0.935,True,1
StreetLoopGreybox,original,213,1,24,-2,True,0.937,True,1
StreetLoopGreybox,original,213,1,24,2,True,0.931,True,1
StreetLoopGreybox,original,213,1,24,-5.8,True,0.937,True,1
StreetLoopGreybox,original,213,1,24,5.8,True,0.926,True,1
StreetLoopGreybox,original,213,1,32,0,True,0.937,True,1
StreetLoopGreybox,original,213,1,32,-2,True,0.939,True,0
StreetLoopGreybox,original,213,1,32,2,True,0.934,True,1
StreetLoopGreybox,original,213,1,32,-5.8,True,0.776,True,1
StreetLoopGreybox,original,213,1,32,5.8,True,0.929,True,1
StreetLoopGreybox,original,537,1,16,0,True,0.953,True,1
StreetLoopGreybox,original,537,1,16,-2,True,0.952,True,1
StreetLoopGreybox,original,537,1,16,2,True,0.953,True,1
StreetLoopGreybox,original,537,1,16,-5.8,True,0.952,True,1
StreetLoopGreybox,original,537,1,16,5.8,True,0.955,True,1
StreetLoopGreybox,original,537,1,24,0,True,0.955,True,1
StreetLoopGreybox,original,537,1,24,-2,True,0.954,True,1
StreetLoopGreybox,original,537,1,24,2,True,0.955,True,1
StreetLoopGreybox,original,537,1,24,-5.8,True,0.953,True,1
StreetLoopGreybox,original,537,1,24,5.8,True,0.956,True,1
StreetLoopGreybox,original,537,1,32,0,False,0.489,True,1
StreetLoopGreybox,original,537,1,32,-2,False,0.945,True,1
StreetLoopGreybox,original,537,1,32,2,True,-0.188,True,1
StreetLoopGreybox,original,537,1,32,-5.8,True,0.955,True,1
StreetLoopGreybox,original,537,1,32,5.8,True,0.354,True,0
StreetLoopGreybox,tourer,213,1,16,0,True,0.933,True,1
StreetLoopGreybox,tourer,213,1,16,-2,True,0.935,True,1
StreetLoopGreybox,tourer,213,1,16,2,True,0.929,True,1
StreetLoopGreybox,tourer,213,1,16,-5.8,True,0.941,True,1
StreetLoopGreybox,tourer,213,1,16,5.8,True,0.923,True,1
StreetLoopGreybox,tourer,213,1,24,0,True,0.935,True,1
StreetLoopGreybox,tourer,213,1,24,-2,True,0.937,True,1
StreetLoopGreybox,tourer,213,1,24,2,True,0.932,True,1
StreetLoopGreybox,tourer,213,1,24,-5.8,True,0.925,True,1
StreetLoopGreybox,tourer,213,1,24,5.8,True,0.926,True,1
StreetLoopGreybox,tourer,213,1,32,0,True,0.937,True,1
StreetLoopGreybox,tourer,213,1,32,-2,True,0.940,True,1
StreetLoopGreybox,tourer,213,1,32,2,True,0.935,True,1
StreetLoopGreybox,tourer,213,1,32,-5.8,True,0.763,True,1
StreetLoopGreybox,tourer,213,1,32,5.8,True,0.929,True,1
StreetLoopGreybox,tourer,537,1,16,0,True,0.954,True,1
StreetLoopGreybox,tourer,537,1,16,-2,True,0.953,True,1
StreetLoopGreybox,tourer,537,1,16,2,True,0.954,True,1
StreetLoopGreybox,tourer,537,1,16,-5.8,True,0.952,True,1
StreetLoopGreybox,tourer,537,1,16,5.8,True,0.955,True,1
StreetLoopGreybox,tourer,537,1,24,0,True,0.955,True,1
StreetLoopGreybox,tourer,537,1,24,-2,True,0.954,True,1
