time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.002,1064.525,145.989,178.725,23.776,-23.776,-0.057,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2357479;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;"
0.022,1064.050,145.988,178.725,23.787,-23.788,-0.028,0.000,0.112,0.000,0.000,4,11.211,1.075,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3661647;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1837127;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3661647;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1837127;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1837127;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2356615;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1239017;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3063568;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1239016;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3063569;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1754893;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1754893;"
0.042,1063.576,145.990,178.725,23.797,-23.797,0.062,0.000,0.106,0.000,0.000,4,14.184,0.526,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.323386;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495296;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.323386;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495296;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495296;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2342188;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08972724;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2635844;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08972722;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2635845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09964252;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09964254;"
0.062,1063.101,145.994,178.725,23.804,-23.804,0.202,0.000,0.102,0.000,0.000,4,16.777,0.090,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2810756;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1184166;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2810756;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1184166;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1296581;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2294867;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05860139;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.221266;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05860138;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.221266;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1008263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1008263;"
0.082,1062.627,146.001,178.725,23.810,-23.808,0.386,0.000,0.098,0.000,0.000,4,18.911,0.247,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2407094;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09093077;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2407094;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09093077;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09093076;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09638393;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03109973;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1808723;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03109972;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1808723;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03625664;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03625664;"
0.102,1062.155,146.017,178.725,23.766,-23.753,0.793,0.001,0.095,0.000,0.000,4,20.544,0.500,0.999,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2034839;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06757821;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2034839;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06757821;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06757823;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1000932;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007756893;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1436743;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007756885;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1436743;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03999346;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03999349;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05767551;"
0.122,1061.684,146.038,178.725,23.764,-23.740,1.063,0.001,0.117,0.000,0.000,4,21.294,3.085,0.999,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1655083;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06135307;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1655122;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06134913;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06135026;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1073548;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001555514;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1057047;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001550763;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1057094;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002828509;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00283137;"
0.142,1061.213,146.064,178.725,23.768,-23.732,1.322,0.001,0.118,0.000,0.000,4,22.709,3.254,0.998,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1334243;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06011482;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1334244;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06011482;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06191665;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1073159;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003087018;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07361487;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003078524;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07361572;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01604992;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0160507;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05028799;"
0.162,1060.741,146.096,178.725,23.770,-23.717,1.595,0.000,0.116,0.000,0.000,4,23.460,2.827,0.998,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1091326;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06145477;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1091344;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06145298;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07227162;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1017914;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001652515;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04932909;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001655357;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04932625;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001653552;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002411246;"
0.182,1060.269,146.133,178.725,23.771,-23.698,1.866,0.000,0.115,0.000,0.000,4,23.358,2.425,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09261634;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06589381;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09261735;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0658928;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06589347;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07109129;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006091348;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03282053;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006097145;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03281473;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01123285;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01123938;"
