time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.012,1064.209,146.139,179.000,39.626,-39.626,-0.069,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,""
0.032,1063.420,146.139,179.000,39.618,-39.621,0.021,0.000,0.187,0.000,0.000,4,14.270,0.297,1.000,""
0.052,1062.630,146.144,179.000,39.608,-39.612,0.229,0.000,0.191,0.000,0.000,4,20.145,0.507,1.000,""
0.072,1061.846,146.160,179.000,39.513,-39.510,0.846,0.000,0.196,0.000,0.000,4,25.067,0.904,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01281777;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01281775;"
0.092,1061.062,146.187,179.000,39.463,-39.446,1.363,0.000,0.243,0.000,0.000,4,28.172,3.073,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002587331;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002580129;"
0.112,1060.278,146.224,179.000,39.434,-39.397,1.851,0.000,0.269,0.000,0.000,4,31.074,3.152,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00601393;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008261919;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006010234;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0005229232;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0005192491;"
0.132,1059.494,146.270,179.000,39.420,-39.355,2.312,0.000,0.283,0.000,0.000,4,32.430,2.494,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001027789;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01687208;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001012841;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01557112;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001026094;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00124234;"
0.152,1058.709,146.325,179.000,39.408,-39.312,2.757,0.000,0.290,0.000,0.000,4,32.138,1.664,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=4.244084E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01532221;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=4.25647E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01463661;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006410331;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00641039;"
0.172,1057.925,146.389,179.000,39.397,-39.269,3.169,0.000,0.296,0.000,0.000,4,30.487,1.049,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002468159;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01902083;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00246942;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01901954;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004541337;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004541337;"
0.192,1057.141,146.459,179.000,39.386,-39.229,3.531,0.000,0.301,0.000,0.000,4,27.982,0.647,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009049142;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0135582;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009051257;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01355603;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009398669;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009400755;"
