time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.001,1064.525,145.989,184.000,23.776,-23.776,-0.057,0.000,0.000,0.000,0.000,4,7.803,1.515,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.328945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.328945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0897107;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08971069;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003169;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003169;"
0.021,1064.050,145.988,184.000,23.790,-23.791,-0.028,0.000,0.112,0.000,0.000,4,11.192,0.873,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2876254;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1127208;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2876254;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1127208;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1127208;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1349837;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05289637;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2278016;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05289636;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2278016;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1002125;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1002125;"
0.041,1063.580,145.995,184.000,23.727,-23.725,0.333,0.000,0.105,0.000,0.000,4,14.136,0.358,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2451723;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07814727;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2451723;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07814728;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07814729;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1347309;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01832923;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1853701;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01832922;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1853701;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02416295;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02416295;"
0.061,1063.112,146.008,184.000,23.695,-23.688,0.640,-0.001,0.137,0.000,0.000,4,16.115,3.326,0.999,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1971437;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06364402;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.197296;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06349174;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06356731;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1370416;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003822144;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1373271;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003667034;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1374822;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0366379;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03679392;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0535759;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0535759;"
0.081,1062.643,146.025,184.000,23.696,-23.685,0.867,-0.001,0.153,0.000,0.000,4,19.029,5.160,0.998,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1498758;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0607096;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1500138;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06057164;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06063363;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06064022;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008885611;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09007715;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007511785;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09021453;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001808941;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001947463;"
0.101,1062.173,146.047,184.000,23.702,-23.684,1.110,0.000,0.152,0.000,0.000,4,21.907,4.891,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.109503;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06003214;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1095522;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.059983;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06000733;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06396052;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0002200445;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04969181;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001710411;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04974082;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01122421;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01127368;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05015951;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05015951;"
0.121,1061.702,146.077,184.000,23.682,-23.636,1.520,0.000,0.149,0.000,0.000,4,23.661,4.094,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0779437;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06020365;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0779065;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06024084;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06022099;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06539935;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004289979;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0181652;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004674718;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01812672;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002090752;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00234279;"
0.141,1061.231,146.114,184.000,23.676,-23.605,1.842,0.000,0.159,0.000,0.000,4,22.041,1.858,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06356452;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05992078;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06346284;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06002248;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05997288;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0618014;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=9.686681E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0037423;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0002003117;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003638855;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008022487;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009056926;"
0.161,1060.759,146.155,184.000,23.687,-23.599,2.044,0.000,0.162,0.000,0.000,4,19.847,0.544,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06059138;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0610478;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06053931;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06109986;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06053975;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0605641;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001231518;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007895405;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001282357;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007387012;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007579327;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.000802815;"
0.181,1060.288,146.199,184.000,23.696,-23.594,2.214,0.000,0.156,0.000,0.000,4,18.295,0.444,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0621413;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06573617;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06214877;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0657287;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06214264;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06214377;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005916571;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002319258;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005907876;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002327953;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003260612;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003312618;"
