seconds,travel,recoveries,x,y,z,safeStation,speed
0.02,0.05,0,560.97,27.60,-286.63,3739.35,0.00
0.04,0.05,0,560.97,27.60,-286.64,3739.35,0.00
0.05,0.05,0,560.97,27.60,-286.64,3739.35,0.00
0.07,0.04,0,560.97,27.60,-286.65,3739.35,-0.01
0.09,0.04,0,560.97,27.60,-286.65,3739.35,-0.01
0.10,0.04,0,560.97,27.60,-286.65,3739.35,-0.02
0.12,0.04,0,560.97,27.60,-286.65,3739.35,-0.02
0.14,0.03,0,560.97,27.60,-286.65,3739.35,-0.03
0.15,0.03,0,560.97,27.60,-286.66,3739.35,-0.04
0.17,0.03,0,560.97,27.60,-286.66,3739.35,-0.05
0.19,0.03,0,560.97,27.60,-286.66,3739.35,-0.05
0.20,0.03,0,560.97,27.60,-286.66,3739.32,-0.05
0.22,0.03,0,560.97,27.60,-286.66,3739.32,-0.06
0.24,0.02,0,560.97,27.60,-286.67,3739.32,-0.07
0.25,0.02,0,560.97,27.60,-286.67,3739.32,-0.07
0.27,0.02,0,560.97,27.60,-286.67,3739.32,-0.08
0.29,0.02,0,560.97,27.60,-286.67,3739.32,-0.08
0.30,0.02,0,560.97,27.60,-286.67,3739.32,-0.08
0.32,0.02,0,560.97,27.60,-286.67,3739.32,-0.08
0.34,0.01,0,560.97,27.60,-286.67,3739.32,-0.09
0.35,0.01,0,560.97,27.60,-286.68,3739.32,-0.09
0.37,0.01,0,560.97,27.59,-286.68,3739.32,-0.09
0.39,0.01,0,560.97,27.59,-286.68,3739.32,-0.09
0.40,0.01,0,560.97,27.59,-286.68,3739.32,-0.10
0.42,0.01,0,560.97,27.59,-286.68,3739.32,-0.10
0.44,0.00,0,560.97,27.59,-286.68,3739.32,-0.10
0.45,0.00,0,560.97,27.59,-286.69,3739.29,-0.10
0.48,0.00,0,560.97,27.59,-286.69,3739.29,-0.10
0.49,0.00,0,560.97,27.59,-286.69,3739.29,-0.10
0.51,0.00,0,560.97,27.59,-286.69,3739.29,-0.10
0.53,-0.01,0,560.97,27.59,-286.69,3739.29,-0.10
0.54,-0.01,0,560.97,27.59,-286.69,3739.29,-0.10
0.56,-0.01,0,560.97,27.59,-286.70,3739.29,-0.11
0.58,-0.01,0,560.97,27.59,-286.70,3739.29,-0.11
0.59,-0.01,0,560.97,27.59,-286.70,3739.29,-0.11
0.61,-0.02,0,560.97,27.59,-286.70,3739.29,-0.11
0.63,-0.02,0,560.97,27.59,-286.71,3739.29,-0.11
0.64,-0.02,0,560.97,27.59,-286.71,3739.29,-0.11
0.66,-0.02,0,560.97,27.59,-286.71,3739.29,-0.11
0.68,-0.02,0,560.97,27.59,-286.71,3739.29,-0.11
0.69,-0.02,0,560.97,27.59,-286.71,3739.29,-0.11
0.71,-0.03,0,560.97,27.59,-286.71,3739.27,-0.11
0.73,-0.03,0,560.97,27.59,-286.72,3739.27,-0.11
0.74,-0.03,0,560.97,27.59,-286.72,3739.27,-0.11
0.76,-0.03,0,560.97,27.59,-286.72,3739.27,-0.11
0.78,-0.03,0,560.97,27.59,-286.72,3739.27,-0.11
0.79,-0.03,0,560.97,27.59,-286.72,3739.27,-0.11
0.81,-0.04,0,560.97,27.59,-286.72,3739.27,-0.11
0.83,-0.04,0,560.97,27.59,-286.73,3739.27,-0.11
0.84,-0.04,0,560.97,27.59,-286.73,3739.27,-0.11
0.86,-0.04,0,560.97,27.59,-286.73,3739.27,-0.11
0.88,-0.04,0,560.97,27.59,-286.73,3739.27,-0.11
0.89,-0.05,0,560.97,27.59,-286.73,3739.27,-0.11
0.91,-0.05,0,560.97,27.59,-286.74,3739.27,-0.11
0.93,-0.05,0,560.97,27.59,-286.74,3739.27,-0.11
0.94,-0.05,0,560.97,27.59,-286.74,3739.27,-0.11
0.96,-0.05,0,560.97,27.59,-286.74,3739.27,-0.11
0.98,-0.05,0,560.97,27.59,-286.74,3739.24,-0.11
0.99,-0.06,0,560.97,27.59,-286.74,3739.24,-0.11
1.01,-0.06,0,560.97,27.59,-286.75,3739.24,-0.11
1.03,-0.06,0,560.97,27.59,-286.75,3739.24,-0.11
1.04,-0.06,0,560.97,27.59,-286.75,3739.24,-0.11
1.06,-0.06,0,560.97,27.59,-286.75,3739.24,-0.11
1.08,-0.07,0,560.97,27.59,-286.75,3739.24,-0.11
1.09,-0.07,0,560.97,27.59,-286.76,3739.24,-0.11
1.11,-0.07,0,560.97,27.58,-286.76,3739.24,-0.11
1.13,-0.07,0,560.97,27.58,-286.76,3739.24,-0.11
1.14,-0.07,0,560.97,27.58,-286.76,3739.24,-0.11
1.16,-0.07,0,560.97,27.58,-286.76,3739.24,-0.11
1.18,-0.08,0,560.97,27.58,-286.76,3739.24,-0.11
1.19,-0.08,0,560.97,27.58,-286.77,3739.24,-0.11
1.21,-0.08,0,560.97,27.58,-286.77,3739.24,-0.11
1.23,-0.08,0,560.97,27.58,-286.77,3739.21,-0.11
