course,mode,vehicle,speed,line,direction,travel,air,minUp,recovered,awards,completed
Street Loop,roam,original,24,0,1,221.78,2.62,0.945,True,1,True
Street Loop,roam,original,24,-6,1,226.68,2.92,0.904,True,1,True
Street Loop,roam,original,24,6,1,220.43,2.56,0.945,True,1,True
Street Loop,roam,original,24,-11.075,1,229.04,3.14,0.795,True,1,True
Street Loop,roam,original,24,11.075,1,220.43,2.56,0.945,True,1,True
Street Loop,roam,original,32,0,1,227.40,3.16,0.946,True,1,True
Street Loop,roam,original,32,-6,1,384.30,9.62,0.580,True,1,True
Street Loop,roam,original,32,6,1,226.32,3.10,0.946,True,1,True
Street Loop,roam,original,32,-11.075,1,319.21,8.72,0.396,True,1,True
Street Loop,roam,original,32,11.075,1,226.33,3.10,0.946,True,1,True
Street Loop,roam,original,40,0,1,224.68,3.34,0.942,True,0,True
Street Loop,roam,original,40,-6,1,225.77,3.42,0.943,True,0,True
Street Loop,roam,original,40,6,1,224.66,3.34,0.943,True,0,True
Street Loop,roam,original,40,-11.075,1,368.72,9.66,0.744,True,0,True
Street Loop,roam,original,40,11.075,1,224.76,3.34,0.942,True,0,True
Street Loop,roam,tourer,24,0,1,221.25,2.56,0.946,True,1,True
Street Loop,roam,tourer,24,-6,1,226.23,2.86,0.912,True,1,True
Street Loop,roam,tourer,24,6,1,219.94,2.50,0.946,True,1,True
Street Loop,roam,tourer,24,-11,1,244.97,4.18,0.269,True,1,True
Street Loop,roam,tourer,24,11,1,220.29,2.50,0.946,True,1,True
Street Loop,roam,tourer,32,0,1,226.74,3.08,0.943,True,1,True
Street Loop,roam,tourer,32,-6,1,221.57,3.50,0.943,True,1,True
Street Loop,roam,tourer,32,6,1,225.62,3.04,0.943,True,1,True
Street Loop,roam,tourer,32,-11,1,333.79,8.90,0.943,True,1,True
Street Loop,roam,tourer,32,11,1,225.60,3.04,0.944,True,1,True
Street Loop,roam,tourer,40,0,1,224.40,3.30,0.940,True,0,True
Street Loop,roam,tourer,40,-6,1,225.32,3.38,0.911,True,0,True
Street Loop,roam,tourer,40,6,1,224.54,3.30,0.940,True,0,True
Street Loop,roam,tourer,40,-11,1,358.58,9.98,0.722,True,0,False
Street Loop,roam,tourer,40,11,1,224.57,3.30,0.940,True,0,True
Street Loop,roam,moto,24,0,1,221.61,2.70,0.939,True,1,True
Street Loop,roam,moto,24,-6,1,226.71,3.00,0.854,True,1,True
Street Loop,roam,moto,24,6,1,221.22,2.68,0.939,True,1,True
Street Loop,roam,moto,24,-11.675,1,257.64,5.32,0.678,True,1,True
Street Loop,roam,moto,24,11.675,1,221.15,2.68,0.938,True,1,True
Street Loop,roam,moto,32,0,1,227.61,3.22,0.935,True,1,True
Street Loop,roam,moto,32,-6,1,335.41,8.42,0.864,True,1,True
Street Loop,roam,moto,32,6,1,227.10,3.20,0.935,True,1,True
Street Loop,roam,moto,32,-11.675,1,317.10,9.06,0.415,True,1,True
Street Loop,roam,moto,32,11.675,1,227.08,3.20,0.935,True,1,True
Street Loop,roam,moto,40,0,1,227.81,3.44,0.930,True,0,True
Street Loop,roam,moto,40,-6,1,382.28,9.18,0.863,True,0,True
Street Loop,roam,moto,40,6,1,228.13,3.44,0.935,True,0,True
Street Loop,roam,moto,40,-11.675,1,365.11,10.14,-0.632,True,0,True
Street Loop,roam,moto,40,11.675,1,228.08,3.44,0.935,True,0,True
Street Loop,roam,atv,24,0,1,222.10,2.70,0.945,True,1,True
Street Loop,roam,atv,24,-6,1,226.71,2.98,0.843,True,1,True
Street Loop,roam,atv,24,6,1,221.29,2.66,0.945,True,1,True
Street Loop,roam,atv,24,-11.275,1,261.77,5.42,0.692,True,1,True
Street Loop,roam,atv,24,11.275,1,221.18,2.68,0.944,True,1,True
Street Loop,roam,atv,32,0,1,227.95,3.24,0.939,True,1,True
Street Loop,roam,atv,32,-6,1,364.78,10.08,0.836,True,1,True
Street Loop,roam,atv,32,6,1,227.18,3.18,0.939,True,1,True
Street Loop,roam,atv,32,-11.275,1,307.94,8.76,0.760,True,1,True
Street Loop,roam,atv,32,11.275,1,227.30,3.18,0.939,True,1,True
Street Loop,roam,atv,40,0,1,227.51,3.42,0.935,True,0,True
Street Loop,roam,atv,40,-6,1,228.45,3.50,0.861,True,0,True
Street Loop,roam,atv,40,6,1,227.70,3.42,0.935,True,0,True
Street Loop,roam,atv,40,-11.275,1,355.13,10.48,0.667,True,0,True
Street Loop,roam,atv,40,11.275,1,227.59,3.42,0.935,True,0,True
