time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.019,1064.525,145.989,178.725,23.776,-23.776,-0.057,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076935;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076935;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2357479;"
0.039,1064.050,145.988,178.725,23.787,-23.788,-0.028,0.000,0.112,0.000,0.000,4,11.211,1.075,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1239017;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3063568;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1239016;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3063569;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1754893;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1754893;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3661647;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1837127;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3661647;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1837127;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1837127;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2356615;"
0.059,1063.576,145.990,178.725,23.797,-23.797,0.062,0.000,0.106,0.000,0.000,4,14.184,0.526,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08972723;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2635844;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08972722;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2635845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09964252;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09964254;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.323386;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495296;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.323386;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495296;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495296;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2342188;"
0.079,1063.101,145.994,178.725,23.804,-23.804,0.202,0.000,0.102,0.000,0.000,4,16.777,0.090,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05860138;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.221266;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05860137;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.221266;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1008263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1008263;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2810756;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1184166;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2810756;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1184166;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1296581;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2294867;"
0.099,1062.627,146.001,178.725,23.810,-23.808,0.386,0.000,0.098,0.000,0.000,4,18.911,0.247,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03109972;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1808723;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03109971;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1808723;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03625667;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03625667;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2407094;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09093077;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2407094;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09093077;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09093076;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09638399;"
0.119,1062.155,146.017,178.725,23.766,-23.753,0.793,0.001,0.095,0.000,0.000,4,20.544,0.500,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007756885;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1436743;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007756878;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1436743;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03999346;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03999349;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05767554;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2034839;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0675782;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.203484;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06757821;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06757823;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1000932;"
0.139,1061.684,146.038,178.725,23.764,-23.740,1.063,0.001,0.117,0.000,0.000,4,21.294,3.085,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001555449;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1057046;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001550698;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1057094;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002828449;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00283131;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1655182;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06136093;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1655222;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06135701;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06135812;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1073548;"
0.159,1061.213,146.064,178.725,23.768,-23.732,1.322,0.001,0.118,0.000,0.000,4,22.709,3.254,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003239792;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07363009;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003231224;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07363095;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01606524;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01606601;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05030325;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1334307;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06012631;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1334307;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06012631;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06192768;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1073158;"
0.179,1060.741,146.096,178.725,23.770,-23.717,1.595,0.000,0.116,0.000,0.000,4,23.460,2.827,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001652513;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04932902;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001655348;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04932619;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001653552;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002411246;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1091173;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06143951;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1091191;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06143772;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07225636;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1017762;"
0.199,1060.269,146.133,178.725,23.771,-23.698,1.866,0.000,0.115,0.000,0.000,4,23.358,2.425,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0060914;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03282046;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00609719;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03281467;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01123291;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01123944;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09264686;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06592433;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09264787;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06592332;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06592399;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07112166;"
0.219,1059.797,146.176,178.725,23.771,-23.676,2.121,0.000,0.114,0.000,0.000,4,22.583,2.051,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01389251;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02382703;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0139006;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02381894;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01781085;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01781926;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08362855;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0736917;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08361786;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07370239;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07369852;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07763395;"
0.239,1059.325,146.223,178.725,23.769,-23.655,2.351,0.000,0.115,0.000,0.000,4,21.305,1.711,0.996,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02501802;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02179126;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.025028;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02178128;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02301201;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02308559;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08159295;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08483139;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08159295;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08483139;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08159292;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08212763;"
0.259,1058.853,146.273,178.725,23.767,-23.634,2.548,-0.001,0.115,0.000,0.000,4,19.680,1.404,0.996,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03916089;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02591066;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03917224;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02589932;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02822989;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02856106;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08572658;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09897253;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08571502;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09898409;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08834675;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08835781;"
