time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,1064.526,146.139,190.000,23.775,-23.776,-0.057,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,""
0.040,1064.054,146.139,190.000,23.779,-23.782,-0.015,0.000,0.112,0.000,0.014,4,11.836,0.297,1.000,""
0.060,1063.581,146.140,190.000,23.781,-23.784,0.100,0.000,0.110,0.000,-0.034,4,15.501,0.507,1.000,""
0.080,1063.108,146.146,190.000,23.780,-23.782,0.276,0.000,0.110,0.000,0.057,4,18.587,0.905,1.000,""
0.100,1062.635,146.156,190.000,23.778,-23.776,0.499,0.001,0.110,0.000,-0.079,4,20.921,1.057,0.999,""
0.120,1062.162,146.171,190.000,23.775,-23.766,0.753,0.000,0.111,0.000,0.099,4,22.465,1.068,0.999,""
0.140,1061.690,146.191,190.000,23.773,-23.752,1.023,0.001,0.112,0.000,-0.117,4,23.263,1.003,0.999,""
0.160,1061.217,146.217,190.000,23.770,-23.735,1.295,-0.001,0.114,0.000,0.133,4,23.401,0.900,0.998,""
0.180,1060.744,146.248,190.000,23.767,-23.716,1.558,-0.002,0.115,0.000,0.146,4,22.988,0.784,0.998,""
0.200,1060.271,146.284,190.000,23.763,-23.696,1.805,0.002,0.117,0.000,-0.157,4,22.138,0.669,0.998,""
0.220,1059.799,146.324,190.000,23.760,-23.677,2.027,0.011,0.118,0.000,-0.167,4,20.962,0.563,0.998,""
0.240,1059.327,146.369,190.001,23.756,-23.659,2.222,0.019,0.120,0.000,-0.174,4,19.562,0.468,0.998,""
0.260,1058.854,146.417,190.001,23.752,-23.642,2.386,0.020,0.122,0.000,-0.181,4,18.030,0.385,0.997,""
0.280,1058.382,146.467,190.001,23.748,-23.627,2.518,0.009,0.124,0.000,0.185,4,16.442,0.315,0.997,""
0.300,1057.911,146.519,190.001,23.743,-23.614,2.619,-0.012,0.126,0.000,0.190,4,14.863,0.256,0.997,""
0.320,1057.439,146.573,190.000,23.739,-23.603,2.689,-0.035,0.128,0.000,0.194,4,13.349,0.207,0.997,""
0.340,1056.967,146.628,189.999,23.734,-23.595,2.732,-0.054,0.131,0.000,0.196,4,11.935,0.167,0.997,""
0.360,1056.496,146.683,189.998,23.730,-23.588,2.748,-0.062,0.133,0.000,0.198,4,10.656,0.134,0.997,""
0.380,1056.024,146.737,189.997,23.725,-23.584,2.742,-0.054,0.135,0.000,0.199,4,9.527,0.108,0.997,""
0.400,1055.553,146.792,189.996,23.720,-23.581,2.717,-0.030,0.137,0.000,-0.201,4,8.559,0.086,0.997,""
0.420,1055.081,146.845,189.997,23.715,-23.580,2.677,0.009,0.140,0.000,-0.203,4,7.760,0.069,0.997,""
0.440,1054.610,146.898,189.998,23.711,-23.579,2.623,0.055,0.142,0.000,-0.205,4,7.124,0.055,0.997,""
0.460,1054.138,146.949,190.000,23.708,-23.580,2.560,0.098,0.144,0.000,-0.206,4,6.646,0.044,0.997,""
0.480,1053.667,146.999,190.002,23.705,-23.582,2.490,0.129,0.146,0.000,-0.206,4,6.317,0.035,0.997,""
0.500,1053.195,147.047,190.005,23.702,-23.584,2.417,0.145,0.148,0.000,-0.206,4,6.122,0.028,0.997,""
0.520,1052.723,147.094,190.008,23.698,-23.587,2.342,0.142,0.149,0.000,-0.206,4,6.047,0.022,0.997,""
0.540,1052.252,147.139,190.010,23.694,-23.590,2.268,0.119,0.151,0.000,0.204,4,6.075,0.017,0.997,""
0.560,1051.780,147.183,190.012,23.691,-23.593,2.196,0.080,0.153,0.000,0.204,4,6.191,0.014,0.997,""
0.580,1051.308,147.226,190.013,23.688,-23.595,2.128,0.031,0.155,0.000,0.205,4,6.379,0.011,0.997,""
0.600,1050.836,147.267,190.012,23.686,-23.598,2.065,-0.015,0.156,0.000,0.206,4,6.622,0.009,0.997,""
0.620,1050.364,147.307,190.011,23.684,-23.600,2.007,-0.052,0.157,0.000,0.206,4,6.906,0.007,0.997,""
0.640,1049.892,147.346,190.010,23.683,-23.602,1.956,-0.073,0.158,0.000,0.205,4,7.218,0.005,0.997,""
0.660,1049.420,147.384,190.008,23.681,-23.604,1.911,-0.076,0.159,0.000,0.205,4,7.544,0.004,0.997,""
0.680,1048.948,147.422,190.007,23.678,-23.605,1.873,-0.058,0.160,0.000,-0.206,4,7.876,0.003,0.997,""
0.700,1048.476,147.459,190.007,23.676,-23.606,1.842,-0.024,0.161,0.000,-0.207,4,8.203,0.003,0.997,""
0.720,1048.004,147.495,190.007,23.674,-23.606,1.816,0.018,0.162,0.000,-0.208,4,8.518,0.002,0.997,""
0.740,1047.531,147.531,190.008,23.673,-23.606,1.797,0.060,0.163,0.000,-0.209,4,8.814,0.002,0.997,""
0.760,1047.059,147.567,190.010,23.673,-23.606,1.783,0.091,0.163,0.000,-0.208,4,9.089,0.001,0.997,""
0.780,1046.587,147.602,190.012,23.672,-23.605,1.774,0.108,0.164,0.000,-0.208,4,9.337,0.001,0.997,""
0.800,1046.115,147.638,190.014,23.670,-23.605,1.770,0.106,0.164,0.000,-0.207,4,9.555,0.001,0.997,""
0.820,1045.643,147.673,190.016,23.669,-23.604,1.769,0.084,0.165,0.000,0.204,4,9.745,0.001,0.997,""
0.840,1045.171,147.708,190.017,23.667,-23.603,1.772,0.046,0.166,0.000,0.205,4,9.905,0.000,0.997,""
0.860,1044.699,147.744,190.017,23.666,-23.601,1.777,-0.001,0.167,0.000,0.206,4,10.036,0.000,0.997,""
0.880,1044.227,147.780,190.016,23.666,-23.599,1.784,-0.046,0.167,0.000,0.206,4,10.139,0.000,0.997,""
0.900,1043.755,147.815,190.014,23.665,-23.598,1.793,-0.082,0.167,0.000,0.206,4,10.217,0.000,0.997,""
0.920,1043.283,147.851,190.012,23.665,-23.596,1.802,-0.102,0.167,0.000,0.206,4,10.269,0.000,0.997,""
0.940,1042.811,147.888,190.010,23.664,-23.595,1.813,-0.104,0.167,0.000,0.205,4,10.302,0.000,0.997,""
0.960,1042.339,147.924,190.008,23.663,-23.594,1.823,-0.086,0.168,0.000,-0.207,4,10.315,0.000,0.997,""
0.980,1041.867,147.961,190.007,23.662,-23.592,1.834,-0.051,0.168,0.000,-0.207,4,10.313,0.000,0.997,""
1.000,1041.396,147.998,190.007,23.661,-23.591,1.844,-0.008,0.169,0.000,-0.208,4,10.296,0.000,0.997,""
1.020,1040.924,148.035,190.008,23.661,-23.589,1.854,0.034,0.169,0.000,-0.208,4,10.269,0.000,0.997,""
1.040,1040.452,148.072,190.009,23.662,-23.588,1.863,0.066,0.169,0.000,-0.208,4,10.233,0.000,0.997,""
1.060,1039.980,148.110,190.011,23.661,-23.587,1.871,0.083,0.169,0.000,-0.208,4,10.192,0.000,0.997,""
1.080,1039.509,148.147,190.012,23.661,-23.586,1.879,0.082,0.169,0.000,-0.207,4,10.146,0.000,0.997,""
1.100,1039.037,148.185,190.014,23.660,-23.586,1.885,0.060,0.170,0.000,0.205,4,10.098,0.000,0.997,""
1.120,1038.565,148.223,190.014,23.659,-23.585,1.890,0.022,0.170,0.000,0.205,4,10.049,0.000,0.997,""
1.140,1038.094,148.261,190.014,23.658,-23.584,1.895,-0.024,0.171,0.000,0.206,4,10.000,0.000,0.997,""
1.160,1037.622,148.298,190.012,23.659,-23.583,1.898,-0.069,0.171,0.000,0.207,4,9.955,0.000,0.997,""
1.180,1037.150,148.336,190.010,23.659,-23.583,1.901,-0.104,0.171,0.000,0.207,4,9.912,0.000,0.997,""
1.200,1036.678,148.375,190.008,23.659,-23.582,1.903,-0.124,0.171,0.000,0.206,4,9.873,0.000,0.997,""
1.220,1036.207,148.413,190.005,23.659,-23.582,1.904,-0.126,0.170,0.000,0.206,4,9.838,0.000,0.997,""
1.240,1035.735,148.451,190.003,23.658,-23.582,1.904,-0.107,0.171,0.000,0.205,4,9.807,0.000,0.997,""
1.260,1035.263,148.489,190.002,23.656,-23.582,1.904,-0.067,0.171,0.000,-0.207,4,9.779,0.000,0.997,""
1.280,1034.792,148.527,190.001,23.655,-23.581,1.904,-0.011,0.172,0.000,-0.208,4,9.757,0.000,0.997,""
1.300,1034.320,148.565,190.003,23.654,-23.581,1.903,0.053,0.173,0.000,-0.210,4,9.739,0.000,0.997,""
1.320,1033.849,148.603,190.005,23.655,-23.580,1.902,0.115,0.173,0.000,-0.211,4,9.724,0.000,0.997,""
1.340,1033.377,148.641,190.008,23.656,-23.579,1.900,0.166,0.173,0.000,-0.212,4,9.712,0.000,0.997,""
1.360,1032.906,148.679,190.012,23.656,-23.579,1.899,0.200,0.172,0.000,-0.211,4,9.704,0.000,0.997,""
1.380,1032.434,148.717,190.016,23.657,-23.579,1.897,0.215,0.172,0.000,-0.209,4,9.700,0.000,0.997,""
1.400,1031.962,148.755,190.021,23.656,-23.580,1.896,0.207,0.172,0.000,-0.208,4,9.698,0.000,0.997,""
1.420,1031.491,148.793,190.024,23.654,-23.580,1.894,0.177,0.172,0.000,-0.208,4,9.698,0.000,0.997,""
1.440,1031.019,148.831,190.027,23.652,-23.580,1.893,0.125,0.173,0.000,0.204,4,9.701,0.000,0.997,""
1.460,1030.548,148.868,190.028,23.651,-23.580,1.891,0.055,0.174,0.000,0.206,4,9.704,0.000,0.997,""
1.480,1030.076,148.906,190.027,23.650,-23.579,1.890,-0.023,0.175,0.000,0.208,4,9.709,0.000,0.997,""
1.500,1029.605,148.944,190.025,23.651,-23.578,1.888,-0.098,0.175,0.000,0.210,4,9.716,0.000,0.997,""
1.520,1029.133,148.982,190.022,23.652,-23.578,1.887,-0.162,0.175,0.000,0.210,4,9.723,0.000,0.997,""
1.540,1028.661,149.019,190.018,23.653,-23.577,1.886,-0.209,0.174,0.000,0.209,4,9.732,0.000,0.997,""
1.560,1028.190,149.057,190.013,23.654,-23.577,1.885,-0.236,0.173,0.000,0.208,4,9.740,0.000,0.997,""
1.580,1027.718,149.095,190.008,23.654,-23.578,1.885,-0.240,0.173,0.000,0.206,4,9.747,0.000,0.997,""
1.600,1027.247,149.132,190.004,23.653,-23.578,1.884,-0.220,0.173,0.000,0.205,4,9.755,0.000,0.997,""
1.620,1026.775,149.170,190.000,23.652,-23.579,1.884,-0.178,0.173,0.000,-0.206,4,9.761,0.000,0.997,""
1.640,1026.304,149.208,189.998,23.650,-23.579,1.884,-0.117,0.174,0.000,-0.207,4,9.767,0.000,0.997,""
1.660,1025.832,149.246,189.997,23.650,-23.578,1.884,-0.048,0.175,0.000,-0.208,4,9.772,0.000,0.997,""
1.680,1025.361,149.283,189.998,23.651,-23.578,1.884,0.020,0.175,0.000,-0.209,4,9.776,0.000,0.997,""
1.700,1024.889,149.321,189.999,23.652,-23.578,1.884,0.077,0.175,0.000,-0.210,4,9.780,0.000,0.997,""
1.720,1024.417,149.359,190.001,23.653,-23.578,1.884,0.117,0.174,0.000,-0.209,4,9.783,0.000,0.997,""
1.740,1023.946,149.396,190.004,23.653,-23.578,1.884,0.137,0.174,0.000,-0.208,4,9.786,0.000,0.997,""
1.760,1023.474,149.434,190.007,23.653,-23.578,1.884,0.136,0.173,0.000,-0.207,4,9.788,0.000,0.997,""
1.780,1023.003,149.472,190.009,23.653,-23.579,1.884,0.111,0.173,0.000,0.205,4,9.790,0.000,0.997,""
1.800,1022.531,149.509,190.010,23.652,-23.579,1.884,0.069,0.174,0.000,0.206,4,9.790,0.000,0.997,""
1.820,1022.060,149.547,190.011,23.652,-23.579,1.885,0.017,0.174,0.000,0.207,4,9.790,0.000,0.997,""
1.840,1021.588,149.585,190.010,23.652,-23.579,1.885,-0.034,0.174,0.000,0.207,4,9.791,0.000,0.997,""
1.860,1021.117,149.622,190.009,23.653,-23.579,1.885,-0.075,0.174,0.000,0.207,4,9.791,0.000,0.997,""
1.880,1020.645,149.660,190.007,23.654,-23.579,1.885,-0.102,0.173,0.000,0.207,4,9.790,0.000,0.997,""
1.900,1020.173,149.698,190.004,23.654,-23.579,1.886,-0.110,0.173,0.000,0.206,4,9.790,0.000,0.997,""
1.920,1019.702,149.735,190.002,23.654,-23.579,1.886,-0.097,0.173,0.000,0.205,4,9.788,0.000,0.997,""
1.940,1019.230,149.773,190.001,23.653,-23.579,1.886,-0.063,0.173,0.000,-0.206,4,9.787,0.000,0.997,""
1.960,1018.759,149.811,190.001,23.652,-23.579,1.886,-0.011,0.174,0.000,-0.208,4,9.787,0.000,0.997,""
1.980,1018.287,149.849,190.002,23.652,-23.579,1.886,0.048,0.174,0.000,-0.210,4,9.786,0.000,0.997,""
2.000,1017.816,149.886,190.004,23.652,-23.578,1.886,0.106,0.174,0.000,-0.211,4,9.785,0.000,0.997,""
2.020,1017.344,149.924,190.007,23.653,-23.578,1.887,0.153,0.174,0.000,-0.211,4,9.784,0.000,0.997,""
2.040,1016.872,149.962,190.011,23.654,-23.578,1.887,0.184,0.173,0.000,-0.210,4,9.782,0.000,0.997,""
2.060,1016.401,150.000,190.015,23.654,-23.578,1.887,0.195,0.173,0.000,-0.209,4,9.781,0.000,0.997,""
2.080,1015.929,150.037,190.018,23.654,-23.579,1.887,0.185,0.173,0.000,-0.208,4,9.780,0.000,0.997,""
2.100,1015.458,150.075,190.021,23.653,-23.579,1.887,0.153,0.173,0.000,0.204,4,9.779,0.000,0.997,""
2.120,1014.986,150.113,190.023,23.652,-23.579,1.887,0.103,0.174,0.000,0.204,4,9.778,0.000,0.997,""
2.140,1014.515,150.151,190.024,23.652,-23.579,1.887,0.044,0.174,0.000,0.205,4,9.777,0.000,0.997,""
2.160,1014.043,150.188,190.024,23.652,-23.579,1.887,-0.013,0.174,0.000,0.206,4,9.777,0.000,0.997,""
2.180,1013.572,150.226,190.023,23.653,-23.579,1.887,-0.060,0.174,0.000,0.206,4,9.776,0.000,0.997,""
2.200,1013.100,150.264,190.021,23.654,-23.579,1.886,-0.092,0.173,0.000,0.205,4,9.776,0.000,0.997,""
2.220,1012.628,150.301,190.019,23.654,-23.579,1.886,-0.105,0.173,0.000,0.205,4,9.776,0.000,0.997,""
2.240,1012.157,150.339,190.017,23.654,-23.579,1.886,-0.097,0.173,0.000,0.204,4,9.775,0.000,0.997,""
2.260,1011.685,150.377,190.016,23.653,-23.580,1.886,-0.067,0.173,0.000,-0.208,4,9.775,0.000,0.997,""
2.280,1011.214,150.415,190.015,23.652,-23.580,1.886,-0.020,0.173,0.000,-0.209,4,9.777,0.000,0.997,""
2.300,1010.742,150.452,190.016,23.652,-23.579,1.886,0.036,0.174,0.000,-0.210,4,9.778,0.000,0.997,""
2.320,1010.271,150.490,190.018,23.653,-23.579,1.886,0.090,0.174,0.000,-0.211,4,9.778,0.000,0.997,""
2.340,1009.799,150.528,190.021,23.654,-23.579,1.886,0.134,0.174,0.000,-0.211,4,9.779,0.000,0.997,""
2.360,1009.327,150.566,190.024,23.654,-23.579,1.886,0.162,0.173,0.000,-0.211,4,9.779,0.000,0.997,""
2.380,1008.856,150.603,190.027,23.655,-23.579,1.886,0.171,0.173,0.000,-0.210,4,9.780,0.000,0.997,""
2.400,1008.384,150.641,190.030,23.654,-23.579,1.886,0.158,0.173,0.000,-0.209,4,9.780,0.000,0.997,""
2.420,1007.913,150.679,190.033,23.653,-23.579,1.886,0.124,0.173,0.000,0.203,4,9.780,0.000,0.997,""
2.440,1007.441,150.716,190.034,23.652,-23.579,1.886,0.072,0.174,0.000,0.204,4,9.780,0.000,0.997,""
2.460,1006.969,150.754,190.034,23.652,-23.579,1.886,0.011,0.174,0.000,0.205,4,9.780,0.000,0.997,""
2.480,1006.498,150.792,190.033,23.652,-23.579,1.886,-0.049,0.174,0.000,0.206,4,9.780,0.000,0.997,""
2.500,1006.026,150.830,190.032,23.653,-23.579,1.886,-0.098,0.174,0.000,0.206,4,9.780,0.000,0.997,""
2.520,1005.555,150.867,190.029,23.654,-23.579,1.886,-0.132,0.173,0.000,0.205,4,9.780,0.000,0.997,""
2.540,1005.083,150.905,190.026,23.655,-23.579,1.886,-0.146,0.173,0.000,0.204,4,9.779,0.000,0.997,""
2.560,1004.612,150.943,190.023,23.654,-23.579,1.886,-0.139,0.173,0.000,0.204,4,9.778,0.000,0.997,""
2.580,1004.140,150.981,190.021,23.653,-23.579,1.886,-0.111,0.173,0.000,-0.208,4,9.778,0.000,0.997,""
2.600,1003.669,151.018,190.020,23.652,-23.579,1.886,-0.065,0.173,0.000,-0.209,4,9.777,0.000,0.997,""
2.620,1003.197,151.056,190.019,23.652,-23.579,1.886,-0.010,0.174,0.000,-0.210,4,9.777,0.000,0.997,""
2.640,1002.725,151.094,190.020,23.653,-23.579,1.886,0.043,0.174,0.000,-0.211,4,9.778,0.000,0.997,""
2.660,1002.254,151.131,190.022,23.654,-23.579,1.886,0.086,0.174,0.000,-0.211,4,9.778,0.000,0.997,""
2.680,1001.782,151.169,190.024,23.655,-23.579,1.886,0.113,0.173,0.000,-0.210,4,9.779,0.000,0.997,""
2.700,1001.311,151.207,190.027,23.655,-23.579,1.886,0.121,0.173,0.000,-0.209,4,9.779,0.000,0.997,""
2.720,1000.839,151.244,190.029,23.654,-23.580,1.876,0.107,0.173,0.000,-0.209,4,9.318,0.659,0.997,""
2.740,1000.367,151.281,190.030,23.653,-23.583,1.848,0.072,0.173,0.000,0.202,4,8.389,0.513,0.997,""
2.760,999.894,151.318,190.031,23.652,-23.586,1.807,0.020,0.173,0.000,0.200,4,7.733,0.158,0.997,""
2.780,999.422,151.353,190.030,23.653,-23.590,1.761,-0.041,0.174,0.000,0.197,4,7.499,0.343,0.997,""
2.800,998.949,151.387,190.028,23.655,-23.594,1.715,-0.101,0.174,0.000,0.192,4,7.455,0.921,0.997,""
2.820,998.477,151.421,190.025,23.657,-23.598,1.679,-0.151,0.173,0.000,0.187,4,7.929,0.959,0.998,""
2.840,998.004,151.454,190.021,23.659,-23.601,1.651,-0.186,0.172,0.000,0.182,4,8.387,0.687,0.998,""
2.860,997.532,151.486,190.017,23.662,-23.605,1.629,-0.203,0.170,0.000,0.177,4,8.658,0.579,0.998,""
2.880,997.061,151.519,190.013,23.663,-23.607,1.619,-0.202,0.169,0.000,0.176,4,9.229,0.860,0.997,""
2.900,996.590,151.552,190.010,23.663,-23.607,1.651,-0.180,0.168,0.000,0.181,4,11.305,0.492,0.997,""
2.920,996.120,151.586,190.007,23.661,-23.602,1.724,-0.139,0.168,0.000,-0.195,4,13.416,0.153,0.997,""
2.940,995.667,151.639,190.003,23.340,-23.188,2.688,-0.210,0.169,0.000,-0.212,4,16.565,0.120,0.994,"Ground_Summit authored launch:(0.252, 0.968, 0.000) separation=0.0001807548;Ground_Summit authored launch:(0.252, 0.968, 0.000) separation=0.002438828;"
2.960,995.214,151.699,190.001,23.274,-23.076,3.042,-0.108,0.330,0.000,-0.286,4,15.300,6.133,0.991,"Ground_Summit authored launch:(0.252, 0.968, 0.000) separation=0.01189309;Ground_Summit authored launch:(0.252, 0.968, 0.000) separation=0.0003063679;Ground_Summit authored launch:(0.252, 0.968, 0.000) separation=0.0006268173;"
2.980,994.765,151.768,190.001,23.187,-22.919,3.525,0.011,0.363,0.000,-0.351,4,18.877,5.048,0.987,"Ground_Summit authored launch:(0.270, 0.963, 0.000) separation=0.009035349;Ground_Summit authored launch:(0.270, 0.963, 0.000) separation=0.006804645;Ground_Summit authored launch:(0.270, 0.963, 0.000) separation=-0.002599532;Ground_Summit authored launch:(0.270, 0.963, 0.000) separation=-0.001816574;"
3.000,994.320,151.849,190.003,23.108,-22.757,4.025,0.099,0.407,0.000,-0.417,4,20.931,5.459,0.982,"Ground_Summit authored launch:(0.287, 0.958, 0.000) separation=-0.008971341;Ground_Summit authored launch:(0.287, 0.958, 0.000) separation=-0.008964241;Ground_Summit authored launch:(0.287, 0.958, 0.000) separation=-0.002845109;Ground_Summit authored launch:(0.287, 0.958, 0.000) separation=-0.008950569;"
3.020,993.874,151.938,190.006,23.068,-22.634,4.467,0.138,0.446,0.000,-0.484,4,22.811,4.849,0.978,"Ground_Summit authored launch:(0.287, 0.958, 0.000) separation=-0.001727931;Ground_Summit authored launch:(0.287, 0.958, 0.000) separation=-0.00165084;"
3.040,993.437,152.040,190.010,22.974,-22.412,5.068,0.175,0.466,0.000,0.500,4,24.073,4.370,0.973,"Ground_Summit authored launch:(0.322, 0.947, 0.000) separation=-0.01538569;Ground_Summit authored launch:(0.322, 0.947, 0.000) separation=-0.01543706;"
3.060,992.998,152.150,190.013,22.942,-22.276,5.516,0.145,0.513,0.000,0.500,4,24.248,4.451,0.969,"Ground_Summit authored launch:(0.322, 0.947, 0.000) separation=-0.003080957;Ground_Summit authored launch:(0.322, 0.947, 0.000) separation=-0.002923295;"
3.080,992.564,152.271,190.015,22.886,-22.084,6.037,0.107,0.529,0.000,0.500,4,24.673,3.875,0.963,"Ground_Summit authored launch:(0.344, 0.939, 0.000) separation=0.0196535;Ground_Summit authored launch:(0.344, 0.939, 0.000) separation=-0.01007459;Ground_Summit authored launch:(0.344, 0.939, 0.000) separation=-0.01113316;"
3.100,992.132,152.401,190.016,22.852,-21.920,6.493,0.042,0.557,0.000,0.500,4,24.042,3.605,0.959,"Ground_Summit authored launch:(0.355, 0.935, 0.000) separation=0.005372465;Ground_Summit authored launch:(0.355, 0.935, 0.000) separation=0.01759893;Ground_Summit authored launch:(0.355, 0.935, 0.000) separation=-0.007389598;Ground_Summit authored launch:(0.355, 0.935, 0.000) separation=-0.007624321;"
3.120,991.704,152.539,190.016,22.818,-21.743,6.950,-0.026,0.574,0.000,0.500,4,23.800,3.328,0.954,"Ground_Summit authored launch:(0.371, 0.929, 0.000) separation=-0.005063082;Ground_Summit authored launch:(0.371, 0.929, 0.000) separation=-0.006899246;Ground_Summit authored launch:(0.371, 0.929, 0.000) separation=0.00635457;Ground_Summit authored launch:(0.371, 0.929, 0.000) separation=0.01038605;"
3.140,991.279,152.687,190.013,22.791,-21.571,7.372,-0.163,0.591,0.000,0.500,4,22.709,3.255,0.949,"Ground_Summit authored launch:(0.387, 0.922, 0.000) separation=-0.00888731;Ground_Summit authored launch:(0.387, 0.922, 0.000) separation=-0.008960426;Ground_Summit authored launch:(0.387, 0.922, 0.000) separation=0.001755118;Ground_Summit authored launch:(0.387, 0.922, 0.000) separation=-0.009270512;"
3.160,990.854,152.840,190.008,22.793,-21.454,7.701,-0.258,0.604,0.000,0.500,4,22.125,2.839,0.945,"Ground_Summit authored launch:(0.387, 0.922, 0.000) separation=-0.001688823;Ground_Summit authored launch:(0.387, 0.922, 0.000) separation=-0.001812987;"
3.180,990.437,153.004,190.000,22.751,-21.249,8.131,-0.349,0.604,0.000,0.500,4,21.341,2.397,0.940,"Ground_Summit authored launch:(0.418, 0.908, 0.000) separation=-0.01358433;Ground_Summit authored launch:(0.418, 0.908, 0.000) separation=-0.01519878;"
3.200,990.018,153.171,189.993,22.750,-21.136,8.421,-0.373,0.624,0.000,0.500,4,20.306,2.538,0.936,"Ground_Summit authored launch:(0.418, 0.908, 0.000) separation=0.01902187;Ground_Summit authored launch:(0.418, 0.908, 0.000) separation=-0.002605535;Ground_Summit authored launch:(0.418, 0.908, 0.000) separation=-0.003053658;"
3.220,989.604,153.346,189.985,22.731,-20.993,8.739,-0.365,0.625,0.000,0.500,4,19.831,2.182,0.931,"Ground_Summit authored launch:(0.433, 0.902, 0.000) separation=-0.007770189;Ground_Summit authored launch:(0.433, 0.902, 0.000) separation=-0.008406284;Ground_Summit authored launch:(0.433, 0.902, 0.000) separation=0.01561975;Ground_Summit authored launch:(0.433, 0.902, 0.000) separation=0.01634771;"
3.240,989.192,153.527,189.979,22.707,-20.844,9.046,-0.314,0.634,0.000,-0.500,4,19.012,2.071,0.926,"Ground_Summit authored launch:(0.447, 0.894, 0.000) separation=-0.001056969;Ground_Summit authored launch:(0.447, 0.894, 0.000) separation=0.006517231;Ground_Summit authored launch:(0.447, 0.894, 0.000) separation=-0.009063933;Ground_Summit authored launch:(0.447, 0.894, 0.000) separation=-0.008961555;"
3.260,988.784,153.714,189.975,22.660,-20.652,9.390,-0.235,0.647,0.000,-0.500,4,18.615,2.066,0.921,"Ground_Summit authored launch:(0.468, 0.884, 0.000) separation=0.001699805;Ground_Summit authored launch:(0.468, 0.884, 0.000) separation=-0.001340032;Ground_Summit authored launch:(0.468, 0.884, 0.000) separation=-0.003105424;Ground_Summit authored launch:(0.468, 0.884, 0.000) separation=-0.002105663;"
3.280,988.378,153.906,189.972,22.643,-20.524,9.640,-0.104,0.670,0.000,-0.500,4,17.443,2.390,0.917,"Ground_Summit authored launch:(0.475, 0.880, 0.000) separation=-0.004190244;Ground_Summit authored launch:(0.475, 0.880, 0.000) separation=-0.00388018;"
3.300,987.973,154.101,189.974,22.641,-20.429,9.842,0.057,0.679,0.000,-0.500,4,17.320,2.028,0.913,"Ground_Summit authored launch:(0.475, 0.880, 0.000) separation=-0.0007585324;Ground_Summit authored launch:(0.475, 0.880, 0.000) separation=-0.0008373708;"
3.320,987.572,154.303,189.978,22.618,-20.271,10.107,0.207,0.679,0.000,-0.500,4,17.175,1.764,0.907,"Ground_Summit authored launch:(0.493, 0.870, 0.000) separation=0.01483738;Ground_Summit authored launch:(0.493, 0.870, 0.000) separation=-0.009287439;Ground_Summit authored launch:(0.493, 0.870, 0.000) separation=-0.00633014;"
3.340,987.174,154.509,189.985,22.610,-20.140,10.331,0.360,0.691,0.000,-0.500,4,16.775,1.813,0.902,"Ground_Summit authored launch:(0.502, 0.865, 0.000) separation=0.006428957;Ground_Summit authored launch:(0.502, 0.865, 0.000) separation=0.005727887;Ground_Summit authored launch:(0.502, 0.865, 0.000) separation=-0.006445138;Ground_Summit authored launch:(0.502, 0.865, 0.000) separation=-0.005826985;"
3.360,986.779,154.719,189.996,22.599,-19.991,10.570,0.537,0.695,0.000,-0.500,4,16.856,1.835,0.897,"Ground_Summit authored launch:(0.514, 0.858, 0.000) separation=-0.001158513;Ground_Summit authored launch:(0.514, 0.858, 0.000) separation=-0.001206398;Ground_Summit authored launch:(0.514, 0.858, 0.000) separation=0.003568411;Ground_Summit authored launch:(0.514, 0.858, 0.000) separation=-0.003024425;"
3.380,986.387,154.934,190.009,22.586,-19.836,10.809,0.680,0.701,0.000,-0.500,4,16.507,1.826,0.892,"Ground_Summit authored launch:(0.527, 0.850, 0.000) separation=-0.007236615;Ground_Summit authored launch:(0.527, 0.850, 0.000) separation=-0.005912624;"
3.400,985.996,155.153,190.024,22.592,-19.736,10.988,0.765,0.707,0.000,-0.500,4,16.507,1.918,0.887,"Ground_Summit authored launch:(0.527, 0.850, 0.000) separation=-0.001471993;Ground_Summit authored launch:(0.527, 0.850, 0.000) separation=-0.001139387;"
3.420,985.608,155.376,190.041,22.580,-19.596,11.208,0.812,0.704,0.000,-0.500,4,16.657,1.709,0.882,"Ground_Summit authored launch:(0.539, 0.842, 0.000) separation=0.01700115;Ground_Summit authored launch:(0.539, 0.842, 0.000) separation=0.01105708;Ground_Summit authored launch:(0.539, 0.842, 0.000) separation=-0.006847709;Ground_Summit authored launch:(0.539, 0.842, 0.000) separation=-0.004405938;"
3.440,985.224,155.604,190.057,22.561,-19.450,11.431,0.810,0.710,0.000,-0.500,4,16.625,1.737,0.876,"Ground_Summit authored launch:(0.551, 0.835, 0.000) separation=-0.005136371;Ground_Summit authored launch:(0.551, 0.835, 0.000) separation=-0.0009376407;Ground_Summit authored launch:(0.551, 0.835, 0.000) separation=-0.007689154;Ground_Summit authored launch:(0.551, 0.835, 0.000) separation=-0.007395713;"
3.460,984.840,155.835,190.071,22.556,-19.354,11.603,0.743,0.719,0.000,-0.500,4,16.748,1.795,0.872,"Ground_Summit authored launch:(0.551, 0.835, 0.000) separation=-0.001623377;Ground_Summit authored launch:(0.551, 0.835, 0.000) separation=-0.001396388;"
