time,racer,x,y,z,speed,grounded,branch,position,earned,rejoinSeconds,road,nextGate,misses,penalty,buzzes
0.000,YOU reference pilot,322.058,9.782,544.064,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,EMBER,318.010,11.281,535.877,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,GOLD,322.375,12.467,528.988,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,BLUE,317.798,13.848,522.232,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU reference pilot,322.058,9.782,544.064,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,EMBER,318.010,11.281,535.877,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,GOLD,322.375,12.467,528.988,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,BLUE,317.798,13.848,522.232,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU reference pilot,322.058,9.782,544.064,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,EMBER,318.010,11.281,535.877,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,GOLD,322.375,12.467,528.988,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,BLUE,317.798,13.848,522.232,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU reference pilot,322.058,9.782,544.064,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,EMBER,318.010,11.281,535.877,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,GOLD,322.375,12.467,528.988,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,BLUE,317.798,13.848,522.232,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU reference pilot,322.058,9.782,544.064,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,EMBER,318.010,11.281,535.877,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,GOLD,322.375,12.467,528.988,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,BLUE,317.798,13.848,522.232,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU reference pilot,322.058,9.782,544.064,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,EMBER,318.010,11.281,535.877,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,GOLD,322.375,12.467,528.988,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,BLUE,317.798,13.848,522.232,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU reference pilot,322.058,9.782,544.064,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,EMBER,318.010,11.281,535.877,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,GOLD,322.375,12.467,528.988,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,BLUE,317.798,13.848,522.232,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU reference pilot,322.058,9.782,544.064,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,EMBER,318.010,11.281,535.877,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,GOLD,322.375,12.467,528.988,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,BLUE,317.798,13.848,522.232,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU reference pilot,322.058,9.782,544.064,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,EMBER,318.010,11.281,535.877,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,GOLD,322.375,12.467,528.988,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,BLUE,317.798,13.848,522.232,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU reference pilot,322.058,9.782,544.064,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,EMBER,318.010,11.281,535.877,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,GOLD,322.375,12.467,528.988,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,BLUE,317.798,13.848,522.232,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
3.080,YOU reference pilot,322.061,9.790,544.043,0.861,2,none,0.000,0.000,0.000,4642.246,0,0,0.000,0
