time,x,y,z,speed,wheels,up,target
0.020,809.996,151.108,190.005,0.270,4,1.000,1
0.040,809.989,151.105,190.013,0.539,4,1.000,1
0.060,809.978,151.102,190.026,0.807,4,1.000,1
0.080,809.964,151.097,190.043,1.073,4,1.000,1
0.100,809.947,151.091,190.064,1.339,4,1.000,1
0.120,809.926,151.086,190.089,1.604,4,1.000,1
0.140,809.901,151.080,190.118,1.867,4,1.000,1
0.160,809.874,151.074,190.151,2.129,4,1.000,1
0.180,809.843,151.068,190.188,2.390,4,1.000,1
0.200,809.809,151.063,190.229,2.650,4,1.000,1
0.220,809.772,151.057,190.274,2.908,4,1.000,1
0.240,809.731,151.052,190.323,3.165,4,1.000,1
0.260,809.687,151.047,190.376,3.421,4,1.000,1
0.280,809.640,151.043,190.432,3.675,4,1.000,1
0.300,809.589,151.039,190.493,3.929,4,1.000,1
0.320,809.536,151.035,190.557,4.181,4,1.000,1
0.340,809.479,151.032,190.625,4.431,4,1.000,1
0.360,809.419,151.028,190.697,4.681,4,1.000,1
0.380,809.355,151.025,190.773,4.929,4,1.000,1
0.400,809.289,151.022,190.853,5.175,4,1.000,1
0.420,809.219,151.019,190.936,5.421,4,1.000,1
0.440,809.147,151.016,191.024,5.665,4,1.000,1
0.460,809.071,151.013,191.115,5.909,4,1.000,1
0.480,808.992,151.011,191.209,6.151,4,1.000,1
0.500,808.910,151.007,191.308,6.391,4,1.000,1
0.520,808.825,151.004,191.409,6.623,4,1.000,1
0.540,808.738,151.001,191.514,6.820,4,1.000,1
0.560,808.648,150.998,191.622,6.989,4,1.000,1
0.580,808.557,150.994,191.732,7.133,4,1.000,1
0.600,808.464,150.990,191.843,7.258,4,1.000,1
0.620,808.369,150.987,191.957,7.364,4,1.000,1
0.640,808.274,150.983,192.071,7.456,4,0.999,1
0.660,808.177,150.978,192.187,7.534,4,0.999,1
0.680,808.080,150.974,192.304,7.602,4,0.999,1
0.700,807.982,150.969,192.422,7.661,4,0.999,1
0.720,807.883,150.964,192.541,7.711,4,0.999,1
0.740,807.784,150.959,192.660,7.755,4,0.999,1
0.760,807.684,150.953,192.780,7.792,4,0.999,1
0.780,807.584,150.948,192.900,7.824,4,0.999,1
0.800,807.483,150.942,193.020,7.852,4,0.999,1
0.820,807.382,150.936,193.141,7.877,4,0.999,1
0.840,807.281,150.930,193.263,7.897,4,0.999,1
0.860,807.180,150.924,193.384,7.915,4,0.999,1
0.880,807.078,150.918,193.506,7.931,4,0.999,1
0.900,806.978,150.911,193.627,7.873,4,0.999,1
0.920,806.877,150.905,193.748,7.894,4,0.999,1
0.940,806.775,150.899,193.870,7.913,4,0.999,1
0.960,806.674,150.892,193.991,7.929,4,0.999,1
0.980,806.573,150.886,194.112,7.871,4,0.999,1
1.000,806.472,150.880,194.233,7.893,4,0.999,1
1.020,806.371,150.874,194.355,7.912,4,0.999,1
1.040,806.270,150.867,194.477,7.928,4,0.999,1
1.060,806.169,150.861,194.597,7.870,4,0.999,1
1.080,806.068,150.855,194.719,7.892,4,0.999,1
1.100,805.967,150.849,194.840,7.911,4,0.999,1
1.120,805.865,150.843,194.962,7.927,4,0.999,1
1.140,805.765,150.837,195.083,7.870,4,0.999,1
1.160,805.664,150.831,195.204,7.892,4,0.999,1
1.180,805.562,150.825,195.325,7.911,4,0.999,1
1.200,805.461,150.819,195.447,7.927,4,0.999,1
1.220,805.360,150.813,195.568,7.870,4,0.999,1
1.240,805.259,150.808,195.689,7.892,4,0.999,1
1.260,805.158,150.802,195.810,7.911,4,0.999,1
1.280,805.057,150.796,195.932,7.927,4,0.999,1
1.300,804.956,150.790,196.053,7.870,4,0.999,1
1.320,804.855,150.785,196.174,7.892,4,0.999,1
1.340,804.754,150.779,196.296,7.910,4,0.999,1
1.360,804.652,150.773,196.417,7.927,4,0.999,1
1.380,804.552,150.768,196.538,7.869,4,0.999,1
1.400,804.451,150.762,196.659,7.891,4,0.999,1
1.420,804.350,150.756,196.781,7.910,4,0.999,1
1.440,804.248,150.750,196.902,7.927,4,0.999,1
1.460,804.147,150.745,197.023,7.869,4,0.999,1
1.480,804.046,150.739,197.144,7.891,4,0.999,1
1.500,803.945,150.733,197.266,7.910,4,0.999,1
1.520,803.844,150.727,197.388,7.927,4,0.999,1
1.540,803.743,150.722,197.508,7.869,4,0.999,1
1.560,803.642,150.716,197.630,7.891,4,0.999,1
1.580,803.541,150.710,197.751,7.910,4,0.999,1
1.600,803.440,150.704,197.873,7.927,4,0.999,1
1.620,803.339,150.699,197.994,7.869,4,0.999,1
1.640,803.238,150.693,198.115,7.891,4,0.999,1
1.660,803.137,150.687,198.236,7.910,4,0.999,1
1.680,803.035,150.681,198.358,7.927,4,0.999,1
1.700,802.935,150.676,198.479,7.869,4,0.999,1
1.720,802.834,150.670,198.600,7.891,4,0.999,1
1.740,802.732,150.664,198.721,7.910,4,0.999,1
1.760,802.631,150.658,198.843,7.927,4,0.999,1
1.780,802.530,150.652,198.964,7.869,4,0.999,1
1.800,802.429,150.647,199.085,7.891,4,0.999,1
1.820,802.328,150.641,199.207,7.910,4,0.999,1
1.840,802.227,150.635,199.328,7.927,4,0.999,1
1.860,802.126,150.629,199.449,7.869,4,0.999,1
1.880,802.025,150.624,199.570,7.891,4,0.999,1
1.900,801.924,150.618,199.692,7.910,4,0.999,1
1.920,801.822,150.612,199.813,7.927,4,0.999,1
1.940,801.722,150.606,199.934,7.869,4,0.999,1
1.960,801.621,150.600,200.055,7.891,4,0.999,1
1.980,801.520,150.595,200.177,7.910,4,0.999,1
2.000,801.418,150.589,200.299,7.927,4,0.999,1
2.020,801.317,150.583,200.419,7.869,4,0.999,1
2.040,801.216,150.577,200.541,7.891,4,0.999,1
