time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,1064.367,145.989,201.275,31.701,-31.701,-0.063,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076935;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076935;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2357482;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2357483;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604844;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1707076;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755565;"
0.040,1063.733,145.989,201.275,31.709,-31.710,-0.013,0.000,0.150,0.000,0.000,4,12.223,1.075,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3533972;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1709451;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3533972;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1709451;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1709451;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.192235;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1111344;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.293592;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.293592;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1111344;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1703112;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1750315;"
0.060,1063.100,145.991,201.275,31.716,-31.717,0.114,0.000,0.145,0.000,0.000,4,16.071,0.526,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2982833;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244321;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2982832;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244321;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244321;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1916358;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06461336;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2384735;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2384735;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06461337;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09347671;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09797317;"
0.080,1062.473,146.003,201.275,31.638,-31.633,0.618,0.000,0.142,0.000,0.000,4,19.419,0.090,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2443582;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08169276;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2443582;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08169276;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08753294;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08753294;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02189597;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1845604;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1845604;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.021896;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02319181;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02739725;"
0.100,1061.847,146.024,201.275,31.595,-31.582,1.053,-0.001,0.181,0.000,0.000,4,22.317,4.137,0.999,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1856234;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06417489;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1856124;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06418592;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06417614;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07272378;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004391417;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1258063;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1258159;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004381824;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03789499;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03809279;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05432966;"
0.120,1061.221,146.052,201.275,31.590,-31.568,1.403,-0.001,0.202,0.000,0.000,4,26.314,5.960,0.998,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1303732;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06069842;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1303621;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06070948;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06070447;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0843437;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008927584;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07051516;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07052055;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008864887;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00920701;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01100045;"
0.140,1060.594,146.091,201.275,31.551,-31.492,1.984,-0.001,0.205,0.000,0.000,4,29.630,5.287,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08631979;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05997624;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08631978;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05997625;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05997622;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07600051;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001725685;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02650334;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02650419;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001717228;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01039746;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01107663;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05016902;"
0.160,1059.966,146.140,201.275,31.534,-31.439,2.456,-0.001,0.224,0.000,0.000,4,27.906,2.640,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06511186;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05983087;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06511186;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05983087;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05983087;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05995125;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=4.684797E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005312193;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005312599;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=4.64411E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001257092;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001392901;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0500519;"
0.180,1059.338,146.195,201.275,31.541,-31.421,2.756,-0.001,0.233,0.000,0.000,4,24.847,0.790,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06088499;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06175227;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06088499;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06175227;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06088498;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06129149;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001932831;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001074852;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001074379;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001933311;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001116425;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001116902;"
0.200,1058.710,146.255,201.275,31.547,-31.405,3.013,0.000,0.230,0.000,0.000,4,22.625,0.649,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06338859;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06892879;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06338859;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0689288;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06338859;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06452632;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00910156;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003563369;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003562459;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009102464;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004711628;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004712492;"
0.220,1058.083,146.320,201.275,31.552,-31.392,3.222,0.000,0.227,0.000,0.000,4,20.293,0.525,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07161047;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0806139;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07161047;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0806139;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07315677;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07873237;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02080805;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01181348;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01181222;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02080931;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01510125;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01510248;"
0.240,1057.455,146.388,201.275,31.556,-31.382,3.385,0.000,0.224,0.000,0.000,4,17.950,0.415,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08462788;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09602951;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08462788;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09602951;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0846279;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09057367;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03621889;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02480586;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02480432;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03622044;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02591503;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02591655;"
