time,speed,signedSpeed,valid,grounded,timer,visible,rendered
0.000,0.000,0.000,False,0,0.000,False,False
0.008,0.000,0.000,False,0,0.000,False,False
0.017,0.288,0.000,False,2,0.000,False,False
0.032,0.290,0.000,False,2,0.000,False,False
0.040,0.575,-0.110,True,2,0.000,False,False
0.049,0.576,-0.110,True,2,0.000,False,False
0.057,0.857,-0.330,True,4,0.000,False,False
0.065,0.858,-0.330,True,4,0.000,False,False
0.074,1.134,-0.610,True,4,0.000,False,False
0.083,1.135,-0.610,True,4,0.000,False,False
0.091,1.136,-0.610,True,4,0.000,False,False
0.099,1.408,-0.891,True,4,0.000,False,False
0.108,1.409,-0.891,True,4,0.000,False,False
0.116,1.676,-1.184,True,4,0.000,False,False
0.124,1.676,-1.184,True,4,0.000,False,False
0.133,1.940,-1.477,True,4,0.000,False,False
0.141,1.940,-1.477,True,4,0.000,False,False
0.149,1.941,-1.477,True,4,0.000,False,False
0.158,2.200,-1.770,True,4,0.000,False,False
0.166,2.200,-1.770,True,4,0.000,False,False
0.174,2.457,-2.039,True,4,0.000,False,False
0.183,2.457,-2.039,True,4,0.000,False,False
0.191,2.457,-2.039,True,4,0.000,False,False
0.199,2.710,-2.332,True,4,0.000,False,False
0.208,2.710,-2.332,True,4,0.000,False,False
0.216,2.960,-2.600,True,4,0.000,False,False
0.224,2.960,-2.600,True,4,0.000,False,False
0.233,3.208,-2.869,True,4,0.000,False,False
0.241,3.208,-2.869,True,4,0.000,False,False
0.249,3.208,-2.869,True,4,0.000,False,False
0.258,3.453,-3.137,True,4,0.020,False,False
0.266,3.453,-3.137,True,4,0.020,False,False
0.274,3.696,-3.394,True,4,0.040,False,False
0.283,3.696,-3.394,True,4,0.040,False,False
0.291,3.696,-3.394,True,4,0.040,False,False
0.299,3.937,-3.650,True,4,0.060,False,False
0.308,3.937,-3.650,True,4,0.060,False,False
0.316,4.176,-3.894,True,4,0.080,False,False
0.324,4.176,-3.894,True,4,0.080,False,False
0.333,4.413,-4.138,True,4,0.100,False,False
0.341,4.413,-4.138,True,4,0.100,False,False
0.349,4.413,-4.138,True,4,0.100,False,False
0.358,4.649,-4.382,True,4,0.120,False,False
0.366,4.649,-4.382,True,4,0.120,False,False
0.374,4.882,-4.626,True,4,0.140,False,False
0.383,4.882,-4.626,True,4,0.140,False,False
0.391,4.882,-4.626,True,4,0.140,False,False
0.399,5.114,-4.871,True,4,0.160,False,False
0.408,5.114,-4.871,True,4,0.160,False,False
0.416,5.345,-6.274,True,4,0.180,False,False
0.425,5.345,-6.274,True,4,0.180,False,False
0.433,5.574,-5.334,True,4,0.200,False,False
0.441,5.574,-5.334,True,4,0.200,False,False
0.450,5.574,-5.334,True,4,0.200,False,False
0.458,5.801,-5.566,True,4,0.220,False,False
0.466,5.801,-5.566,True,4,0.220,False,False
0.475,6.027,-5.798,True,4,0.240,False,False
0.483,6.027,-5.798,True,4,0.240,False,False
0.491,6.027,-5.798,True,4,0.240,False,False
0.500,6.251,-6.018,True,4,0.260,False,False
0.508,6.251,-6.018,True,4,0.260,False,False
0.516,6.474,-6.238,True,4,0.280,False,False
0.525,6.474,-6.238,True,4,0.280,False,False
0.533,6.695,-6.458,True,4,0.300,False,False
0.541,6.695,-6.458,True,4,0.300,False,False
0.550,6.695,-6.458,True,4,0.300,False,False
0.558,6.915,-6.677,True,4,0.320,False,False
0.566,6.915,-6.677,True,4,0.320,False,False
0.575,7.133,-6.897,True,4,0.340,False,False
0.583,7.133,-6.897,True,4,0.340,False,False
0.591,7.133,-6.897,True,4,0.340,False,False
0.600,7.350,-7.117,True,4,0.360,False,False
0.608,7.350,-7.117,True,4,0.360,False,False
0.616,7.565,-7.336,True,4,0.380,False,False
0.625,7.565,-7.336,True,4,0.380,False,False
0.633,7.779,-7.556,True,4,0.400,False,False
0.641,7.779,-7.556,True,4,0.400,False,False
0.650,7.779,-7.556,True,4,0.400,False,False
0.658,7.991,-7.776,True,4,0.420,False,False
0.666,7.991,-7.776,True,4,0.420,False,False
0.675,8.202,-7.983,True,4,0.440,False,False
0.683,8.202,-7.983,True,4,0.440,False,False
0.691,8.202,-7.983,True,4,0.440,False,False
0.700,8.411,-9.338,True,4,0.460,False,False
0.708,8.411,-9.338,True,4,0.460,False,False
0.716,8.619,-8.398,True,4,0.480,False,False
0.725,8.619,-8.398,True,4,0.480,False,False
0.733,8.826,-8.606,True,4,0.500,False,False
0.741,8.826,-8.606,True,4,0.500,False,False
0.750,8.826,-8.606,True,4,0.500,False,False
0.758,9.031,-8.813,True,4,0.520,False,False
0.767,9.031,-8.813,True,4,0.520,False,False
0.775,9.234,-9.021,True,4,0.540,False,False
0.783,9.234,-9.021,True,4,0.540,False,False
0.792,9.234,-9.021,True,4,0.540,False,False
0.800,9.436,-9.216,True,4,0.560,False,False
0.808,9.436,-9.216,True,4,0.560,False,False
0.817,9.637,-9.412,True,4,0.580,False,False
0.825,9.637,-9.412,True,4,0.580,False,False
0.833,9.836,-9.619,True,4,0.600,False,False
0.842,9.836,-9.619,True,4,0.600,False,False
0.850,9.836,-9.619,True,4,0.600,False,False
0.858,10.034,-9.814,True,4,0.620,False,False
0.867,10.034,-9.814,True,4,0.620,False,False
0.875,10.230,-10.022,True,4,0.640,False,False
0.883,10.230,-10.022,True,4,0.640,False,False
0.892,10.230,-10.022,True,4,0.640,False,False
0.900,10.425,-11.328,True,4,0.660,False,False
0.908,10.425,-11.328,True,4,0.660,False,False
0.917,10.619,-10.413,True,4,0.680,False,False
0.925,10.619,-10.413,True,4,0.680,False,False
0.933,10.811,-10.608,True,4,0.700,False,False
0.942,10.811,-10.608,True,4,0.700,False,False
0.950,10.811,-10.608,True,4,0.700,False,False
0.958,11.001,-10.791,True,4,0.720,False,False
0.967,11.001,-10.791,True,4,0.720,False,False
0.975,11.191,-10.986,True,4,0.740,False,False
0.983,11.191,-10.986,True,4,0.740,False,False
0.992,11.191,-10.986,True,4,0.740,False,False
1.000,11.378,-11.169,True,4,0.760,False,False
1.008,11.378,-11.169,True,4,0.760,False,False
1.017,11.565,-11.365,True,4,0.780,False,False
1.025,11.565,-11.365,True,4,0.780,False,False
1.033,11.750,-11.536,True,4,0.800,False,False
1.042,11.750,-11.536,True,4,0.800,False,False
1.050,11.750,-11.536,True,4,0.800,False,False
1.058,11.933,-12.793,True,4,0.820,False,False
1.067,11.933,-12.793,True,4,0.820,False,False
1.075,12.116,-11.914,True,4,0.840,False,False
1.083,12.116,-11.914,True,4,0.840,False,False
1.092,12.116,-11.914,True,4,0.840,False,False
1.100,12.297,-12.097,True,4,0.860,False,False
1.108,12.297,-12.097,True,4,0.860,False,False
1.117,12.476,-12.268,True,4,0.880,False,False
