time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.003,42.596,0.852,-632.912,8.959,14.066,4,7.800,0.092,"",0.000,0.000,0.000,42.596,0.000,1.000,124.148,0.703,-0.039,-42.590,0.000,0.014
0.023,42.589,1.704,-632.898,8.958,13.214,4,7.831,0.016,"",0.202,0.000,0.000,42.589,0.000,1.000,123.296,0.703,-0.078,-42.583,0.000,0.021
0.043,42.582,2.556,-632.884,8.955,12.362,4,7.877,0.026,"",0.206,0.000,0.001,42.582,0.000,1.000,122.444,0.703,-0.117,-42.576,0.028,0.023
0.063,42.575,3.407,-632.870,8.952,11.510,4,7.951,0.047,"",0.209,0.000,-0.003,42.576,0.000,1.000,121.593,0.702,-0.154,-42.570,-0.066,0.022
0.083,42.569,4.259,-632.856,8.949,10.659,4,8.064,0.055,"",0.212,0.000,0.004,42.569,0.000,1.000,120.741,0.702,-0.189,-42.563,0.088,0.021
0.103,42.563,5.110,-632.842,8.944,9.808,4,8.216,0.056,"",0.215,0.000,-0.005,42.563,0.000,1.000,119.890,0.702,-0.221,-42.557,-0.114,0.018
0.123,42.557,5.962,-632.828,8.939,8.957,4,8.401,0.053,"",0.218,0.000,0.006,42.558,0.000,1.000,119.039,0.702,-0.249,-42.551,0.136,0.016
0.143,42.552,6.813,-632.814,8.934,8.106,4,8.610,0.047,"",0.221,0.000,-0.007,42.552,0.000,1.000,118.187,0.702,-0.273,-42.545,-0.153,0.014
0.163,42.546,7.664,-632.800,8.928,7.255,4,8.834,0.041,"",0.224,0.000,0.008,42.547,0.000,1.000,117.336,0.702,-0.292,-42.540,0.169,0.012
0.183,42.541,8.515,-632.786,8.922,6.404,4,9.062,0.035,"",0.227,0.000,-0.008,42.541,0.000,1.000,116.486,0.702,-0.307,-42.535,-0.182,0.010
0.203,42.536,9.365,-632.772,8.915,5.553,4,9.287,0.029,"",0.229,0.000,0.009,42.536,0.000,1.000,115.635,0.702,-0.317,-42.529,0.194,0.008
0.223,42.531,10.216,-632.758,8.909,4.703,4,9.500,0.024,"",0.232,0.000,-0.009,42.531,0.000,1.000,114.784,0.702,-0.324,-42.524,-0.202,0.007
0.243,42.526,11.066,-632.744,8.902,3.852,4,9.698,0.020,"",0.234,0.000,0.009,42.527,0.000,1.000,113.934,0.702,-0.326,-42.520,0.208,0.006
0.263,42.522,11.917,-632.730,8.896,3.002,4,9.875,0.016,"",0.237,0.000,-0.010,42.522,0.000,1.000,113.083,0.701,-0.324,-42.515,-0.215,0.005
0.283,42.517,12.767,-632.716,8.889,2.152,4,10.029,0.013,"",0.239,0.000,0.010,42.518,0.000,1.000,112.233,0.702,-0.320,-42.511,0.219,0.004
0.303,42.513,13.618,-632.701,8.883,1.302,4,10.158,0.011,"",0.241,0.000,-0.010,42.513,0.000,1.000,111.383,0.701,-0.313,-42.506,-0.223,0.004
