time,x,y,z,vx,vy,vz,speed,wheels,up,s,clearance,throttle,brake,steer
0.02000427,1186.382,152.5292,208.8661,-0.3461778,-0.04016253,-0.09827067,0.3598559,4,1,5.007182,0.1791992,1,0,1.430511E-06
0.04000092,1186.368,152.5277,208.8622,-0.6901751,-0.07283465,-0.1959223,0.717445,4,1,5.021523,0.1777496,1,0,7.629395E-07
0.06000519,1186.347,152.5258,208.8563,-1.032005,-0.09838454,-0.2929588,1.072781,4,1,5.042968,0.1757813,1,0,1.335144E-06
0.08000183,1186.32,152.5234,208.8485,-1.371682,-0.11728,-0.389384,1.425879,4,1,5.071515,0.1734314,1,0,1.597405E-06
0.1000061,1186.286,152.5208,208.8388,-1.709219,-0.1300922,-0.4852019,1.776753,4,1,5.107046,0.1708221,1,0,1.907349E-07
0.1200027,1186.245,152.5181,208.8272,-2.04463,-0.1374596,-0.5804161,2.125417,4,1,5.149556,0.1680756,1,0,3.814697E-07
0.1399994,1186.197,152.5153,208.8137,-2.377928,-0.1400765,-0.6750305,2.471884,4,1,5.199042,0.1652679,1,0,7.152557E-07
0.1600037,1186.143,152.5125,208.7983,-2.709127,-0.1386254,-0.769049,2.816169,4,1,5.255381,0.1624908,1,0,-2.861023E-07
0.1800003,1186.082,152.5098,208.7811,-3.038239,-0.1337982,-0.8624752,3.158285,4,1,5.31857,0.1598206,1,0,-7.629395E-07
0.2000046,1186.015,152.5073,208.762,-3.365279,-0.126275,-0.9553129,3.498246,4,1,5.388491,0.1572876,1,0,-2.193451E-06
0.2200012,1185.941,152.5049,208.741,-3.690258,-0.1166665,-1.047566,3.836065,4,1,5.465258,0.154953,1,0,-1.168251E-06
0.2400055,1185.861,152.5028,208.7182,-4.013189,-0.1055648,-1.139238,4.171757,4,1,5.548748,0.1528473,1,0,-2.551079E-06
0.2600021,1185.774,152.501,208.6936,-4.334087,-0.09350678,-1.230332,4.505333,4,1,5.638845,0.1509705,1,0,-4.458428E-06
0.2800064,1185.681,152.4993,208.6672,-4.652963,-0.0809432,-1.320852,4.836809,4,1,5.73554,0.149353,1,0,-3.600121E-06
0.3000031,1185.582,152.498,208.639,-4.969831,-0.06829223,-1.410802,5.166196,4,1,5.838833,0.1479797,1,0,-2.813339E-06
0.3199997,1185.476,152.4969,208.609,-5.284702,-0.05588511,-1.500186,5.493508,4,1,5.94872,0.1468658,1,0,-2.288818E-06
0.340004,1185.364,152.496,208.5772,-5.597589,-0.0440198,-1.589007,5.818759,4,1,6.065084,0.1459808,1,0,-3.194809E-06
0.3600006,1185.246,152.4953,208.5437,-5.908507,-0.03290689,-1.677268,6.141961,4,1,6.187915,0.1453247,1,0,-2.527237E-06
0.3800049,1185.122,152.4949,208.5084,-6.217465,-0.02272315,-1.764973,6.463126,4,1,6.317215,0.1448669,1,0,-2.956391E-06
0.4000015,1184.991,152.4946,208.4713,-6.524478,-0.01357738,-1.852126,6.782271,4,1,6.452866,0.1445923,1,0,-4.649162E-06
0.4200058,1184.854,152.4945,208.4326,-6.829556,-0.005541074,-1.93873,7.099401,4,1,6.594858,0.1444855,1,0,-4.124642E-06
0.4400024,1184.712,152.4945,208.3921,-7.132713,0.001345513,-2.024788,7.414536,4,1,6.743193,0.144516,1,0,-4.529953E-06
0.4599991,1184.563,152.4946,208.3499,-7.433959,0.007088269,-2.110305,7.727686,4,1,6.897749,0.1446533,1,0,-5.674362E-06
0.4800034,1184.408,152.4949,208.306,-7.733308,0.01173182,-2.195283,8.038863,4,1,7.058522,0.1448822,1,0,-5.698204E-06
0.5,1184.248,152.4952,208.2604,-8.030771,0.0153334,-2.279726,8.348081,4,1,7.225512,0.1451874,1,0,-6.246567E-06
0.5200043,1184.081,152.4955,208.2131,-8.326361,0.01796093,-2.363637,8.65535,4,1,7.398596,0.1455536,1,0,-7.104874E-06
0.5400009,1183.909,152.4959,208.1642,-8.620088,0.01969131,-2.447021,8.960682,4,1,7.577771,0.1459503,1,0,-6.651878E-06
0.5600052,1183.731,152.4964,208.1136,-8.911964,0.02062871,-2.529878,9.264091,4,1,7.763036,0.1463623,1,0,-6.103516E-06
0.5800018,1183.547,152.4968,208.0613,-9.202003,0.02088042,-2.612215,9.565589,4,1,7.95439,0.1467743,1,0,-5.507469E-06
0.6000061,1183.357,152.4972,208.0074,-9.490214,0.02055642,-2.694032,9.865191,4,1,8.151707,0.1471863,1,0,-6.484986E-06
0.6200027,1183.161,152.4976,207.9519,-9.77661,0.019749,-2.775335,10.1629,4,1,8.35499,0.147583,1,0,-7.104874E-06
0.6399994,1182.96,152.4979,207.8948,-10.0612,0.0185555,-2.856127,10.45874,4,1,8.564116,0.1479492,1,0,-7.224083E-06
0.6600037,1182.753,152.4983,207.8361,-10.344,0.01707748,-2.936409,10.75271,4,1,8.7792,0.1482849,1,0,-5.125999E-06
0.6800003,1182.541,152.4986,207.7757,-10.62502,0.01540019,-3.016186,11.04484,4,1,9.000118,0.1485901,1,0,-5.578995E-06
0.7000046,1182.323,152.4989,207.7138,-10.90426,0.01359527,-3.095461,11.33512,4,1,9.226871,0.1488647,1,0,-6.818771E-06
0.7200012,1182.099,152.4991,207.6503,-11.18175,0.01172284,-3.174237,11.62357,4,1,9.459342,0.1490936,1,0,-8.654594E-06
0.7400055,1181.87,152.4993,207.5853,-11.45749,0.00985319,-3.252517,11.91021,4,1,9.697523,0.149292,1,0,-7.867813E-06
0.7600021,1181.635,152.4995,207.5187,-11.73149,0.008025549,-3.330304,12.19503,4,1,9.941413,0.1494598,1,0,-7.247925E-06
0.7800064,1181.395,152.4996,207.4505,-12.00377,0.006272816,-3.407602,12.47807,4,1,10.19101,0.1495819,1,0,-7.009506E-06
0.8000031,1181.15,152.4997,207.3809,-12.27433,0.004642491,-3.484413,12.75932,4,1,10.44619,0.1496735,1,0,-8.535385E-06
0.8199997,1180.899,152.4997,207.3096,-12.54319,0.00315458,-3.560741,13.0388,4,1,10.70696,0.1497345,1,0,-8.487702E-06
0.840004,1180.642,152.4998,207.2369,-12.81035,0.001825943,-3.636588,13.31653,4,1,10.97331,0.149765,1,0,-8.320809E-06
0.8600006,1180.381,152.4998,207.1627,-13.07583,0.0006706713,-3.711957,13.5925,4,1,11.24512,0.1497803,1,0,-8.034706E-06
0.8800049,1180.114,152.4998,207.0869,-13.33964,-0.0003192041,-3.786853,13.86673,4,1,11.5225,0.1497803,1,0,-7.247925E-06
0.9000015,1179.842,152.4997,207.0097,-13.60178,-0.001150356,-3.861278,14.13924,4,1,11.80535,0.1497498,1,0,-7.796288E-06
0.9200058,1179.565,152.4997,206.931,-13.86228,-0.00180859,-3.935233,14.41002,4,1,12.09352,0.1497192,1,0,-9.322167E-06
0.9400024,1179.282,152.4997,206.8508,-14.12113,-0.002321626,-4.008724,14.67911,4,1,12.38715,0.1496735,1,0,-8.440018E-06
0.9599991,1178.995,152.4996,206.7692,-14.37835,-0.002692918,-4.081753,14.94649,4,1,12.68611,0.1496124,1,0,-9.989739E-06
0.9800034,1178.702,152.4995,206.6861,-14.63395,-0.002925373,-4.154322,15.2122,4,1,12.9904,0.1495514,1,0,-1.072884E-05
1,1178.404,152.4995,206.6016,-14.88795,-0.003041228,-4.226434,15.47623,4,1,13.29989,0.1494904,1,0,-1.180172E-05
1.020004,1178.101,152.4994,206.5156,-15.14034,-0.003059191,-4.298093,15.7386,4,1,13.61472,0.1494293,1,0,-1.020432E-05
1.040001,1177.794,152.4994,206.4282,-15.39114,-0.002994963,-4.369302,15.99931,4,1,13.93474,0.1493683,1,0,-1.080036E-05
1.060005,1177.481,152.4993,206.3394,-15.64036,-0.002861741,-4.440063,16.25838,4,1,14.25996,0.1493073,1,0,-1.146793E-05
1.080002,1177.163,152.4992,206.2492,-15.88801,-0.00267056,-4.510378,16.51582,4,1,14.59027,0.1492462,1,0,-1.215935E-05
1.100006,1176.84,152.4992,206.1576,-16.1341,-0.002430703,-4.580252,16.77164,4,1,14.92565,0.1492004,1,0,-1.134872E-05
1.120003,1176.513,152.4991,206.0646,-16.37864,-0.002169829,-4.649688,17.02585,4,1,15.26611,0.1491547,1,0,-1.008511E-05
1.139999,1176.18,152.4991,205.9702,-16.62164,-0.001891303,-4.718687,17.27845,4,1,15.61165,0.1491241,1,0,-8.773804E-06
1.160004,1175.843,152.4991,205.8745,-16.86311,-0.001617768,-4.787251,17.52947,4,1,15.96226,0.1490936,1,0,-7.200241E-06
1.18,1175.501,152.4991,205.7774,-17.10306,-0.001348448,-4.855384,17.7789,4,1,16.31782,0.1490631,1,0,-6.818771E-06
1.200005,1175.154,152.499,205.6789,-17.34149,-0.001082643,-4.923088,18.02676,4,1,16.67833,0.1490479,1,0,-5.698204E-06
1.220001,1174.803,152.499,205.5791,-17.57842,-0.0008396276,-4.990366,18.27306,4,1,17.04378,0.1490326,1,0,-4.005432E-06
1.240005,1174.446,152.499,205.478,-17.81387,-0.0006157378,-5.057219,18.51781,4,1,17.41418,0.1490173,1,0,-3.242493E-06
1.260002,1174.085,152.499,205.3755,-18.04782,-0.00040792,-5.123652,18.76102,4,1,17.78941,0.1490021,1,0,-3.194809E-06
