time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.010,1064.525,145.989,178.325,23.776,-23.776,-0.057,0.000,0.000,0.000,0.000,4,7.803,1.515,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3289449;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3289449;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1605077;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08971068;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691262;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08971068;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691262;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003169;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003169;"
0.030,1064.050,145.988,178.325,23.790,-23.791,-0.028,0.000,0.112,0.000,0.000,4,11.192,0.873,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2876253;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1127208;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2876254;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1127208;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1127207;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1594371;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05289646;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2278016;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05289645;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2278016;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1002126;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1002126;"
0.050,1063.580,145.995,178.325,23.727,-23.725,0.333,0.000,0.105,0.000,0.000,4,14.136,0.358,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2451631;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0781382;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2451632;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07813818;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1104624;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1581257;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0183292;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.18537;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01832919;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.18537;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02416289;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02416292;"
0.070,1063.112,146.008,178.325,23.695,-23.688,0.640,-0.001,0.137,0.000,0.000,4,16.115,3.326,0.999,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1971266;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06361632;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1972801;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06346286;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1176178;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1564274;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003822036;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.137327;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003666945;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1374821;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03663772;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03679377;"
0.090,1062.643,146.025,178.325,23.696,-23.685,0.867,-0.001,0.153,0.000,0.000,4,19.029,5.160,0.998,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.149877;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06071156;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1500157;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06057282;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06070489;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06182387;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008886756;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09007704;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007512766;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09021446;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001809001;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001947522;"
0.110,1062.173,146.047,178.325,23.702,-23.684,1.110,0.000,0.152,0.000,0.000,4,21.907,4.891,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.109493;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06002256;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1095425;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05997298;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.059984;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07112843;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0002200836;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04969177;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001710737;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04974076;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01122424;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01127374;"
0.130,1061.702,146.077,178.325,23.682,-23.636,1.520,0.000,0.149,0.000,0.000,4,23.661,4.094,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07797873;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06023621;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07793906;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06027588;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06287029;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06613347;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004288903;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01816509;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004673684;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01812658;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004656613;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008115768;"
0.150,1061.231,146.114,178.325,23.676,-23.604,1.843,0.000,0.159,0.000,0.000,4,22.041,1.862,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06352914;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05991444;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06340511;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06003848;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06128576;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06217346;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001057879;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003733533;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0002321884;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003607124;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008030832;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009294748;"
0.170,1060.759,146.155,178.325,23.687,-23.599,2.044,0.000,0.162,0.000,0.000,4,19.844,0.544,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06060096;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06105727;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06054146;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06111678;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0606169;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06067649;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001261002;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007902462;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001317459;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007337928;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008100271;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008600652;"
0.190,1060.288,146.199,178.325,23.696,-23.594,2.215,0.000,0.157,0.000,0.000,4,18.291,0.444,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06213013;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0657585;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06214508;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06574356;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06214157;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06293023;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005951351;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0023147;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005932614;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002333432;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003645152;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003688812;"
0.210,1059.816,146.246,178.325,23.704,-23.590,2.353,0.001,0.152,0.000,0.000,4,16.699,0.356,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06747355;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07345466;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06755784;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07337034;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06747675;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06753853;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01364531;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007661566;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01356117;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007745773;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008588254;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008659452;"
