time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.013,1064.208,145.989,178.725,39.626,-39.626,-0.069,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2357479;"
0.033,1063.417,145.989,178.725,39.628,-39.629,0.001,0.000,0.187,0.000,0.000,4,13.233,1.075,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09839255;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2808525;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09839253;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2808525;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09839255;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.101181;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3406752;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1582232;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3406752;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1582232;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1582232;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2347891;"
0.053,1062.631,145.999,178.725,39.532,-39.531,0.511,0.000,0.186,0.000,0.000,4,17.959,0.526,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03950949;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2133697;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03950948;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2133697;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09630454;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09630457;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2731529;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09929802;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2731529;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09929802;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1229561;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2308691;"
0.073,1061.850,146.021,178.725,39.433,-39.428,1.126,-0.003,0.234,0.000,0.000,4,23.068,4.213,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007930806;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1392315;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007917339;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.139245;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03884521;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03885871;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05784553;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1990386;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06773461;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1990496;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06772356;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06773037;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09892586;"
0.093,1061.070,146.057,178.725,39.354,-39.328,1.817,-0.004,0.284,0.000,0.000,4,29.931,8.127,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001596077;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06467024;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001585452;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06468087;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01067692;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01069108;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05156979;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244656;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06138388;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244719;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06137757;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06137806;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07699797;"
0.113,1060.289,146.114,178.725,39.233,-39.129,2.864,-0.001,0.323,0.000,0.000,4,32.861,6.327,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003379154;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0129398;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003348474;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01294285;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009918809;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009961426;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07272708;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06014953;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07273674;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06013989;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06014869;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06082356;"
0.133,1059.507,146.178,178.725,39.239,-39.108,3.199,0.001,0.384,0.000,0.000,4,26.079,1.264,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=7.449964E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00259428;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=7.338234E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002595395;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0006894469;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001046389;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05007881;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06239122;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05987094;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06239092;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05987122;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05987108;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06036693;"
0.153,1058.726,146.248,178.725,39.247,-39.092,3.487,0.002,0.381,0.000,0.000,4,24.232,0.928,0.996,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004945493;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0005192739;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004945615;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0005191565;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001644701;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001758245;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05051947;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0603187;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06475146;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06031919;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06475096;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06031874;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06050983;"
0.173,1057.945,146.322,178.725,39.253,-39.077,3.734,0.003,0.377,0.000,-0.001,4,22.152,0.757,0.996,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01473679;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005084959;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01473784;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005083889;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008433342;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008679794;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06487954;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07451306;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06486955;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07452304;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06487045;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07030225;"
0.193,1057.164,146.401,178.725,39.259,-39.065,3.936,0.004,0.373,0.000,0.000,4,19.887,0.605,0.996,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02874935;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01533552;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02875116;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01533371;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01551083;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01585279;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07515389;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08856758;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07514432;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08857712;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07515034;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07822144;"
