seconds,travel,recoveries,x,y,z,safeStation,speed
0.01,0.00,0,-604.21,8.46,531.23,3739.30,0.00
0.02,0.00,0,-604.21,8.46,531.23,3739.30,0.00
0.03,0.00,0,-604.21,8.47,531.23,3739.30,0.00
0.03,0.00,0,-604.21,8.47,531.23,3739.30,0.00
0.04,0.00,0,-604.21,8.48,531.23,3739.30,0.00
0.05,0.00,0,-604.21,8.48,531.23,3739.30,0.00
0.06,0.00,0,-604.21,8.48,531.23,3739.30,0.00
0.07,0.00,0,-604.21,8.49,531.23,3739.30,0.00
0.08,0.00,0,-604.21,8.49,531.23,3739.30,0.00
0.08,0.00,0,-604.21,8.50,531.23,3739.30,0.00
0.09,0.00,0,-604.21,8.50,531.23,3739.30,0.00
0.10,0.00,0,-604.21,8.51,531.23,3739.30,0.00
0.11,0.00,0,-604.21,8.51,531.23,3739.30,0.00
0.12,0.00,0,-604.21,8.51,531.23,3739.30,0.00
0.13,0.00,0,-604.21,8.52,531.23,3739.30,0.00
0.13,0.00,0,-604.21,8.52,531.23,3739.30,0.00
0.14,0.00,0,-604.21,8.52,531.23,3739.30,0.00
0.15,0.00,0,-604.21,8.52,531.23,3739.30,0.00
0.16,0.00,0,-604.21,8.52,531.23,3739.30,0.00
0.17,0.00,0,-604.21,8.53,531.23,3739.30,0.00
0.18,0.00,0,-604.21,8.53,531.23,3739.30,0.00
0.18,0.00,0,-604.21,8.53,531.23,3739.30,0.00
0.19,0.00,0,-604.21,8.53,531.23,3739.30,0.00
0.20,0.00,0,-604.21,8.54,531.23,3739.30,0.00
0.21,0.00,0,-604.21,8.54,531.23,3739.30,0.00
0.22,0.00,0,-604.21,8.54,531.23,3739.30,0.00
0.23,0.00,0,-604.21,8.54,531.23,3739.30,-0.01
0.23,0.00,0,-604.21,8.54,531.23,3739.30,-0.01
0.24,0.00,0,-604.21,8.55,531.22,3739.30,-0.01
0.25,0.00,0,-604.21,8.55,531.22,3739.30,-0.01
0.26,0.00,0,-604.21,8.55,531.22,3739.30,-0.01
0.27,0.00,0,-604.21,8.55,531.22,3739.30,-0.01
0.28,0.00,0,-604.21,8.55,531.22,3739.30,-0.01
0.28,0.00,0,-604.21,8.56,531.22,3739.30,-0.01
0.29,0.00,0,-604.21,8.56,531.22,3739.30,-0.01
0.30,0.00,0,-604.21,8.56,531.22,3739.30,-0.01
0.31,0.00,0,-604.21,8.56,531.22,3739.30,-0.01
0.32,0.00,0,-604.21,8.56,531.22,3739.30,-0.01
0.33,0.00,0,-604.21,8.56,531.22,3739.30,-0.01
0.33,0.00,0,-604.21,8.56,531.22,3739.30,-0.01
0.34,0.00,0,-604.21,8.56,531.22,3739.30,-0.01
0.35,0.00,0,-604.21,8.56,531.22,3739.30,-0.01
0.36,0.00,0,-604.21,8.56,531.22,3739.30,-0.01
0.37,0.00,0,-604.21,8.57,531.22,3739.29,-0.01
0.38,0.00,0,-604.21,8.57,531.22,3739.29,-0.01
0.38,0.00,0,-604.21,8.57,531.22,3739.29,-0.01
0.39,0.00,0,-604.21,8.57,531.22,3739.29,-0.01
0.40,0.00,0,-604.21,8.57,531.22,3739.29,-0.01
0.41,0.00,0,-604.21,8.57,531.22,3739.29,-0.01
0.42,0.00,0,-604.21,8.57,531.22,3739.29,-0.01
0.43,0.00,0,-604.21,8.57,531.22,3739.29,-0.01
0.43,0.00,0,-604.21,8.57,531.22,3739.29,-0.01
