action,time,x,y,z,speed,grounded,immersion
entry moto0,0.000,642.000,78.726,49.000,0.000,4,0.000
entry moto0,0.016,642.000,78.726,48.993,0.360,4,0.000
entry moto0,0.036,642.000,78.725,48.979,0.717,4,0.000
entry moto0,0.056,642.000,78.725,48.957,1.073,4,0.000
entry moto0,0.076,642.000,78.724,48.929,1.426,4,0.000
entry moto0,0.096,642.000,78.723,48.893,1.776,4,0.000
entry moto0,0.000,642.000,78.721,48.851,2.125,4,0.000
entry moto0,0.020,642.000,78.720,48.802,2.471,4,0.000
entry moto0,0.040,642.000,78.719,48.745,2.815,4,0.000
entry moto0,0.060,642.000,78.718,48.682,3.156,4,0.000
entry moto0,0.080,642.000,78.717,48.613,3.496,4,0.000
entry moto0,0.100,642.000,78.717,48.536,3.833,4,0.000
entry moto0,0.000,642.000,78.716,48.453,4.168,4,0.000
entry moto0,0.020,642.000,78.715,48.363,4.501,4,0.000
entry moto0,0.040,642.000,78.715,48.266,4.831,4,0.000
entry moto0,0.060,642.000,78.715,48.163,5.160,4,0.000
entry moto0,0.080,642.000,78.715,48.053,5.487,4,0.000
entry moto0,0.000,642.000,78.715,47.937,5.811,4,0.000
entry moto0,0.020,642.000,78.715,47.814,6.134,4,0.000
entry moto0,0.040,642.000,78.715,47.685,6.454,4,0.000
entry moto0,0.060,642.000,78.715,47.549,6.773,4,0.000
entry moto0,0.080,642.000,78.716,47.408,7.090,4,0.000
entry moto0,0.100,642.000,78.716,47.259,7.404,4,0.000
entry moto0,0.000,642.000,78.716,47.105,7.717,4,0.000
entry moto0,0.020,642.000,78.716,46.944,8.028,4,0.000
entry moto0,0.040,642.000,78.716,46.777,8.337,4,0.000
entry moto0,0.060,642.000,78.716,46.604,8.644,4,0.000
entry moto0,0.080,642.000,78.715,46.425,8.950,4,0.000
entry moto0,0.100,642.000,78.715,46.240,9.253,4,0.000
entry moto0,0.000,642.000,78.714,46.048,9.555,4,0.000
entry moto0,0.020,642.000,78.713,45.851,9.855,4,0.000
entry moto0,0.040,642.000,78.711,45.648,10.154,4,0.000
entry moto0,0.060,642.000,78.709,45.438,10.450,4,0.000
